model,axis,strength,effect,baseline_gap,normalized_steerability,input_path
Gemma-3-12B,warmth,-0.1,-1.8625,16.1375,-0.11541440743609606,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,warmth,-0.05,-1.0125,16.1375,-0.0627420604182804,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,warmth,0.0,0.0,16.1375,0.0,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,warmth,0.05,1.63125,16.1375,0.10108443067389622,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,warmth,0.1,3.8125,16.1375,0.23625096824167313,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-27B,warmth,-0.1,-1.509375,25.925,-0.058220829315332685,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,warmth,-0.05,-0.85,25.925,-0.03278688524590164,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,warmth,0.0,0.0,25.925,0.0,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,warmth,0.05,0.5125,25.925,0.019768563162970102,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,warmth,0.1,1.025,25.925,0.039537126325940204,results/tables/steering_dense_gemma3_27b.csv
Llama-3.1-8B,warmth,-0.1,-0.23125,9.00625,-0.025676613462873008,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,warmth,-0.05,-0.11875,9.00625,-0.0131852879944483,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,warmth,0.0,0.0,9.00625,0.0,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,warmth,0.05,0.121875,9.00625,0.013532269257460098,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,warmth,0.1,0.259375,9.00625,0.028799444829979183,results/tables/steering_dense_llama31_8b.csv
Gemma-4-12B,warmth,-0.1,-1.0997314453125,40.107275390625,-0.027419749524286066,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,warmth,-0.05,-0.6915283203125,40.107275390625,-0.017241967039080982,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,warmth,0.0,0.0,40.107275390625,0.0,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,warmth,0.05,0.8668106079101563,40.107275390625,0.02161230349027328,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,warmth,0.1,1.8428466796875,40.107275390625,0.04594793991212532,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-26B-A4B,warmth,-0.1,-0.25625,44.5625,-0.005750350631136044,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,warmth,-0.05,-0.153125,44.5625,-0.003436185133239832,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,warmth,0.0,0.0,44.5625,0.0,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,warmth,0.05,-0.0171875,44.5625,-0.0003856942496493689,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,warmth,0.1,0.0453125,44.5625,0.0010168302945301542,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,warmth,-0.1,-0.29453125,51.912499999999994,-0.005673609438959789,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,warmth,-0.05,-0.23984375,51.912499999999994,-0.004620154105465929,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,warmth,0.0,0.0,51.912499999999994,0.0,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,warmth,0.05,0.271875,51.912499999999994,0.0052371779436551896,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,warmth,0.1,0.4375,51.912499999999994,0.00842764266795088,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Qwen3-14B,warmth,-0.1,-0.7625,9.8375,-0.07750952986022872,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,warmth,-0.05,-0.44375,9.8375,-0.04510800508259212,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,warmth,0.0,0.0,9.8375,0.0,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,warmth,0.05,0.575,9.8375,0.05844980940279542,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,warmth,0.1,1.2,9.8375,0.12198221092757305,results/tables/steering_dense_qwen3_14b.csv
Qwen3.6-27B,warmth,-0.1,-0.625,19.700000000000003,-0.031725888324873094,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,warmth,-0.05,-0.26875,19.700000000000003,-0.013642131979695429,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,warmth,0.0,0.0,19.700000000000003,0.0,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,warmth,0.05,0.325,19.700000000000003,0.016497461928934008,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,warmth,0.1,0.69375,19.700000000000003,0.03521573604060913,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,-0.1,-1.01875,19.174999999999997,-0.053129074315515,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,-0.05,-0.5,19.174999999999997,-0.026075619295958283,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,0.0,0.0,19.174999999999997,0.0,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
