axis,model_a,model_b,n_stories,n_per_condition,overall_rho,within_condition_rho,high_warmth_rho,low_warmth_rho,high_competence_rho,low_competence_rho
warmth,Gemma-3-12B,Gemma-3-27B,200,50,0.817927,0.554766,0.537383,0.716591,0.607971,0.357119
warmth,Gemma-3-12B,Gemma-4-12B,200,50,0.766219,0.19491,0.42377,-0.183866,0.387947,0.151789
warmth,Gemma-3-12B,Gemma-4-26B-A4B,200,50,0.741262,0.094598,0.158607,0.019832,0.156783,0.043169
warmth,Gemma-3-12B,Gemma-4-31B,200,50,0.801464,0.284658,0.435006,0.09407,0.337911,0.271645
warmth,Gemma-3-12B,Llama-3.1-8B,200,50,0.767839,0.203481,0.506363,0.078031,0.232557,-0.003025
warmth,Gemma-3-12B,Qwen3-14B,200,50,0.760413,0.159568,0.391501,0.052101,0.276639,-0.081969
warmth,Gemma-3-12B,Qwen3.6-27B,200,50,0.802642,0.307827,0.427515,0.241393,0.368259,0.194142
warmth,Gemma-3-12B,Qwen3.6-35B-A3B,200,50,0.797021,0.250972,0.370564,0.167155,0.322737,0.143433
warmth,Gemma-3-27B,Gemma-4-12B,200,50,0.756961,0.12036,0.556303,-0.322449,0.123745,0.123842
warmth,Gemma-3-27B,Gemma-4-26B-A4B,200,50,0.759209,0.12401,0.371044,0.020984,0.073806,0.030204
warmth,Gemma-3-27B,Gemma-4-31B,200,50,0.762436,0.182113,0.340024,-0.00898,0.218247,0.17916
warmth,Gemma-3-27B,Llama-3.1-8B,200,50,0.782649,0.208235,0.432701,-0.05988,0.373445,0.086675
warmth,Gemma-3-27B,Qwen3-14B,200,50,0.777094,0.223025,0.40994,0.027803,0.316975,0.137383
warmth,Gemma-3-27B,Qwen3.6-27B,200,50,0.79226,0.307827,0.461224,0.118079,0.347227,0.304778
warmth,Gemma-3-27B,Qwen3.6-35B-A3B,200,50,0.76047,0.174142,0.353277,0.062281,0.278463,0.002545
warmth,Gemma-4-12B,Gemma-4-26B-A4B,200,50,0.910697,0.434454,0.599808,0.3406,0.433565,0.363842
warmth,Gemma-4-12B,Gemma-4-31B,200,50,0.940135,0.574142,0.766339,0.426843,0.703721,0.399664
warmth,Gemma-4-12B,Llama-3.1-8B,200,50,0.930913,0.476158,0.571765,0.366819,0.429052,0.536999
warmth,Gemma-4-12B,Qwen3-14B,200,50,0.940899,0.51575,0.722353,0.408499,0.496855,0.435294
