mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10
baseline,warmth,high_low_margin_gap,,25.925,25.51859375,26.3,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,23.6375,23.1375,24.0625,20,10
steering,competence,axis_specific,-0.5,5.05,4.378046875,5.709453125,20,10
steering,competence,axis_specific,-0.25,-1.475,-2.09375,-0.7375,20,10
steering,competence,axis_specific,0.0,0.0,0.0,0.0,20,10
steering,competence,axis_specific,0.25,8.459375,8.0,8.915625,20,10
steering,competence,axis_specific,0.5,12.121875,11.58125,12.5625,20,10
steering,competence,other_axis,-0.5,2.771875,2.390625,3.20625,20,10
steering,competence,other_axis,-0.25,-0.25625,-0.59375,0.11875,20,10
steering,competence,other_axis,0.0,0.0,0.0,0.0,20,10
steering,competence,other_axis,0.25,8.728125,7.57796875,9.7375,20,10
steering,competence,other_axis,0.5,9.4765625,8.9968359375,9.9484765625,20,10
steering,competence,random,-0.5,1.1875,0.8374218750000002,1.5375,20,10
steering,competence,random,-0.25,3.040625,2.36875,3.5688281249999996,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.25,3.51875,2.9187109375,4.2078515625,20,10
steering,competence,random,0.5,1.51015625,1.01166015625,1.9586914062499994,20,10
steering,competence,raw_dense,-0.5,4.275,3.4625,4.95,20,10
steering,competence,raw_dense,-0.25,1.225,0.8625,1.58125,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.25,3.684375,3.4,4.0625,20,10
steering,competence,raw_dense,0.5,5.075,4.6810937500000005,5.40625,20,10
steering,competence,sae_reconstructed,-0.5,0.765625,0.19367187500000013,1.3500781249999996,20,10
steering,competence,sae_reconstructed,-0.25,0.8,0.17484375000000027,1.31875,20,10
steering,competence,sae_reconstructed,0.0,0.0,0.0,0.0,20,10
steering,competence,sae_reconstructed,0.25,8.4,7.949921875,8.828203125,20,10
steering,competence,sae_reconstructed,0.5,13.95,13.449921875,14.403203125,20,10
steering,competence,shared,-0.5,4.55625,4.074921875,4.971875,20,10
steering,competence,shared,-0.25,1.6375,1.1935937500000005,2.050156249999999,20,10
steering,competence,shared,0.0,0.0,0.0,0.0,20,10
steering,competence,shared,0.25,5.409375,4.909296875,5.915625,20,10
steering,competence,shared,0.5,11.290625,10.499921875,11.96875,20,10
steering,warmth,axis_specific,-0.5,1.475,1.140546875,1.8219531249999994,20,10
steering,warmth,axis_specific,-0.25,1.159375,0.984375,1.3125,20,10
steering,warmth,axis_specific,0.0,0.0,0.0,0.0,20,10
steering,warmth,axis_specific,0.25,3.3125,2.5904687500000003,4.178203125,20,10
steering,warmth,axis_specific,0.5,9.5140625,9.0484375,9.990664062499999,20,10
steering,warmth,other_axis,-0.5,0.60625,0.3375,0.859375,20,10
steering,warmth,other_axis,-0.25,2.48125,1.993671875,2.990859374999999,20,10
steering,warmth,other_axis,0.0,0.0,0.0,0.0,20,10
steering,warmth,other_axis,0.25,7.85,7.58125,8.150078125,20,10
steering,warmth,other_axis,0.5,13.709375,13.378125,14.03765625,20,10
steering,warmth,random,-0.5,5.21484375,4.9483984375,5.51724609375,20,10
steering,warmth,random,-0.25,3.915625,3.534375,4.3,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.25,1.1875,0.803125,1.590625,20,10
steering,warmth,random,0.5,-3.40625,-3.734453125,-3.037343750000001,20,10
steering,warmth,raw_dense,-0.5,0.03125,-0.325,0.35,20,10
steering,warmth,raw_dense,-0.25,-0.95625,-1.146875,-0.76875,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.25,6.175,5.746796875,6.56875,20,10
steering,warmth,raw_dense,0.5,14.4375,14.118671875,14.765625,20,10
steering,warmth,sae_reconstructed,-0.5,2.140625,1.75,2.5469531249999995,20,10
steering,warmth,sae_reconstructed,-0.25,-0.8875,-1.278125,-0.55,20,10
steering,warmth,sae_reconstructed,0.0,0.0,0.0,0.0,20,10
steering,warmth,sae_reconstructed,0.25,7.61875,7.1375,8.07828125,20,10
steering,warmth,sae_reconstructed,0.5,9.2,8.6218359375,9.8219140625,20,10
steering,warmth,shared,-0.5,4.0375,3.76875,4.3375,20,10
steering,warmth,shared,-0.25,1.725,1.199921875,2.3375,20,10
steering,warmth,shared,0.0,0.0,0.0,0.0,20,10
steering,warmth,shared,0.25,4.61875,4.453125,4.840625,20,10
steering,warmth,shared,0.5,11.009375,10.6,11.459609374999998,20,10
ablation,warmth,other_axis,,0.04375,-0.1,0.2,20,10
ablation,warmth,random_features,,0.2,0.0625,0.33125,20,10
ablation,warmth,shared,,-0.725,-0.86875,-0.56875,20,10
ablation,warmth,target_axis,,0.075,-0.08125,0.21875,20,10
ablation,competence,other_axis,,0.0125,-0.15,0.1625,20,10
ablation,competence,random_features,,0.025,0.0,0.075,20,10
ablation,competence,shared,,-0.31875,-0.39375,-0.24375,20,10
ablation,competence,target_axis,,-0.0875,-0.3,0.1125,20,10
