mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin
baseline,warmth,high_warmth_t019_s00004,19,high_warmth,1,baseline,0.0,11.125,0.0
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,11.5,0.0
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,11.625,0.0
baseline,warmth,high_warmth_t035_s00092,35,high_warmth,1,baseline,0.0,11.125,0.0
baseline,warmth,high_warmth_t056_s00128,56,high_warmth,1,baseline,0.0,10.875,0.0
baseline,warmth,high_warmth_t057_s00132,57,high_warmth,1,baseline,0.0,11.5,0.0
baseline,warmth,high_warmth_t066_s00140,66,high_warmth,1,baseline,0.0,11.875,0.0
baseline,warmth,high_warmth_t078_s00164,78,high_warmth,1,baseline,0.0,12.0,0.0
baseline,warmth,high_warmth_t079_s00168,79,high_warmth,1,baseline,0.0,11.25,0.0
baseline,warmth,high_warmth_t097_s00196,97,high_warmth,1,baseline,0.0,11.25,0.0
baseline,warmth,low_warmth_t019_s00005,19,low_warmth,0,baseline,0.0,-13.25,0.0
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-15.125,0.0
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-14.375,0.0
baseline,warmth,low_warmth_t035_s00093,35,low_warmth,0,baseline,0.0,-14.5625,0.0
baseline,warmth,low_warmth_t056_s00129,56,low_warmth,0,baseline,0.0,-15.125,0.0
baseline,warmth,low_warmth_t057_s00133,57,low_warmth,0,baseline,0.0,-14.125,0.0
baseline,warmth,low_warmth_t066_s00141,66,low_warmth,0,baseline,0.0,-14.6875,0.0
baseline,warmth,low_warmth_t078_s00165,78,low_warmth,0,baseline,0.0,-13.875,0.0
baseline,warmth,low_warmth_t079_s00169,79,low_warmth,0,baseline,0.0,-15.5,0.0
baseline,warmth,low_warmth_t097_s00197,97,low_warmth,0,baseline,0.0,-14.5,0.0
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,raw_dense,-0.1,11.875,0.75
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,raw_dense,-0.1,11.375,-0.125
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,-0.1,11.0,-0.625
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,-0.1,10.375,-0.75
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,-0.1,10.125,-0.75
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,-0.1,11.375,-0.125
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,-0.1,11.0,-0.875
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,-0.1,11.125,-0.875
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,-0.1,10.375,-0.875
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,raw_dense,-0.1,10.125,-1.125
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,-0.1,-16.25,-3.0
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,-0.1,-16.875,-1.75
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,raw_dense,-0.1,-17.375,-3.0
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,raw_dense,-0.1,-16.75,-2.1875
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,raw_dense,-0.1,-17.75,-2.625
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,raw_dense,-0.1,-16.75,-2.625
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,raw_dense,-0.1,-17.0,-2.3125
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,raw_dense,-0.1,-15.875,-2.0
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,raw_dense,-0.1,-17.75,-2.25
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,raw_dense,-0.1,-17.75,-3.25
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,raw_dense,-0.05,11.5,0.375
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,raw_dense,-0.05,11.375,-0.125
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,-0.05,11.25,-0.375
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,-0.05,10.375,-0.75
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,-0.05,10.25,-0.625
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,-0.05,11.125,-0.375
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,-0.05,11.125,-0.75
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,-0.05,11.125,-0.875
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,-0.05,10.625,-0.625
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,raw_dense,-0.05,10.0,-1.25
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,-0.05,-14.625,-1.375
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,-0.05,-16.5,-1.375
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,raw_dense,-0.05,-15.375,-1.0
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,raw_dense,-0.05,-15.625,-1.0625
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,raw_dense,-0.05,-16.375,-1.25
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,raw_dense,-0.05,-15.375,-1.25
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,raw_dense,-0.05,-15.625,-0.9375
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,raw_dense,-0.05,-14.625,-0.75
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,raw_dense,-0.05,-16.5,-1.0
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,raw_dense,-0.05,-16.0,-1.5
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,raw_dense,0.0,11.125,0.0
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,raw_dense,0.0,11.5,0.0
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,0.0,11.625,0.0
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,0.0,11.125,0.0
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,0.0,10.875,0.0
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,0.0,11.5,0.0
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,0.0,11.875,0.0
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,0.0,12.0,0.0
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,0.0,11.25,0.0
