model,layer,width,vector,rank,feature_idx,effect,mean_activation,activation_frequency,top_story_ids,top_story_conditions,neuronpedia_url
google/gemma-3-12b-it,31,16k,warmth,1,600,449.0853576660156,133.2282257080078,0.205,high_warmth_t007_s00044;high_warmth_t049_s00120;high_warmth_t008_s00048;high_warmth_t048_s00116;high_warmth_t037_s00100,high_warmth;high_warmth;high_warmth;high_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,2,349,-345.2122497558594,342.6139831542969,0.595,low_warmth_t003_s00029;low_warmth_t001_s00021;low_competence_t079_s00171;high_competence_t001_s00022;low_warmth_t057_s00133,low_warmth;low_warmth;low_competence;high_competence;low_warmth,
google/gemma-3-12b-it,31,16k,warmth,3,373,276.8395690917969,99.41259002685547,0.165,high_warmth_t028_s00088;high_warmth_t047_s00112;high_competence_t028_s00090;high_warmth_t009_s00052;high_warmth_t015_s00060,high_warmth;high_warmth;high_competence;high_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,4,249,-166.5430145263672,181.6970672607422,0.41,high_competence_t001_s00022;low_competence_t077_s00163;low_warmth_t003_s00029;low_competence_t001_s00023;low_warmth_t057_s00133,high_competence;low_competence;low_warmth;low_competence;low_warmth,
google/gemma-3-12b-it,31,16k,warmth,5,143,-157.48080444335938,118.41667175292969,0.175,low_warmth_t097_s00197;low_warmth_t028_s00089;low_warmth_t036_s00097;low_competence_t027_s00087;low_warmth_t035_s00093,low_warmth;low_warmth;low_warmth;low_competence;low_warmth,
google/gemma-3-12b-it,31,16k,warmth,6,954,155.30979919433594,195.70843505859375,0.27,high_warmth_t026_s00080;high_warmth_t010_s00056;high_warmth_t095_s00188;high_warmth_t001_s00020;high_competence_t095_s00190,high_warmth;high_warmth;high_warmth;high_warmth;high_competence,
google/gemma-3-12b-it,31,16k,warmth,7,1164,-148.9415283203125,429.2384338378906,0.615,high_competence_t096_s00194;low_warmth_t096_s00193;high_warmth_t038_s00104;low_warmth_t010_s00057;high_competence_t066_s00142,high_competence;low_warmth;high_warmth;low_warmth;high_competence,
google/gemma-3-12b-it,31,16k,warmth,8,1510,146.75978088378906,106.22177124023438,0.15,high_warmth_t075_s00016;high_competence_t079_s00170;high_warmth_t079_s00168;high_warmth_t076_s00156;high_warmth_t077_s00160,high_warmth;high_competence;high_warmth;high_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,9,1336,-142.95074462890625,217.04510498046875,0.26,low_warmth_t008_s00049;low_warmth_t004_s00033;low_warmth_t047_s00113;low_warmth_t085_s00173;high_warmth_t008_s00048,low_warmth;low_warmth;low_warmth;low_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,10,5360,-113.73089599609375,168.01211547851562,0.325,low_warmth_t055_s00125;low_warmth_t047_s00113;low_competence_t000_s00003;low_warmth_t068_s00149;low_competence_t025_s00079,low_warmth;low_warmth;low_competence;low_warmth;low_competence,
google/gemma-3-12b-it,31,16k,warmth,11,2525,101.95578002929688,96.13119506835938,0.135,low_competence_t008_s00051;high_warmth_t049_s00120;high_competence_t037_s00102;high_warmth_t008_s00048;low_competence_t004_s00035,low_competence;high_warmth;high_competence;high_warmth;low_competence,
google/gemma-3-12b-it,31,16k,warmth,12,948,-82.59010314941406,145.2682647705078,0.275,low_competence_t009_s00055;high_competence_t068_s00150;low_competence_t068_s00151;low_competence_t010_s00059;high_competence_t087_s00182,low_competence;high_competence;low_competence;low_competence;high_competence,
google/gemma-3-12b-it,31,16k,warmth,13,7854,-70.7620849609375,329.20172119140625,0.57,high_warmth_t049_s00120;low_warmth_t049_s00121;high_warmth_t038_s00104;high_warmth_t016_s00064;high_warmth_t065_s00012,high_warmth;low_warmth;high_warmth;high_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,14,1182,67.15744018554688,111.36550903320312,0.2,low_competence_t079_s00171;low_competence_t001_s00023;high_competence_t056_s00130;low_competence_t097_s00199;high_competence_t079_s00170,low_competence;low_competence;high_competence;low_competence;high_competence,
google/gemma-3-12b-it,31,16k,warmth,15,8204,-61.596736907958984,33.11125564575195,0.05,low_warmth_t026_s00081;high_warmth_t046_s00108;low_warmth_t046_s00109;low_warmth_t049_s00121;high_warmth_t049_s00120,low_warmth;high_warmth;low_warmth;low_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,16,6501,-57.82670211791992,14.456677436828613,0.02,low_warmth_t002_s00025;low_warmth_t001_s00021;low_warmth_t085_s00173;low_warmth_t086_s00177;low_competence_t097_s00199,low_warmth;low_warmth;low_warmth;low_warmth;low_competence,
google/gemma-3-12b-it,31,16k,warmth,17,831,50.845272064208984,39.196102142333984,0.07,high_warmth_t049_s00120;high_warmth_t007_s00044;high_competence_t036_s00098;high_competence_t048_s00118;high_competence_t010_s00058,high_warmth;high_warmth;high_competence;high_competence;high_competence,
google/gemma-3-12b-it,31,16k,warmth,18,289,-49.51181411743164,43.14777374267578,0.08,low_competence_t069_s00155;low_competence_t095_s00191;low_warmth_t008_s00049;low_competence_t036_s00099;low_competence_t048_s00119,low_competence;low_competence;low_warmth;low_competence;low_competence,
google/gemma-3-12b-it,31,16k,warmth,19,2224,-48.79637145996094,29.316953659057617,0.04,low_warmth_t095_s00189;high_warmth_t095_s00188;low_competence_t095_s00191;low_warmth_t026_s00081;low_warmth_t035_s00093,low_warmth;high_warmth;low_competence;low_warmth;low_warmth,
google/gemma-3-12b-it,31,16k,warmth,20,1353,40.52912521362305,17.47439956665039,0.03,high_warmth_t036_s00096;high_warmth_t026_s00080;high_competence_t036_s00098;high_warmth_t055_s00124;high_warmth_t097_s00196,high_warmth;high_warmth;high_competence;high_warmth;high_warmth,
google/gemma-3-12b-it,31,16k,warmth,21,1714,39.05577087402344,36.24000930786133,0.06,high_warmth_t055_s00124;high_warmth_t035_s00092;low_warmth_t096_s00193;high_warmth_t067_s00144;high_competence_t018_s00074,high_warmth;high_warmth;low_warmth;high_warmth;high_competence,
