name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,37216.35546875,39902.5078125,0.0
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,35695.3984375,38269.10546875,0.0
abd al-hakiim amar,29.0,39.906976744186046,widner,43,34826.765625,37295.05078125,-0.625
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,36846.15625,39536.79296875,-0.125
abigail,73.0,53.0,neumark,2,38719.6484375,41517.2578125,-0.125
abigale,61.0,60.0,neumark,2,36874.28125,39514.3828125,-0.25
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,35501.37890625,38032.22265625,-0.5
adam,61.48514851485149,68.79207920792079,flake_leasure,202,38698.015625,41503.76953125,-0.25
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,35734.2734375,38257.88671875,-0.25
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,35524.3828125,38048.69140625,-0.625
aisha,55.78175895765472,53.618892508143325,bertrand,307,38728.75390625,41519.15234375,0.0
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,35993.203125,38602.5859375,-0.25
alexander,70.0,68.0,neumark,1,38534.5859375,41329.46875,-0.25
alexis,76.0,82.5,neumark,2,38534.109375,41320.73046875,0.0
ali saeed,47.53846153846154,53.0,oreopoulos,13,38045.6171875,40783.02734375,-0.125
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,38205.50390625,40968.95703125,0.0
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,38033.85546875,40800.89453125,0.0
allison,65.14332247557003,64.34527687296416,bertrand,307,38713.69921875,41507.00390625,-0.125
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,38715.33203125,41504.5703125,-0.25
amber,50.0,56.0,neumark,1,38706.65625,41509.015625,0.0
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,38021.02734375,40788.5625,-0.25
amy,66.95566502463055,63.857142857142854,flake_leasure,203,38892.7421875,41683.48828125,-0.125
amy rasmussen,54.53,66.33,nunley,100,38044.140625,40798.14453125,-0.25
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,38219.8359375,40985.5078125,-0.25
amy wood,67.60975609756098,66.70731707317073,gorzig,41,38399.62890625,41147.8359375,-0.25
andre robinson,57.0,57.86274509803921,gorzig,51,37843.3046875,40614.0625,-0.125
andrew,62.0,38.0,neumark,1,38708.56640625,41504.1953125,-0.125
angela,57.495049504950494,61.68316831683168,farber,101,38889.3203125,41688.23046875,-0.25
anne,66.0228013029316,65.8295081967213,bertrand,307,38720.4140625,41497.08984375,-0.125
anthony,51.0,63.5,neumark,2,38702.921875,41503.5625,-0.25
antwan,44.45544554455446,43.76237623762376,flake_leasure,202,37511.74609375,40218.62109375,-0.25
arjun kumar,42.6875,64.375,oreopoulos,16,38232.61328125,40995.54296875,-0.125
ashley,82.0,79.0,neumark,1,38714.05859375,41510.03515625,0.0
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,37030.578125,39714.28125,-0.25
austin,55.5,83.5,neumark,2,38365.49609375,41137.953125,-0.375
ava,37.333333333333336,42.0,neumark,3,38725.328125,41514.60546875,-0.125
babara,18.0,10.0,neumark,1,37863.3828125,40578.8125,-0.375
barbara,45.5,73.5,neumark,2,38709.29296875,41501.96875,-0.375
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,38202.4453125,40979.23046875,-0.375
brad,55.3125,58.786184210526315,bertrand,304,38532.8671875,41313.7109375,-0.25
bradley,59.0,64.7128712871287,flake_leasure,202,38350.1953125,41132.8046875,-0.375
brandom,36.0,36.0,neumark,3,36815.90234375,39480.26953125,-0.625
brandon,35.0,35.0,neumark,1,38531.9140625,41320.3203125,-0.25
brenda,59.0,49.0,neumark,1,38888.1328125,41686.640625,-0.125
brendan,58.33550488599349,62.472312703583064,bertrand,307,38549.26953125,41329.2421875,-0.125
brett,56.693811074918564,59.928338762214985,bertrand,307,38199.2109375,40954.4453125,-0.125
brianna,41.5,21.5,neumark,2,37546.7578125,40242.41796875,0.0
carol,75.0,53.0,neumark,1,38710.515625,41498.73828125,-0.125
carolyn,75.33333333333333,64.66666666666667,neumark,3,38542.046875,41330.62109375,-0.125
carrie,61.97394136807818,61.45928338762215,bertrand,307,38548.63671875,41321.34765625,-0.125
carrie johnson,63.07843137254902,63.23529411764706,jacquemet,51,38032.83203125,40782.2734375,-0.125
carrie martin,71.08333333333333,67.25,oreopoulos,12,38212.98046875,40969.51171875,-0.125
chad,53.396039603960396,56.10891089108911,flake_leasure,202,38494.70703125,41289.94140625,-0.375
chales,47.666666666666664,53.333333333333336,neumark,3,37505.98046875,40199.09765625,-0.625
charles,59.0,80.5,neumark,2,38701.875,41496.4296875,-0.25
chaudhry mohammad,42.125,59.125,oreopoulos,8,35989.63671875,38557.92578125,-0.25
chloe,38.5,31.0,neumark,2,38723.24609375,41500.6328125,-0.125
christina,71.0,69.0,neumark,1,38542.26171875,41326.00390625,-0.25
chritine,46.5,25.5,neumark,2,37020.52734375,39673.7109375,-0.25
chrostopher,42.0,65.0,neumark,2,36160.42578125,38729.9453125,-0.625
claire kruger,49.97,65.54,nunley,100,37856.84375,40616.265625,0.0
cody baker,53.58,61.5,nunley,100,37852.078125,40616.2734375,-0.375
courtney,36.5,83.0,neumark,2,38535.1640625,41320.41796875,-0.125
cynthia,50.5,60.25,neumark,4,38706.19140625,41509.31640625,-0.25
daniel,55.0,65.5,neumark,2,38543.5078125,41329.11328125,-0.25
danielle,75.0,58.0,neumark,2,38711.0,41506.2734375,-0.25
darius jackson,49.46296296296296,55.851851851851855,gorzig,54,38015.94140625,40789.26171875,-0.125
darnell,49.95454545454545,52.672077922077925,bertrand,308,37181.17578125,39877.921875,-0.375
david,56.0,63.0,neumark,1,38882.6015625,41692.234375,-0.375
david schmitt,52.80555555555556,69.47222222222223,widner,36,38366.51953125,41165.44921875,0.0
dawn,74.0,51.5,neumark,2,38710.5234375,41495.75,-0.25
deandre washington,44.25,47.2,nunley,100,36144.50390625,38774.07421875,-0.25
deborah,42.5,59.5,neumark,2,38711.15234375,41504.671875,-0.25
debra,46.0,53.5,neumark,4,38707.13671875,41490.921875,-0.375
dennis,37.5,38.0,neumark,2,38526.28515625,41307.63671875,-0.25
deshawn jefferson,45.4,45.85,nunley,100,36518.390625,39140.6640625,-0.125
diane,50.0,65.0,neumark,1,38711.71875,41505.2578125,-0.25
donald,12.0,40.0,neumark,1,38511.90234375,41305.67578125,-0.375
dong liu,50.22222222222222,63.22222222222222,oreopoulos,18,37879.83203125,40624.12890625,-0.25
donna,57.883495145631066,59.699029126213595,farber,103,38713.484375,41504.23828125,-0.125
donnell,50.396039603960396,48.42574257425743,flake_leasure,202,37688.01953125,40409.19140625,-0.25
dorothy,70.0,72.0,neumark,1,38721.25390625,41513.13671875,-0.125
dziella lousaper,49.72649572649573,52.82051282051282,jacquemet,117,35180.13671875,37683.296875,-0.5
ebony,51.80065359477124,49.669934640522875,bertrand,306,38365.3671875,41146.53125,-0.125
ebony booker,49.16,49.73,nunley,100,37860.0078125,40614.6875,-0.125
ebony williams,61.76470588235294,60.88235294117647,jacquemet,51,38031.953125,40799.94140625,0.0
edona sanastroug,40.53191489361702,45.702127659574465,jacquemet,47,35205.46875,37694.84375,-0.25
edona sanatroug,58.22222222222222,65.47619047619048,jacquemet,63,35384.8515625,37878.8984375,-0.25
edward,57.666666666666664,73.33333333333333,neumark,3,38361.2421875,41133.77734375,-0.375
emily,66.26384364820846,64.90228013029316,bertrand,307,38907.515625,41700.84375,-0.125
emily brown,76.28571428571429,70.42857142857143,oreopoulos,14,38732.15625,41530.75,-0.125
emma,77.66666666666667,68.33333333333333,neumark,3,38735.69921875,41510.0625,0.0
eric wang,52.46153846153846,80.3076923076923,oreopoulos,13,38219.1796875,40998.68359375,-0.125
erin,64.1980198019802,63.0,flake_leasure,202,38559.1953125,41330.32421875,-0.125
ethan,30.333333333333332,68.0,neumark,3,38714.0078125,41520.22265625,-0.25
fang wang,53.5,62.25,oreopoulos,12,38036.03125,40810.13671875,0.0
fathia hassan,44.67307692307692,43.42307692307692,gorzig,52,36194.78125,38793.9140625,-0.25
fatima sheikh,53.666666666666664,42.888888888888886,oreopoulos,9,38054.5625,40810.23828125,-0.125
frank,37.166666666666664,51.333333333333336,neumark,6,38701.33984375,41492.85546875,-0.25
gadarine besnik,49.26086956521739,57.02608695652174,jacquemet,115,35858.921875,38422.89453125,-0.25
geoffrey,53.003246753246756,63.22402597402598,bertrand,308,38530.015625,41308.37890625,-0.375
george,50.0,54.0,neumark,1,38705.765625,41491.1796875,-0.375
greg,58.03583061889251,63.557003257328994,bertrand,307,38546.23828125,41320.515625,-0.375
greg johnson,70.71428571428571,78.42857142857143,oreopoulos,14,38369.89453125,41151.546875,-0.25
hakim,45.57516339869281,50.95424836601307,bertrand,306,38379.3828125,41146.375,-0.125
hannah,76.0,72.0,neumark,2,38732.7421875,41517.57421875,-0.25
hassan khan,45.22222222222222,55.333333333333336,oreopoulos,9,38191.609375,40967.99609375,-0.125
heather,62.20065789473684,58.67763157894737,farber,304,38532.44921875,41319.33203125,-0.125
hina chaudhry,48.666666666666664,56.22222222222222,oreopoulos,9,35333.72265625,37864.0078125,-0.125
imani williams,55.170731707317074,51.09756097560975,gorzig,41,37885.49609375,40626.19921875,-0.125
isabella,55.5,59.5,neumark,2,38888.48828125,41702.03125,-0.125
jack li,51.1875,73.5,oreopoulos,16,38385.69140625,41164.86328125,-0.25
