name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,26400.8828125,25401.056640625,1.25
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,25173.013671875,24219.458984375,1.125
abd al-hakiim amar,29.0,39.906976744186046,widner,43,24195.142578125,23286.458984375,0.625
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,25654.740234375,24652.02734375,1.625
abigail,73.0,53.0,neumark,2,26559.53125,25568.01171875,0.875
abigale,61.0,60.0,neumark,2,25194.103515625,24285.583984375,1.25
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,24987.173828125,24061.322265625,0.5
adam,61.48514851485149,68.79207920792079,flake_leasure,202,26599.005859375,25612.802734375,1.375
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,24817.1015625,23854.57421875,1.5
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,24605.0234375,23623.84375,1.25
aisha,55.78175895765472,53.618892508143325,bertrand,307,26950.873046875,25920.18359375,1.375
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,24964.025390625,24051.61328125,1.375
alexander,70.0,68.0,neumark,1,26536.642578125,25551.962890625,0.875
alexis,76.0,82.5,neumark,2,26787.82421875,25792.712890625,1.125
ali saeed,47.53846153846154,53.0,oreopoulos,13,26665.962890625,25628.78125,1.125
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,27018.6640625,25979.939453125,1.5
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,26645.734375,25619.888671875,1.125
allison,65.14332247557003,64.34527687296416,bertrand,307,26914.630859375,25911.19921875,1.25
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,26735.904296875,25724.7109375,0.875
amber,50.0,56.0,neumark,1,26801.021484375,25794.384765625,1.25
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,26818.40625,25816.662109375,1.0
amy,66.95566502463055,63.857142857142854,flake_leasure,203,26738.18359375,25725.935546875,1.0
amy rasmussen,54.53,66.33,nunley,100,26605.439453125,25565.24609375,1.0
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,26973.53125,25914.814453125,1.0
amy wood,67.60975609756098,66.70731707317073,gorzig,41,26687.28515625,25680.625,1.25
andre robinson,57.0,57.86274509803921,gorzig,51,26651.419921875,25632.041015625,1.375
andrew,62.0,38.0,neumark,1,26560.478515625,25577.140625,1.0
angela,57.495049504950494,61.68316831683168,farber,101,26772.466796875,25796.474609375,1.375
anne,66.0228013029316,65.8295081967213,bertrand,307,26746.1953125,25734.22265625,0.875
anthony,51.0,63.5,neumark,2,26611.703125,25629.23828125,1.25
antwan,44.45544554455446,43.76237623762376,flake_leasure,202,25931.4609375,24989.185546875,1.625
arjun kumar,42.6875,64.375,oreopoulos,16,26671.8046875,25634.775390625,1.0
ashley,82.0,79.0,neumark,1,26780.25,25784.14453125,1.0
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,25729.92578125,24763.732421875,1.5
austin,55.5,83.5,neumark,2,26549.142578125,25565.990234375,1.875
ava,37.333333333333336,42.0,neumark,3,26745.810546875,25746.05078125,1.25
babara,18.0,10.0,neumark,1,25878.623046875,24922.767578125,1.0
barbara,45.5,73.5,neumark,2,26727.212890625,25732.333984375,0.625
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,26970.677734375,25917.59765625,0.75
brad,55.3125,58.786184210526315,bertrand,304,26718.822265625,25719.12109375,1.625
bradley,59.0,64.7128712871287,flake_leasure,202,26534.916015625,25539.03125,1.25
brandom,36.0,36.0,neumark,3,25198.6171875,24274.189453125,1.125
brandon,35.0,35.0,neumark,1,26682.814453125,25665.2734375,1.25
brenda,59.0,49.0,neumark,1,26732.337890625,25725.052734375,1.0
brendan,58.33550488599349,62.472312703583064,bertrand,307,26563.19921875,25552.328125,1.25
brett,56.693811074918564,59.928338762214985,bertrand,307,26607.505859375,25611.373046875,1.75
brianna,41.5,21.5,neumark,2,25893.021484375,24934.291015625,1.625
carol,75.0,53.0,neumark,1,26733.3203125,25743.60546875,1.125
carolyn,75.33333333333333,64.66666666666667,neumark,3,26689.015625,25675.119140625,1.25
carrie,61.97394136807818,61.45928338762215,bertrand,307,26848.359375,25862.529296875,0.625
carrie johnson,63.07843137254902,63.23529411764706,jacquemet,51,26558.494140625,25579.36328125,0.875
carrie martin,71.08333333333333,67.25,oreopoulos,12,26521.015625,25515.1015625,1.125
chad,53.396039603960396,56.10891089108911,flake_leasure,202,26912.802734375,25955.099609375,1.75
chales,47.666666666666664,53.333333333333336,neumark,3,25060.53125,24160.943359375,1.5
charles,59.0,80.5,neumark,2,26551.794921875,25559.404296875,0.75
chaudhry mohammad,42.125,59.125,oreopoulos,8,25615.84765625,24677.134765625,1.125
chloe,38.5,31.0,neumark,2,26804.330078125,25798.107421875,1.0
christina,71.0,69.0,neumark,1,26552.1484375,25572.349609375,0.75
