name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,37215.84765625,39901.73828125,0.125
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,35695.44921875,38269.33984375,-0.25
abd al-hakiim amar,29.0,39.906976744186046,widner,43,34826.97265625,37294.83203125,-0.75
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,36844.88671875,39535.515625,-0.25
abigail,73.0,53.0,neumark,2,38547.26171875,41333.34375,-0.125
abigale,61.0,60.0,neumark,2,36873.27734375,39514.421875,-0.125
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,35502.12109375,38032.53515625,-0.625
adam,61.48514851485149,68.79207920792079,flake_leasure,202,38525.46484375,41319.8125,-0.25
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,35563.26953125,38075.28125,-0.375
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,35523.68359375,38048.05859375,-0.625
aisha,55.78175895765472,53.618892508143325,bertrand,307,38728.01953125,41519.09375,-0.125
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,35993.32421875,38602.62890625,-0.125
alexander,70.0,68.0,neumark,1,38534.3984375,41329.20703125,-0.25
alexis,76.0,82.5,neumark,2,38533.75,41320.171875,-0.25
ali saeed,47.53846153846154,53.0,oreopoulos,13,38044.2578125,40783.17578125,0.0
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,38204.05859375,40968.52734375,-0.125
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,37862.015625,40617.7890625,-0.125
allison,65.14332247557003,64.34527687296416,bertrand,307,38713.375,41506.40625,-0.125
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,38713.85546875,41502.97265625,-0.125
amber,50.0,56.0,neumark,1,38705.9375,41509.01171875,-0.125
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,38020.45703125,40789.5234375,0.125
amy,66.95566502463055,63.857142857142854,flake_leasure,203,38719.46484375,41500.1953125,-0.25
amy rasmussen,54.53,66.33,nunley,100,38043.921875,40798.359375,-0.25
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,38219.5390625,40985.18359375,-0.125
amy wood,67.60975609756098,66.70731707317073,gorzig,41,38398.68359375,41146.98828125,-0.25
andre robinson,57.0,57.86274509803921,gorzig,51,37671.3203125,40430.4375,0.125
andrew,62.0,38.0,neumark,1,38709.0390625,41505.15234375,-0.125
angela,57.495049504950494,61.68316831683168,farber,101,38716.18359375,41504.21875,-0.125
anne,66.0228013029316,65.8295081967213,bertrand,307,38720.12890625,41497.0078125,-0.125
anthony,51.0,63.5,neumark,2,38701.46484375,41503.59765625,0.0
antwan,44.45544554455446,43.76237623762376,flake_leasure,202,37511.08203125,40218.40625,-0.375
arjun kumar,42.6875,64.375,oreopoulos,16,38060.22265625,40811.82421875,-0.125
ashley,82.0,79.0,neumark,1,38713.734375,41509.86328125,0.0
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,37030.5078125,39714.00390625,-0.25
austin,55.5,83.5,neumark,2,38364.36328125,41138.12890625,-0.25
ava,37.333333333333336,42.0,neumark,3,38724.86328125,41514.77734375,0.0
babara,18.0,10.0,neumark,1,37690.9375,40395.49609375,-0.375
barbara,45.5,73.5,neumark,2,38708.734375,41501.2109375,-0.375
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,38202.78515625,40979.453125,-0.25
brad,55.3125,58.786184210526315,bertrand,304,38532.078125,41312.953125,-0.5
bradley,59.0,64.7128712871287,flake_leasure,202,38178.28125,40949.5859375,-0.25
brandom,36.0,36.0,neumark,3,36815.56640625,39479.9140625,-0.625
brandon,35.0,35.0,neumark,1,38359.51953125,41136.84375,-0.125
brenda,59.0,49.0,neumark,1,38715.96875,41504.24609375,-0.125
brendan,58.33550488599349,62.472312703583064,bertrand,307,38376.98046875,41145.453125,-0.125
brett,56.693811074918564,59.928338762214985,bertrand,307,38197.3828125,40953.91796875,-0.25
brianna,41.5,21.5,neumark,2,37545.43359375,40241.47265625,0.0
carol,75.0,53.0,neumark,1,38537.33203125,41314.296875,-0.25
carolyn,75.33333333333333,64.66666666666667,neumark,3,38541.34765625,41330.23828125,-0.25
carrie,61.97394136807818,61.45928338762215,bertrand,307,38547.828125,41320.9453125,-0.125
carrie johnson,63.07843137254902,63.23529411764706,jacquemet,51,38032.26171875,40781.953125,-0.125
carrie martin,71.08333333333333,67.25,oreopoulos,12,38039.98046875,40785.93359375,0.0
chad,53.396039603960396,56.10891089108911,flake_leasure,202,38323.55078125,41107.234375,-0.625
chales,47.666666666666664,53.333333333333336,neumark,3,37504.6015625,40198.5078125,-0.625
charles,59.0,80.5,neumark,2,38528.921875,41312.484375,-0.25
