name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,1.4528297185897827,5.8014020919799805,21.8125
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,1.346678376197815,5.770181655883789,21.5625
abd al-hakiim amar,29.0,39.906976744186046,widner,43,1.7560992240905762,6.077605247497559,21.5625
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,1.2398467063903809,5.957596778869629,21.4375
abigail,73.0,53.0,neumark,2,0.8320424556732178,5.413382053375244,21.25
abigale,61.0,60.0,neumark,2,1.412011742591858,5.655913352966309,21.625
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,1.1710139513015747,5.722751617431641,21.125
adam,61.48514851485149,68.79207920792079,flake_leasure,202,0.8018856048583984,5.496160507202148,20.375
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,1.0635645389556885,5.3399224281311035,22.0625
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,1.2951250076293945,5.611814498901367,21.5625
aisha,55.78175895765472,53.618892508143325,bertrand,307,1.0675896406173706,5.434568881988525,21.9375
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,1.8058803081512451,6.322299957275391,21.25
alexander,70.0,68.0,neumark,1,0.752139687538147,5.4747138023376465,21.0
alexis,76.0,82.5,neumark,2,0.8443990349769592,5.458790302276611,21.3125
ali saeed,47.53846153846154,53.0,oreopoulos,13,1.0396908521652222,5.697897434234619,21.1875
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,0.9459662437438965,5.631814002990723,21.6875
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,1.0049517154693604,5.82412052154541,21.1875
allison,65.14332247557003,64.34527687296416,bertrand,307,0.88921058177948,5.463404655456543,21.4375
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,0.8295573592185974,5.436038970947266,21.125
amber,50.0,56.0,neumark,1,0.9281284213066101,5.477754592895508,21.125
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,0.9384406805038452,5.600319862365723,22.0
amy,66.95566502463055,63.857142857142854,flake_leasure,203,0.9746571779251099,5.427272796630859,21.375
amy rasmussen,54.53,66.33,nunley,100,1.0621922016143799,5.662993907928467,21.5
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,1.036559820175171,5.616785049438477,21.875
amy wood,67.60975609756098,66.70731707317073,gorzig,41,1.0806078910827637,5.784700393676758,21.6875
andre robinson,57.0,57.86274509803921,gorzig,51,0.9679134488105774,5.731942176818848,21.125
andrew,62.0,38.0,neumark,1,0.9396511316299438,5.525089263916016,20.8125
angela,57.495049504950494,61.68316831683168,farber,101,0.8353862166404724,5.427721977233887,21.375
anne,66.0228013029316,65.8295081967213,bertrand,307,1.0252246856689453,5.512052536010742,21.375
anthony,51.0,63.5,neumark,2,0.7981469631195068,5.475614070892334,20.8125
antwan,44.45544554455446,43.76237623762376,flake_leasure,202,1.1325640678405762,5.8021721839904785,21.4375
arjun kumar,42.6875,64.375,oreopoulos,16,0.8442983031272888,5.56859016418457,21.375
ashley,82.0,79.0,neumark,1,0.8938623666763306,5.369716644287109,21.3125
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,1.0354804992675781,5.66450309753418,21.125
austin,55.5,83.5,neumark,2,0.840401291847229,5.453164100646973,21.1875
ava,37.333333333333336,42.0,neumark,3,0.8765496015548706,5.338116645812988,21.6875
babara,18.0,10.0,neumark,1,1.0591453313827515,5.3499674797058105,20.8125
barbara,45.5,73.5,neumark,2,0.8916721343994141,5.577164173126221,21.3125
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,0.9629647731781006,5.707153797149658,20.875
brad,55.3125,58.786184210526315,bertrand,304,0.8494687676429749,5.524314880371094,20.8125
bradley,59.0,64.7128712871287,flake_leasure,202,0.8270638585090637,5.468019485473633,20.6875
brandom,36.0,36.0,neumark,3,0.8588172197341919,5.488897800445557,20.8125
brandon,35.0,35.0,neumark,1,0.850733757019043,5.521629810333252,20.8125
brenda,59.0,49.0,neumark,1,0.8592268228530884,5.521773338317871,21.0
brendan,58.33550488599349,62.472312703583064,bertrand,307,0.8782007694244385,5.576663017272949,20.625
brett,56.693811074918564,59.928338762214985,bertrand,307,0.8513952493667603,5.603548049926758,21.25
brianna,41.5,21.5,neumark,2,1.110703945159912,5.603599548339844,21.5
carol,75.0,53.0,neumark,1,1.0278810262680054,5.648036479949951,21.3125
carolyn,75.33333333333333,64.66666666666667,neumark,3,0.945039689540863,5.448766231536865,21.25
carrie,61.97394136807818,61.45928338762215,bertrand,307,0.9396072030067444,5.478598594665527,21.1875
carrie johnson,63.07843137254902,63.23529411764706,jacquemet,51,0.9116575717926025,5.638246536254883,21.625
carrie martin,71.08333333333333,67.25,oreopoulos,12,1.0043103694915771,5.777964115142822,21.625
chad,53.396039603960396,56.10891089108911,flake_leasure,202,0.6430028080940247,5.384303092956543,20.0625
chales,47.666666666666664,53.333333333333336,neumark,3,1.01017427444458,5.362287521362305,19.0625
charles,59.0,80.5,neumark,2,0.9144400358200073,5.531469345092773,20.625
chaudhry mohammad,42.125,59.125,oreopoulos,8,1.1729419231414795,5.8004150390625,21.0625
chloe,38.5,31.0,neumark,2,0.974995493888855,5.444084644317627,21.4375
christina,71.0,69.0,neumark,1,0.8398128151893616,5.335613250732422,21.5625
chritine,46.5,25.5,neumark,2,1.1082026958465576,5.313827037811279,21.0625
chrostopher,42.0,65.0,neumark,2,1.1412010192871094,5.318203926086426,17.8125
claire kruger,49.97,65.54,nunley,100,0.920194149017334,5.668283462524414,21.375
cody baker,53.58,61.5,nunley,100,0.9563612937927246,5.703299522399902,21.1875
courtney,36.5,83.0,neumark,2,0.8356080651283264,5.42164421081543,21.0625
cynthia,50.5,60.25,neumark,4,0.8423659205436707,5.46583366394043,21.5
daniel,55.0,65.5,neumark,2,0.7668086290359497,5.406968116760254,20.9375
danielle,75.0,58.0,neumark,2,0.9256109595298767,5.46866512298584,21.625
darius jackson,49.46296296296296,55.851851851851855,gorzig,54,0.7236055135726929,5.562891960144043,21.375
darnell,49.95454545454545,52.672077922077925,bertrand,308,1.0714070796966553,5.629073619842529,21.6875
david,56.0,63.0,neumark,1,0.8466065526008606,5.4235405921936035,21.0625
david schmitt,52.80555555555556,69.47222222222223,widner,36,0.8480796217918396,5.6665849685668945,20.625
dawn,74.0,51.5,neumark,2,0.8293435573577881,5.401055335998535,21.25
deandre washington,44.25,47.2,nunley,100,1.1020482778549194,5.8134002685546875,21.4375
deborah,42.5,59.5,neumark,2,0.9170819520950317,5.46876335144043,21.3125
debra,46.0,53.5,neumark,4,0.8235734701156616,5.476576805114746,20.4375
dennis,37.5,38.0,neumark,2,0.8767901062965393,5.5009260177612305,21.0625
deshawn jefferson,45.4,45.85,nunley,100,1.1922770738601685,5.818711757659912,21.3125
diane,50.0,65.0,neumark,1,0.9681894779205322,5.536322593688965,21.0
donald,12.0,40.0,neumark,1,0.6031774282455444,5.430328845977783,20.6875
dong liu,50.22222222222222,63.22222222222222,oreopoulos,18,1.0016666650772095,5.607572555541992,21.3125
donna,57.883495145631066,59.699029126213595,farber,103,0.7723141312599182,5.391722679138184,21.125
donnell,50.396039603960396,48.42574257425743,flake_leasure,202,1.1766513586044312,5.874852180480957,21.125
