name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,-1.2384483814239502,-0.12411803007125854,-2.1875
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,-0.9870191812515259,-0.07593980431556702,-2.125
abd al-hakiim amar,29.0,39.906976744186046,widner,43,-0.9989557266235352,-0.11209040880203247,-2.3125
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,-1.1887792348861694,-0.2103632688522339,-2.1875
abigail,73.0,53.0,neumark,2,-1.2851260900497437,-0.16729271411895752,-2.0625
abigale,61.0,60.0,neumark,2,-1.1806235313415527,-0.170587956905365,-2.0
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,-1.0499805212020874,-0.1860070824623108,-2.5
adam,61.48514851485149,68.79207920792079,flake_leasure,202,-1.3671714067459106,-0.18088430166244507,-2.0
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,-0.8612484335899353,-0.14230138063430786,-2.25
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,-1.0088728666305542,-0.18432602286338806,-2.1875
aisha,55.78175895765472,53.618892508143325,bertrand,307,-1.2930902242660522,-0.1334894895553589,-2.125
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,-1.1377578973770142,-0.12844908237457275,-2.25
alexander,70.0,68.0,neumark,1,-1.3394346237182617,-0.15558859705924988,-2.1875
alexis,76.0,82.5,neumark,2,-1.3523225784301758,-0.14424347877502441,-2.125
ali saeed,47.53846153846154,53.0,oreopoulos,13,-1.249588966369629,-0.21457675099372864,-2.25
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,-1.3727953433990479,-0.17027565836906433,-1.9375
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,-1.4113054275512695,-0.17024961113929749,-2.125
allison,65.14332247557003,64.34527687296416,bertrand,307,-1.3449273109436035,-0.16507887840270996,-2.0625
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,-1.3856908082962036,-0.17048576474189758,-2.0
amber,50.0,56.0,neumark,1,-1.329033613204956,-0.1522534191608429,-2.0625
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,-1.4025371074676514,-0.16065752506256104,-1.9375
