callback_margin,human_competent,human_warm,model_competence,model_warmth,n_raters,name,study
5.625,47.86,51.11,8.127142238810677,5.31708055489594,100,aaliyah jackson,nunley
5.125,44.71739130434783,45.15217391304348,8.33843616437082,5.7073533617958505,46,aasha waabberi,gorzig
5.375,39.906976744186046,29.0,7.912681305450735,5.235508850578299,43,abd al-hakiim amar,widner
5.375,45.96296296296296,31.88888888888889,7.795768490478717,5.210772615310751,54,abdullah abukar,gorzig
5.5,53.0,73.0,7.904643654518134,4.986844070749078,2,abigail,neumark
5.125,60.0,61.0,7.674296596397401,4.890629466188666,2,abigale,neumark
5.375,49.083333333333336,40.979166666666664,8.02311928300581,5.194430283484272,48,abu amjad khazin,widner
5.375,68.79207920792079,61.48514851485149,8.341690415674911,5.281000455997523,202,adam,flake_leasure
5.125,61.77777777777778,53.07936507936508,7.792291937804107,5.288355633659572,63,aferdita dzaghig,jacquemet
4.875,48.3469387755102,40.755102040816325,7.447087551420863,4.715306342135104,49,afredita dzaghig,jacquemet
5.625,53.618892508143325,55.78175895765472,8.29132904255654,5.516011231287866,307,aisha,bertrand
4.625,44.325581395348834,35.348837209302324,8.090224282541632,4.911213219931438,43,al-malik khalil,widner
5.25,68.0,70.0,8.478833927542963,5.321317592783904,1,alexander,neumark
5.375,82.5,76.0,8.097496044839499,5.119745713820133,2,alexis,neumark
5.375,53.0,47.53846153846154,8.131007347965221,5.439318756338526,13,ali saeed,oreopoulos
5.625,70.23076923076923,67.61538461538461,8.130977810139386,5.046114912205205,13,alison johnson,oreopoulos
5.25,79.3076923076923,55.53846153846154,8.099384323882578,4.951496373374171,13,allen wang,oreopoulos
5.5,64.34527687296416,65.14332247557003,7.863518466216078,4.967817444149347,307,allison,bertrand
5.375,58.94174757281554,63.70873786407767,8.227356636997472,5.257617324875778,206,amanda,flake_leasure
5.375,56.0,50.0,8.015119355892015,5.213931705705567,1,amber,neumark
5.5,67.77777777777777,69.44444444444444,8.285707877691216,5.27822684358641,63,amber sullivan,gorzig
5.5,63.857142857142854,66.95566502463055,7.958445529068879,5.032314292377939,203,amy,flake_leasure
5.5,66.33,54.53,7.5829856033379315,4.907521854305955,100,amy rasmussen,nunley
5.375,65.83333333333333,56.333333333333336,8.283724928998673,5.207296479796882,6,amy wang,oreopoulos
5.375,66.70731707317073,67.60975609756098,8.1603425243528,5.071369106792599,41,amy wood,gorzig
5.5,57.86274509803921,57.0,8.191682569523582,5.022740710835996,51,andre robinson,gorzig
5.375,38.0,62.0,8.306281077185412,5.270483820754224,1,andrew,neumark
5.5,61.68316831683168,57.495049504950494,8.118612138345885,5.199598523191616,101,angela,farber
5.375,65.8295081967213,66.0228013029316,7.769428088718344,5.0224680284956085,307,anne,bertrand
5.375,63.5,51.0,8.339448437979168,5.252163239669732,2,anthony,neumark
5.5,43.76237623762376,44.45544554455446,8.00182553315806,5.0461364496839085,202,antwan,flake_leasure
5.5,64.375,42.6875,8.433634389866546,5.566198343480524,16,arjun kumar,oreopoulos
5.375,79.0,82.0,8.310225190581374,5.349449178533899,1,ashley,neumark
5.25,60.714285714285715,49.714285714285715,7.899571245438104,4.906213896309648,7,asif sheikh,oreopoulos
5.25,83.5,55.5,8.294639575807633,5.194981183286257,2,austin,neumark
5.25,42.0,37.333333333333336,8.018567223810498,5.1105000598634325,3,ava,neumark
4.25,10.0,18.0,7.591463628252381,4.887255583835984,1,babara,neumark
5.375,73.5,45.5,8.181347119253925,5.181761110659416,2,barbara,neumark
5.5,65.52941176470588,49.88235294117647,8.490413462507735,5.232264416294708,17,bill zhang,oreopoulos
5.125,58.786184210526315,55.3125,8.367301028342329,5.301859519145139,304,brad,bertrand
5.25,64.7128712871287,59.0,8.492976025711231,5.31418622326018,202,bradley,flake_leasure
4.625,36.0,36.0,8.111340192516879,4.9559115397906055,3,brandom,neumark
5.25,35.0,35.0,8.436773233174108,5.374537689184187,1,brandon,neumark
5.375,49.0,59.0,8.039907707223422,5.077371187385779,1,brenda,neumark
5.25,62.472312703583064,58.33550488599349,8.441094711712802,5.368459792820731,307,brendan,bertrand
5.25,59.928338762214985,56.693811074918564,8.304349105156446,5.154156855646809,307,brett,bertrand
5.375,21.5,41.5,7.803047106073124,5.076396086923649,2,brianna,neumark
5.375,53.0,75.0,8.163376492894256,5.2405086579956786,1,carol,neumark
5.5,64.66666666666667,75.33333333333333,8.356084151299687,5.267193933910823,3,carolyn,neumark
5.375,61.45928338762215,61.97394136807818,8.0714888579468,5.133575224963016,307,carrie,bertrand
5.375,63.23529411764706,63.07843137254902,8.333765665730853,5.2275891001040256,51,carrie johnson,jacquemet
5.5,67.25,71.08333333333333,8.312135406544368,5.21565060097898,12,carrie martin,oreopoulos
5.25,56.10891089108911,53.396039603960396,8.337449157843272,5.229490971167148,202,chad,flake_leasure
4.125,53.333333333333336,47.666666666666664,7.751021817503572,4.740497275479209,3,chales,neumark
5.25,80.5,59.0,8.216343993734473,5.1223166266916005,2,charles,neumark
5.25,59.125,42.125,7.824731187515442,4.9983882352834215,8,chaudhry mohammad,oreopoulos
5.25,31.0,38.5,8.059399828473651,5.1110513857971025,2,chloe,neumark
5.375,69.0,71.0,8.013297229873906,5.062152191810151,1,christina,neumark
4.375,25.5,46.5,7.878433146558366,4.928994539657692,2,chritine,neumark
3.875,65.0,42.0,8.137198684489999,5.060183393043065,2,chrostopher,neumark
5.375,65.54,49.97,7.677124699620385,4.898188066294984,100,claire kruger,nunley
5.375,61.5,53.58,8.17813413748954,5.0025009664273865,100,cody baker,nunley
5.375,83.0,36.5,8.251214742788257,5.1750184140463755,2,courtney,neumark
5.375,60.25,50.5,8.121619877102882,5.121342863892619,4,cynthia,neumark
5.375,65.5,55.0,8.47004911909003,5.4130336301406174,2,daniel,neumark
5.5,58.0,75.0,8.00949954887996,5.216133893569229,2,danielle,neumark
5.5,55.851851851851855,49.46296296296296,8.521434903065247,5.314053606166,54,darius jackson,gorzig
5.375,52.672077922077925,49.95454545454545,8.122653891311767,5.28015190753483,308,darnell,bertrand
5.5,63.0,56.0,8.460225289634431,5.292108624182828,1,david,neumark
5.5,69.47222222222223,52.80555555555556,8.558494570437944,5.310383021386814,36,david schmitt,widner
5.375,51.5,74.0,8.300923380738512,5.292860340640245,2,dawn,neumark
5.5,47.2,44.25,8.350892148684977,5.2256585583691155,100,deandre washington,nunley
5.375,59.5,42.5,8.135920573248502,5.105209585192061,2,deborah,neumark
5.25,53.5,46.0,7.801028368428246,4.977916949932978,4,debra,neumark
5.25,38.0,37.5,8.351245415393414,5.239884531576532,2,dennis,neumark
5.5,45.85,45.4,8.478668316462933,5.591578058718958,100,deshawn jefferson,nunley
5.5,65.0,50.0,8.15826272843172,5.215381569596809,1,diane,neumark
5.25,40.0,12.0,8.167529555624837,5.052955919165177,1,donald,neumark
5.5,63.22222222222222,50.22222222222222,7.853654318031399,4.850172787936808,18,dong liu,oreopoulos
5.375,59.699029126213595,57.883495145631066,7.872885480055725,4.953384876211071,103,donna,farber
