name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
aaliyah jackson,51.11,47.86,nunley,100,-7.5061540603637695,18.296043395996094,2.25
aasha waabberi,45.15217391304348,44.71739130434783,gorzig,46,-6.831613540649414,17.285924911499023,1.5
abd al-hakiim amar,29.0,39.906976744186046,widner,43,-7.251282691955566,15.099356651306152,1.625
abdullah abukar,31.88888888888889,45.96296296296296,gorzig,54,-7.602991104125977,16.1572208404541,1.375
abigail,73.0,53.0,neumark,2,-8.43838119506836,17.767419815063477,2.0
abigale,61.0,60.0,neumark,2,-7.909279823303223,16.93726921081543,2.125
abu amjad khazin,40.979166666666664,49.083333333333336,widner,48,-6.83162260055542,15.970006942749023,1.625
adam,61.48514851485149,68.79207920792079,flake_leasure,202,-9.508272171020508,17.752906799316406,1.5
aferdita dzaghig,53.07936507936508,61.77777777777778,jacquemet,63,-5.871050834655762,16.274141311645508,1.625
afredita dzaghig,40.755102040816325,48.3469387755102,jacquemet,49,-6.9496541023254395,16.876094818115234,1.5
aisha,55.78175895765472,53.618892508143325,bertrand,307,-8.351459503173828,18.294193267822266,2.125
al-malik khalil,35.348837209302324,44.325581395348834,widner,43,-7.85692834854126,16.023115158081055,1.875
alexander,70.0,68.0,neumark,1,-9.365591049194336,17.73040199279785,1.75
alexis,76.0,82.5,neumark,2,-9.327281951904297,17.6710205078125,1.75
ali saeed,47.53846153846154,53.0,oreopoulos,13,-7.450139999389648,16.397624969482422,1.625
alison johnson,67.61538461538461,70.23076923076923,oreopoulos,13,-8.435461044311523,18.716922760009766,2.0
allen wang,55.53846153846154,79.3076923076923,oreopoulos,13,-9.43314266204834,18.33721160888672,1.625
allison,65.14332247557003,64.34527687296416,bertrand,307,-9.273242950439453,18.070791244506836,2.0
amanda,63.70873786407767,58.94174757281554,flake_leasure,206,-9.231732368469238,17.953187942504883,2.0
amber,50.0,56.0,neumark,1,-9.418008804321289,17.550216674804688,2.0
amber sullivan,69.44444444444444,67.77777777777777,gorzig,63,-9.08856201171875,18.405559539794922,2.0
amy,66.95566502463055,63.857142857142854,flake_leasure,203,-9.213434219360352,17.854557037353516,1.5
amy rasmussen,54.53,66.33,nunley,100,-7.079054832458496,18.072717666625977,1.625
amy wang,56.333333333333336,65.83333333333333,oreopoulos,6,-8.655363082885742,18.63562774658203,1.75
amy wood,67.60975609756098,66.70731707317073,gorzig,41,-9.014113426208496,17.780622482299805,1.625
andre robinson,57.0,57.86274509803921,gorzig,51,-9.021784782409668,17.403860092163086,1.75
andrew,62.0,38.0,neumark,1,-9.506736755371094,17.68124771118164,1.5
angela,57.495049504950494,61.68316831683168,farber,101,-9.36823844909668,17.809926986694336,1.625
anne,66.0228013029316,65.8295081967213,bertrand,307,-9.22909164428711,17.889034271240234,2.125
anthony,51.0,63.5,neumark,2,-9.845091819763184,17.447818756103516,1.875
antwan,44.45544554455446,43.76237623762376,flake_leasure,202,-8.786351203918457,16.948627471923828,1.75
arjun kumar,42.6875,64.375,oreopoulos,16,-8.055871963500977,18.66576385498047,2.0
ashley,82.0,79.0,neumark,1,-9.149739265441895,17.94222068786621,1.75
asif sheikh,49.714285714285715,60.714285714285715,oreopoulos,7,-8.350761413574219,17.59896469116211,1.375
austin,55.5,83.5,neumark,2,-9.326987266540527,17.924236297607422,1.75
ava,37.333333333333336,42.0,neumark,3,-8.79646110534668,18.392118453979492,1.875
babara,18.0,10.0,neumark,1,-9.111598014831543,16.585636138916016,1.25
barbara,45.5,73.5,neumark,2,-9.331579208374023,17.622337341308594,1.75
bill zhang,49.88235294117647,65.52941176470588,oreopoulos,17,-9.144393920898438,18.326366424560547,1.75
brad,55.3125,58.786184210526315,bertrand,304,-9.62291431427002,17.544857025146484,1.375
bradley,59.0,64.7128712871287,flake_leasure,202,-9.68103313446045,17.47932243347168,1.125
