race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,21.84027777777778,0.06597222222222222,1.1366012692451477,5.560691939459907,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,gemma4_26b_a4b,0.8534035038094533,0.16569067570968765,0.5547965849701063,0.25839561087331686
Black,Female,kline,21.80263157894737,0.06254807323224412,1.1830271231500726,5.581809947365208,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,gemma4_26b_a4b,1.0921940183879484,0.29495519899445033,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,21.15972222222222,0.1259129469754774,0.979275643825531,5.490742842356364,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,gemma4_26b_a4b,0.044202080669908786,-0.2624717121365153,0.08051725761435544,0.21906624729743523
Black,Male,kline,21.157894736842106,0.07363654995781058,0.957208448334744,5.544284569589715,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,gemma4_26b_a4b,-0.06930012819286177,0.0652602348206766,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,21.270833333333332,0.09991315673568164,0.9208442502551608,5.3950000868903265,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,gemma4_26b_a4b,-0.25633870349705995,-0.8485185447158285,0.5230674011307682,0.5082300209525706
White,Female,farber,21.229166666666668,0.07706029549264747,0.8804389933745066,5.422106107076009,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,gemma4_26b_a4b,-0.4641623894537372,-0.6826010588828145,0.3530355448134064,0.20741546431805133
White,Female,kline,21.279605263157894,0.05880301613066633,0.91840681590532,5.404981663352565,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,gemma4_26b_a4b,-0.268875601662503,-0.7874207494688744,0.8617911647831445,0.2622130299379943
White,Female,neumark,21.280032467532468,0.03291672774262586,0.9206236585394129,5.442490237099784,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,gemma4_26b_a4b,-0.2574733128770636,-0.5578286437045646,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,20.84027777777778,0.08275260616536796,0.8358832597732544,5.47638914320204,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,gemma4_26b_a4b,-0.6933339750933651,-0.3503315181786775,-0.3093082275622903,0.12177266305458478
White,Male,kline,20.792763157894736,0.07662897021779012,0.8135142263613249,5.445298521142257,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,gemma4_26b_a4b,-0.8083886816798511,-0.5406389779166592,0.45380831837716396,0.4899383014158095
White,Male,neumark,20.586805555555557,0.13245928926916556,0.8626474287774828,5.4251680692036945,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,gemma4_26b_a4b,-0.5556729704756873,-0.6638586151577165,-0.08477486596304186,-0.18021044013496992
