race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,-1.9791666666666667,0.03294039229342062,-1.261157512664795,-0.14572056465678743,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,llama31_8b,0.5398970563266706,0.8478244714666977,0.5547965849701063,0.25839561087331686
Black,Female,kline,-1.957236842105263,0.01854334926018395,-1.2505956135298077,-0.15114559939033104,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,llama31_8b,0.6552861079228697,0.6268380998722292,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,-2.0694444444444446,0.030270131552365787,-1.2713749143812392,-0.17734349105093208,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,llama31_8b,0.42827164892882663,-0.4403213388876434,0.08051725761435544,0.21906624729743523
Black,Male,kline,-2.039473684210526,0.025385607242961017,-1.2657772867303145,-0.16751908942272783,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,llama31_8b,0.4894258918896631,-0.040128717911460235,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,-2.0208333333333335,0.025515518153991435,-1.348253197140164,-0.1728314492437574,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,llama31_8b,-0.41162579967595225,-0.2565253271709072,0.5230674011307682,0.5082300209525706
White,Female,farber,-2.0625,0.025515518153991442,-1.3444830477237701,-0.1720178499817848,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,llama31_8b,-0.37043680894865466,-0.22338372390640177,0.3530355448134064,0.20741546431805133
White,Female,kline,-2.0328947368421053,0.017475194572926782,-1.3488287612011558,-0.17420937513050275,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,llama31_8b,-0.4179138535838628,-0.31265452393994697,0.8617911647831445,0.2622130299379943
White,Female,neumark,-2.070616883116883,0.011915518064856492,-1.3349170514515467,-0.16776199774308634,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,llama31_8b,-0.2659280247501604,-0.05002348006187127,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,-2.076388888888889,0.032572331665440483,-1.354189846250746,-0.1790248784754011,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,llama31_8b,-0.4764838618269426,-0.5088119061241179,-0.3093082275622903,0.12177266305458478
White,Male,kline,-2.0789473684210527,0.019023411812387578,-1.356715490943507,-0.18147621656719004,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,llama31_8b,-0.5040766026817838,-0.6086660705788218,0.45380831837716396,0.4899383014158095
White,Male,neumark,-2.1069444444444443,0.015719063108392044,-1.3399215671751235,-0.17471034460597565,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,llama31_8b,-0.32060250285882563,-0.3330612922099866,-0.08477486596304186,-0.18021044013496992
