race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,3.1666666666666665,0.08333333333333333,0.1684367689909304,0.38737957765296926,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,qwen36_35b_a3b,-0.27116587270335873,-0.10733776631570409,0.5547965849701063,0.25839561087331686
Black,Female,kline,3.085526315789474,0.045895722667667435,0.17372586266005627,0.3936330557832591,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,qwen36_35b_a3b,0.013499719570293629,0.1513345939035353,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,2.9027777777777777,0.05810139073153303,0.17107847295328157,0.39232870025275335,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,qwen36_35b_a3b,-0.12898608348086346,0.09738050361789474,0.08051725761435544,0.21906624729743523
Black,Male,kline,2.861842105263158,0.03563174738875421,0.1706723612061594,0.39224848466023376,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,qwen36_35b_a3b,-0.15084352225126263,0.09406242107069251,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,3.25,0.041666666666666664,0.18880089058879296,0.40241354580239064,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,qwen36_35b_a3b,0.824856451428839,0.5145356845300366,0.5230674011307682,0.5082300209525706
White,Female,farber,3.2291666666666665,0.0371617743756602,0.18746614825264254,0.3996772584678041,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,qwen36_35b_a3b,0.753018960655912,0.40135036776253297,0.3530355448134064,0.20741546431805133
White,Female,kline,3.236842105263158,0.031551523179688935,0.1867193222465837,0.4015631968498274,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,qwen36_35b_a3b,0.7128238571770118,0.47936137577151217,0.8617911647831445,0.2622130299379943
White,Female,neumark,3.1704545454545454,0.020786028233849667,0.1843114468203459,0.3983513908382602,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,qwen36_35b_a3b,0.5832290102692541,0.34650643900372025,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,2.8472222222222223,0.04049272149198126,0.18433485496193988,0.4067857545749855,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,qwen36_35b_a3b,0.5844888655313712,0.6953901688689725,-0.3093082275622903,0.12177266305458478
White,Male,kline,2.861842105263158,0.023208344833899913,0.18153524360671092,0.4012021634084149,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,qwen36_35b_a3b,0.43381030424508377,0.46442738696360525,0.45380831837716396,0.4899383014158095
White,Male,neumark,2.808333333333333,0.041968602983225876,0.17498748782260118,0.39274731782617306,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,qwen36_35b_a3b,0.08140195322132782,0.11469643460696001,-0.08477486596304186,-0.18021044013496992
