axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-7.900907389322916,-7.976994425455729,-7.827503356933594,60,5000
warmth,-0.25,-7.00767822265625,-7.0494922892252605,-6.966711120605469,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.25,1.6135457356770833,1.5752899169921875,1.6536136881510417,60,5000
warmth,0.5,-1.2563761393229167,-1.3175746663411458,-1.1931217447916669,60,5000
competence,-0.5,-4.65845947265625,-4.716224466959636,-4.602782592773438,60,5000
competence,-0.25,-4.311844889322916,-4.348705139160156,-4.276570231119791,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.25,2.823050944010417,2.7811019897460936,2.863446350097656,60,5000
competence,0.5,-0.12799072265625,-0.1976130167643229,-0.05972035725911459,60,5000
