axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-3.044136555989583,-3.081471150716146,-3.0067479451497396,60,5000
warmth,-0.05,-1.2546834309895833,-1.284046630859375,-1.2246613566080728,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.626922607421875,0.5914847310384115,0.6604682922363281,60,5000
warmth,0.1,0.9057820638020834,0.8709145100911458,0.9413060506184896,60,5000
competence,-0.1,-2.987626139322917,-3.017354939778646,-2.957349548339844,60,5000
competence,-0.05,-1.3850870768229167,-1.4144258626302084,-1.3568108113606772,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,0.7615603129069011,0.72594757715861,0.7986700439453125,60,5000
competence,0.1,1.2508504231770834,1.2133153279622395,1.2863203938802084,60,5000
