axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-2.9302083333333333,-3.013033854166667,-2.848424479166667,60,5000
warmth,-0.25,-1.365625,-1.434375,-1.2968489583333338,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.25,0.27708333333333335,0.21041666666666667,0.340625,60,5000
warmth,0.5,0.7489583333333333,0.6760416666666667,0.825,60,5000
competence,-0.5,-2.839583333333333,-2.9557421875,-2.71875,60,5000
competence,-0.25,-1.2734375,-1.3562630208333333,-1.1875,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.25,-1.353125,-1.446875,-1.2572916666666667,60,5000
competence,0.5,-1.9869791666666667,-2.0630208333333333,-1.9109375,60,5000
