axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-2.9773659131205674,-3.0138249390514185,-2.9402149822695036,282,5000
warmth,-0.25,-1.3647218528368794,-1.395196836214539,-1.3338257701684397,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.25,0.27338209219858156,0.24213209219858156,0.3065159574468085,282,5000
warmth,0.5,0.7826906028368794,0.7426806294326241,0.8241384086879432,282,5000
competence,-0.5,-2.8814411569148937,-2.9338462017952125,-2.8266840508643614,282,5000
competence,-0.25,-1.2675642730496455,-1.3121703235815603,-1.2228460217198582,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.25,-1.3854166666666667,-1.4285239361702127,-1.3423066267730497,282,5000
competence,0.5,-1.9926307624113475,-2.033305629432624,-1.9502964317375886,282,5000
