axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.3416666666666667,-0.3885416666666667,-0.29375,60,5000
warmth,-0.05,-0.178125,-0.22916666666666666,-0.12604166666666666,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.0375,-0.01252604166666666,0.08854166666666667,60,5000
warmth,0.1,0.08020833333333334,0.0375,0.12604166666666666,60,5000
competence,-0.1,-0.4822916666666667,-0.540625,-0.421875,60,5000
competence,-0.05,-0.11770833333333333,-0.16458333333333333,-0.07080729166666705,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,-0.22916666666666666,-0.27708333333333335,-0.18125,60,5000
competence,0.1,-0.4479166666666667,-0.5104166666666666,-0.3854166666666667,60,5000
