axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.3869957890070922,-0.41760859929078015,-0.35604845412234043,282,5000
warmth,-0.05,-0.20838874113475178,-0.23554133421985818,-0.18240248226950354,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.020390070921985817,-0.002329898049645389,0.04321808510638298,282,5000
warmth,0.1,0.0749113475177305,0.04997783687943262,0.09995567375886524,282,5000
competence,-0.1,-0.4892578125,-0.5201684397163121,-0.45863080396719863,282,5000
competence,-0.05,-0.11715979609929078,-0.14547526041666664,-0.08776595744680851,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,-0.2562610815602837,-0.2815270390070922,-0.22955452127659576,282,5000
competence,0.1,-0.4613253546099291,-0.4910239361702128,-0.4326213430851064,282,5000
