axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.25416666666666665,-0.31666666666666665,-0.19166666666666668,60,5000
warmth,-0.05,-0.12708333333333333,-0.17291666666666666,-0.08434895833333372,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.017708333333333333,-0.03229166666666667,0.06458333333333334,60,5000
warmth,0.1,0.0625,0.014583333333333334,0.11041666666666666,60,5000
competence,-0.1,-0.4479166666666667,-0.50625,-0.38645833333333335,60,5000
competence,-0.05,-0.10833333333333334,-0.15,-0.06666666666666667,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,-0.18645833333333334,-0.23958333333333334,-0.134375,60,5000
competence,0.1,-0.3802083333333333,-0.4479166666666667,-0.3145833333333333,60,5000
