axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.25868517287234044,-0.2892017121010638,-0.22761351673315608,282,5000
warmth,-0.05,-0.14248116134751773,-0.16924451462765958,-0.11621578568262414,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.0544104609929078,0.032247340425531915,0.07535460992907801,282,5000
warmth,0.1,0.0662677304964539,0.04388020833333334,0.08976063829787234,282,5000
competence,-0.1,-0.4445021609042553,-0.47699693179299646,-0.4130075008311171,282,5000
competence,-0.05,-0.13300642730496454,-0.16079343971631205,-0.10405515846631207,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,-0.2076130319148936,-0.23526291001773048,-0.18057125443262415,282,5000
competence,0.1,-0.40835549645390073,-0.44304078014184395,-0.3755513076241135,282,5000
