axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-11.276529947916666,-11.31867416057181,-11.232513384447032,282,5000
warmth,-0.25,-4.110726052142204,-4.14339702552092,-4.08118999156546,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.25,-1.8765825853280143,-1.937646138076241,-1.795824329565603,282,5000
warmth,0.5,-2.607799340647163,-2.675998206172429,-2.520285315547429,282,5000
competence,-0.5,-7.249380125221631,-7.294531076850621,-7.198580954260859,282,5000
competence,-0.25,-2.8194865774601063,-2.8474579939605498,-2.792144212655142,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.25,-2.4590155418882977,-2.5190187278368796,-2.3831740359042555,282,5000
competence,0.5,-3.607644371952571,-3.6791181415530807,-3.5120325399628767,282,5000
