axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-1.1304715203900708,-1.151928451213431,-1.1097798232491136,282,5000
warmth,-0.05,-0.34263145500886527,-0.36118622908355497,-0.32442618295656034,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.010885901484929078,-0.008865464663674646,0.03230153618129432,282,5000
warmth,0.1,-0.2306799922429078,-0.25975523603723405,-0.19545318387078903,282,5000
competence,-0.1,-1.0510063441932624,-1.0763490933898492,-1.0281226624833777,282,5000
competence,-0.05,-0.2824170268173759,-0.3033476701019504,-0.262774355191711,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,-0.1432845744680851,-0.16424699066378545,-0.12010272952681739,282,5000
competence,0.1,-0.5312811668882979,-0.5614969456449468,-0.49398790724734043,282,5000
