axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-1.1371826171875,-1.1887461344401042,-1.0953100585937499,60,5000
warmth,-0.05,-0.3405354817708333,-0.38484802246093747,-0.29951883951822916,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,-0.06534016927083333,-0.10364583333333334,-0.025992838541666667,60,5000
warmth,0.1,-0.44170735677083334,-0.48333333333333334,-0.3946533203125,60,5000
competence,-0.1,-1.0311604817708333,-1.0933697509765625,-0.9805084228515625,60,5000
competence,-0.05,-0.2651448567708333,-0.3131022135416667,-0.2208740234375,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,-0.24808756510416666,-0.28490010579427083,-0.2118896484375,60,5000
competence,0.1,-0.8142333984375,-0.8571689860026042,-0.7651346842447917,60,5000
