axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.3260416666666667,-0.33958333333333335,-0.31354166666666666,60,5000
warmth,-0.05,-0.18958333333333333,-0.20104166666666667,-0.178125,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.215625,0.203125,0.228125,60,5000
warmth,0.1,0.44583333333333336,0.4322916666666667,0.46041666666666664,60,5000
competence,-0.1,-0.16145833333333334,-0.17291666666666666,-0.15,60,5000
competence,-0.05,-0.090625,-0.103125,-0.078125,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,0.14791666666666667,0.13645833333333332,0.16041666666666668,60,5000
competence,0.1,0.30416666666666664,0.2916666666666667,0.3177083333333333,60,5000
