axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.33958333333333335,-0.35208333333333336,-0.3260416666666667,60,5000
warmth,-0.05,-0.19479166666666667,-0.20729166666666668,-0.18229166666666666,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.21770833333333334,0.20518229166666666,0.23020833333333332,60,5000
warmth,0.1,0.46875,0.45729166666666665,0.48020833333333335,60,5000
competence,-0.1,-0.19479166666666667,-0.20625,-0.18333333333333332,60,5000
competence,-0.05,-0.09895833333333333,-0.109375,-0.08854166666666667,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,0.15833333333333333,0.14791666666666667,0.16979166666666667,60,5000
competence,0.1,0.325,0.31247395833333336,0.3375,60,5000
