axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-2.7375,-2.779166666666667,-2.6875,60,5000
warmth,-0.25,-2.13125,-2.1666666666666665,-2.089583333333333,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.25,2.1333333333333333,2.1083333333333334,2.158333333333333,60,5000
warmth,0.5,2.2395833333333335,2.2083333333333335,2.2729166666666667,60,5000
competence,-0.5,-3.3854166666666665,-3.435416666666667,-3.3270833333333334,60,5000
competence,-0.25,-2.533333333333333,-2.5770833333333334,-2.4875,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.25,0.7395833333333334,0.7166666666666667,0.7625,60,5000
competence,0.5,1.06875,1.0374479166666668,1.1020833333333333,60,5000
