axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-2.734485815602837,-2.757978723404255,-2.7083333333333335,282,5000
warmth,-0.25,-2.122340425531915,-2.141843971631206,-2.101063829787234,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.25,2.1161347517730498,2.101063829787234,2.1298758865248226,282,5000
warmth,0.5,2.2367021276595747,2.220744680851064,2.2531028368794326,282,5000
competence,-0.5,-3.360372340425532,-3.385649379432624,-3.331117021276596,282,5000
competence,-0.25,-2.5243794326241136,-2.545656028368794,-2.500886524822695,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.25,0.7256205673758865,0.7136524822695035,0.737145390070922,282,5000
competence,0.5,1.0549645390070923,1.0398936170212767,1.070921985815603,282,5000
