axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-1.2291666666666667,-1.2411347517730495,-1.2167553191489362,282,5000
warmth,-0.05,-0.6480496453900709,-0.6582446808510638,-0.638286790780142,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.6179078014184397,0.6068262411347518,0.6285460992907801,282,5000
warmth,0.1,1.133421985815603,1.1210106382978724,1.1458333333333333,282,5000
competence,-0.1,-0.9113475177304965,-0.9228723404255319,-0.8993794326241135,282,5000
competence,-0.05,-0.40115248226950356,-0.4104609929078014,-0.39184397163120566,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,0.27393617021276595,0.2641843971631206,0.2841312056737589,282,5000
competence,0.1,0.40868794326241137,0.3967198581560284,0.42065602836879434,282,5000
