axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-1.2020833333333334,-1.2270833333333333,-1.175,60,5000
warmth,-0.05,-0.6416666666666667,-0.6625,-0.6208333333333333,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.6333333333333333,0.6125,0.6541666666666667,60,5000
warmth,0.1,1.1958333333333333,1.1708333333333334,1.21875,60,5000
competence,-0.1,-0.9395833333333333,-0.9604166666666667,-0.9166666666666666,60,5000
competence,-0.05,-0.43333333333333335,-0.45208333333333334,-0.41458333333333336,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,0.35208333333333336,0.32916666666666666,0.375,60,5000
competence,0.1,0.5333333333333333,0.50625,0.5604166666666667,60,5000
