axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-1.9958333333333333,-2.03125,-1.9604166666666667,60,5000
warmth,-0.25,-1.3229166666666667,-1.3479166666666667,-1.2958333333333334,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.25,1.5375,1.4875,1.5895833333333333,60,5000
warmth,0.5,1.2333333333333334,1.1875,1.28125,60,5000
competence,-0.5,-2.20625,-2.247916666666667,-2.1666666666666665,60,5000
competence,-0.25,-0.875,-0.9083333333333333,-0.84375,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.25,0.5229166666666667,0.47291666666666665,0.5729166666666666,60,5000
competence,0.5,-1.09375,-1.13125,-1.0541666666666667,60,5000
