axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-1.99822695035461,-2.0150709219858154,-1.9813829787234043,282,5000
warmth,-0.25,-1.3324468085106382,-1.3470744680851063,-1.3191489361702127,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.25,1.5363475177304964,1.512854609929078,1.5602836879432624,282,5000
warmth,0.5,1.2570921985815602,1.235372340425532,1.2783687943262412,282,5000
competence,-0.5,-2.213209219858156,-2.2300531914893615,-2.195478723404255,282,5000
competence,-0.25,-0.8781028368794326,-0.8940602836879432,-0.862145390070922,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.25,0.5518617021276596,0.5292553191489362,0.575354609929078,282,5000
competence,0.5,-1.0935283687943262,-1.115691489361702,-1.0704787234042554,282,5000
