axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.75,-0.7770833333333333,-0.7208333333333333,60,5000
warmth,-0.05,-0.4354166666666667,-0.46458333333333335,-0.40625,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.4354166666666667,0.3875,0.48541666666666666,60,5000
warmth,0.1,1.0041666666666667,0.94375,1.0645833333333334,60,5000
competence,-0.1,-0.49166666666666664,-0.51875,-0.46458333333333335,60,5000
competence,-0.05,-0.30833333333333335,-0.3375,-0.2791666666666667,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,0.24166666666666667,0.20833333333333334,0.27708333333333335,60,5000
competence,0.1,0.4375,0.38958333333333334,0.48333333333333334,60,5000
