axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.7375,-0.7666666666666667,-0.7083333333333334,60,5000
warmth,-0.05,-0.4354166666666667,-0.46041666666666664,-0.41041666666666665,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.41875,0.37916666666666665,0.4625,60,5000
warmth,0.1,0.9666666666666667,0.8999479166666667,1.0333333333333334,60,5000
competence,-0.1,-0.4791666666666667,-0.50625,-0.45208333333333334,60,5000
competence,-0.05,-0.275,-0.3,-0.25,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,0.21041666666666667,0.18125,0.23958333333333334,60,5000
competence,0.1,0.43333333333333335,0.39375,0.47708333333333336,60,5000
