axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.7362588652482269,-0.75177304964539,-0.7211879432624113,282,5000
warmth,-0.05,-0.43927304964539005,-0.4525709219858156,-0.42597517730496454,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.43439716312056736,0.4144503546099291,0.45478723404255317,282,5000
warmth,0.1,0.9627659574468085,0.9321808510638298,0.9924645390070922,282,5000
competence,-0.1,-0.4867021276595745,-0.5004432624113475,-0.4725177304964539,282,5000
competence,-0.05,-0.27393617021276595,-0.28634751773049644,-0.261968085106383,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,0.21941489361702127,0.20390070921985815,0.23537234042553193,282,5000
competence,0.1,0.44680851063829785,0.424645390070922,0.4698581560283688,282,5000
