axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.4,-0.42291666666666666,-0.3770833333333333,60,5000
warmth,-0.05,-0.17916666666666667,-0.20625,-0.15208333333333332,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.05,0.16458333333333333,0.14166666666666666,0.18541666666666667,60,5000
warmth,0.1,0.2791666666666667,0.25,0.30833333333333335,60,5000
competence,-0.1,-0.07083333333333333,-0.09583333333333334,-0.04791666666666667,60,5000
competence,-0.05,0.0,-0.022916666666666665,0.022916666666666665,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.05,-0.04583333333333333,-0.075,-0.016666666666666666,60,5000
competence,0.1,-0.12708333333333333,-0.15416666666666667,-0.1,60,5000
