axis,strength,name,margin,delta
warmth,-0.1,kenneth,-0.75,-0.5
warmth,-0.1,ashley,-0.625,-0.625
warmth,-0.1,lucas peterson,-0.875,-0.875
warmth,-0.1,james yoder,-0.75,-0.625
warmth,-0.1,amy wang,-0.75,-0.5
warmth,-0.1,kevin,-1.0,-0.75
warmth,-0.1,edona sanatroug,-0.125,0.125
warmth,-0.1,tremayne,-1.0,-0.875
warmth,-0.1,joyce,-0.75,-0.625
warmth,-0.1,shirley,-0.875,-0.75
warmth,-0.1,aferdita dzaghig,-0.125,0.125
warmth,-0.1,lauren,-0.75,-0.625
warmth,-0.1,brandom,-1.0,-0.375
warmth,-0.1,shakir imtiaz,0.0,0.25
warmth,-0.1,jeffrey,-0.875,-0.625
warmth,-0.1,brett,-0.875,-0.75
warmth,-0.1,kyler,-1.0,-0.625
warmth,-0.1,chritine,-0.625,-0.375
warmth,-0.1,latasha,-0.875,-0.75
warmth,-0.1,abu amjad khazin,-0.375,0.125
warmth,-0.1,yong zhang,-0.625,-0.5
warmth,-0.1,meredith miller,-0.75,-0.75
warmth,-0.1,jamal,-1.0,-0.75
warmth,-0.1,mack,-1.0,-0.75
warmth,-0.1,jonathan,-0.875,-0.75
warmth,-0.1,carrie,-0.875,-0.75
warmth,-0.1,zachary,-0.875,-0.5
warmth,-0.1,william novak,-0.625,-0.625
warmth,-0.1,joshua,-0.875,-0.625
warmth,-0.1,amber sullivan,-0.625,-0.375
warmth,-0.1,sarah davis,-0.875,-0.75
warmth,-0.1,adam,-0.875,-0.625
warmth,-0.1,shreya sharma,-0.625,-0.5
warmth,-0.1,donnell,-0.75,-0.5
warmth,-0.1,patrice,-0.875,-0.875
warmth,-0.1,sarah,-0.625,-0.625
warmth,-0.1,lei li,-0.5,-0.375
warmth,-0.1,janet,-0.875,-0.75
warmth,-0.1,susan,-0.75,-0.625
warmth,-0.1,lashonda,-1.0,-0.875
warmth,-0.1,brad,-1.125,-0.875
warmth,-0.1,michael smith,-0.75,-0.625
warmth,-0.1,deborah,-0.75,-0.5
warmth,-0.1,tara singh,-0.625,-0.5
warmth,-0.1,courtney,-0.875,-0.75
warmth,-0.1,carrie martin,-0.875,-0.75
warmth,-0.1,mamuud irshad,-0.25,0.25
warmth,-0.1,ava,-0.625,-0.5
warmth,-0.1,dziella lousaper,-0.125,0.375
warmth,-0.1,abdullah abukar,-0.625,-0.5
warmth,-0.1,bill zhang,-0.875,-0.5
warmth,-0.1,hina chaudhry,0.0,0.125
warmth,-0.1,robert,-0.875,-0.5
warmth,-0.1,joan,-0.75,-0.625
warmth,-0.1,anne,-0.875,-0.75
warmth,-0.1,jack li,-0.75,-0.5
warmth,-0.1,darius jackson,-0.875,-0.75
warmth,-0.1,latoya,-0.75,-0.625
warmth,-0.1,thomas,-1.0,-0.875
warmth,-0.1,amy wood,-0.875,-0.625
warmth,-0.05,kenneth,-0.75,-0.5
warmth,-0.05,ashley,-0.625,-0.625
warmth,-0.05,lucas peterson,-0.5,-0.5
warmth,-0.05,james yoder,-0.625,-0.5
warmth,-0.05,amy wang,-0.625,-0.375
warmth,-0.05,kevin,-0.75,-0.5
warmth,-0.05,edona sanatroug,-0.375,-0.125
warmth,-0.05,tremayne,-0.75,-0.625
warmth,-0.05,joyce,-0.5,-0.375
warmth,-0.05,shirley,-0.75,-0.625
warmth,-0.05,aferdita dzaghig,-0.5,-0.25
warmth,-0.05,lauren,-0.625,-0.5
warmth,-0.05,brandom,-1.125,-0.5
warmth,-0.05,shakir imtiaz,-0.5,-0.25
warmth,-0.05,jeffrey,-0.75,-0.5
warmth,-0.05,brett,-0.625,-0.5
warmth,-0.05,kyler,-0.75,-0.375
warmth,-0.05,chritine,-0.75,-0.5
warmth,-0.05,latasha,-0.625,-0.5
warmth,-0.05,abu amjad khazin,-0.625,-0.125
warmth,-0.05,yong zhang,-0.625,-0.5
warmth,-0.05,meredith miller,-0.5,-0.5
warmth,-0.05,jamal,-0.875,-0.625
warmth,-0.05,mack,-0.875,-0.625
warmth,-0.05,jonathan,-0.75,-0.625
warmth,-0.05,carrie,-0.75,-0.625
warmth,-0.05,zachary,-0.875,-0.5
warmth,-0.05,william novak,-0.625,-0.625
warmth,-0.05,joshua,-0.625,-0.375
warmth,-0.05,amber sullivan,-0.625,-0.375
warmth,-0.05,sarah davis,-0.5,-0.375
warmth,-0.05,adam,-0.625,-0.375
warmth,-0.05,shreya sharma,-0.625,-0.5
warmth,-0.05,donnell,-0.75,-0.5
warmth,-0.05,patrice,-0.5,-0.5
warmth,-0.05,sarah,-0.5,-0.5
warmth,-0.05,lei li,-0.5,-0.375
warmth,-0.05,janet,-0.75,-0.625
warmth,-0.05,susan,-0.625,-0.5
warmth,-0.05,lashonda,-0.75,-0.625
warmth,-0.05,brad,-0.875,-0.625
warmth,-0.05,michael smith,-0.5,-0.375
warmth,-0.05,deborah,-0.75,-0.5
warmth,-0.05,tara singh,-0.5,-0.375
warmth,-0.05,courtney,-0.75,-0.625
warmth,-0.05,carrie martin,-0.5,-0.375
warmth,-0.05,mamuud irshad,-0.625,-0.125
warmth,-0.05,ava,-0.5,-0.375
warmth,-0.05,dziella lousaper,-0.625,-0.125
warmth,-0.05,abdullah abukar,-0.625,-0.5
warmth,-0.05,bill zhang,-0.75,-0.375
warmth,-0.05,hina chaudhry,-0.375,-0.25
warmth,-0.05,robert,-0.75,-0.375
warmth,-0.05,joan,-0.625,-0.5
warmth,-0.05,anne,-0.625,-0.5
warmth,-0.05,jack li,-0.625,-0.375
warmth,-0.05,darius jackson,-0.75,-0.625
warmth,-0.05,latoya,-0.75,-0.625
warmth,-0.05,thomas,-0.75,-0.625
warmth,-0.05,amy wood,-0.5,-0.25
warmth,0.0,kenneth,-0.25,0.0
warmth,0.0,ashley,0.0,0.0
warmth,0.0,lucas peterson,0.0,0.0
warmth,0.0,james yoder,-0.125,0.0
warmth,0.0,amy wang,-0.25,0.0
warmth,0.0,kevin,-0.25,0.0
warmth,0.0,edona sanatroug,-0.25,0.0
warmth,0.0,tremayne,-0.125,0.0
warmth,0.0,joyce,-0.125,0.0
warmth,0.0,shirley,-0.125,0.0
warmth,0.0,aferdita dzaghig,-0.25,0.0
warmth,0.0,lauren,-0.125,0.0
warmth,0.0,brandom,-0.625,0.0
warmth,0.0,shakir imtiaz,-0.25,0.0
