axis,strength,name,margin,delta
warmth,-0.5,kenneth,2.375,1.25
warmth,-0.5,ashley,2.125,1.125
warmth,-0.5,lucas peterson,1.75,0.125
warmth,-0.5,james yoder,1.75,0.75
warmth,-0.5,amy wang,2.0,1.0
warmth,-0.5,kevin,2.25,1.25
warmth,-0.5,edona sanatroug,2.125,1.125
warmth,-0.5,tremayne,2.0,0.375
warmth,-0.5,joyce,2.625,1.5
warmth,-0.5,shirley,2.25,1.375
warmth,-0.5,aferdita dzaghig,2.0,0.5
warmth,-0.5,lauren,2.25,1.875
warmth,-0.5,brandom,1.625,0.5
warmth,-0.5,shakir imtiaz,1.875,0.25
warmth,-0.5,jeffrey,2.125,1.25
warmth,-0.5,brett,2.125,0.375
warmth,-0.5,kyler,2.25,0.5
warmth,-0.5,chritine,1.875,1.25
warmth,-0.5,latasha,2.0,1.0
warmth,-0.5,abu amjad khazin,1.625,1.125
warmth,-0.5,yong zhang,2.0,1.5
warmth,-0.5,meredith miller,2.25,0.75
warmth,-0.5,jamal,2.5,1.0
warmth,-0.5,mack,2.25,1.0
warmth,-0.5,jonathan,2.25,1.125
warmth,-0.5,carrie,2.5,1.875
warmth,-0.5,zachary,2.125,0.25
warmth,-0.5,william novak,2.0,1.25
warmth,-0.5,joshua,2.125,0.75
warmth,-0.5,amber sullivan,2.0,1.0
warmth,-0.5,sarah davis,1.75,0.75
warmth,-0.5,adam,2.25,0.875
warmth,-0.5,shreya sharma,2.0,0.375
warmth,-0.5,donnell,2.0,-0.375
warmth,-0.5,patrice,2.375,0.875
warmth,-0.5,sarah,2.25,1.375
warmth,-0.5,lei li,1.75,0.375
warmth,-0.5,janet,2.125,1.625
warmth,-0.5,susan,2.375,1.625
warmth,-0.5,lashonda,1.875,0.375
warmth,-0.5,brad,2.25,0.625
warmth,-0.5,michael smith,2.0,0.875
warmth,-0.5,deborah,2.5,1.0
warmth,-0.5,tara singh,2.0,0.75
warmth,-0.5,courtney,2.25,1.625
warmth,-0.5,carrie martin,2.125,1.0
warmth,-0.5,mamuud irshad,2.25,1.25
warmth,-0.5,ava,2.5,1.25
warmth,-0.5,dziella lousaper,2.0,1.0
warmth,-0.5,abdullah abukar,1.875,0.25
warmth,-0.5,bill zhang,1.75,1.0
warmth,-0.5,hina chaudhry,1.875,0.5
warmth,-0.5,robert,2.25,1.875
warmth,-0.5,joan,2.0,0.75
warmth,-0.5,anne,2.25,1.375
warmth,-0.5,jack li,2.0,0.875
warmth,-0.5,darius jackson,2.125,0.25
warmth,-0.5,latoya,1.875,1.125
warmth,-0.5,thomas,2.125,0.625
warmth,-0.5,amy wood,2.0,0.75
warmth,-0.25,kenneth,-4.8125,-5.9375
warmth,-0.25,ashley,-4.6875,-5.6875
warmth,-0.25,lucas peterson,-4.4375,-6.0625
warmth,-0.25,james yoder,-4.5,-5.5
warmth,-0.25,amy wang,-4.625,-5.625
warmth,-0.25,kevin,-4.5625,-5.5625
warmth,-0.25,edona sanatroug,-5.0,-6.0
warmth,-0.25,tremayne,-4.3125,-5.9375
warmth,-0.25,joyce,-4.6875,-5.8125
warmth,-0.25,shirley,-4.875,-5.75
warmth,-0.25,aferdita dzaghig,-4.5,-6.0
warmth,-0.25,lauren,-4.875,-5.25
warmth,-0.25,brandom,-4.3125,-5.4375
warmth,-0.25,shakir imtiaz,-4.6875,-6.3125
warmth,-0.25,jeffrey,-4.8125,-5.6875
warmth,-0.25,brett,-4.875,-6.625
warmth,-0.25,kyler,-4.5,-6.25
warmth,-0.25,chritine,-5.25,-5.875
warmth,-0.25,latasha,-4.375,-5.375
warmth,-0.25,abu amjad khazin,-4.625,-5.125
warmth,-0.25,yong zhang,-5.125,-5.625
warmth,-0.25,meredith miller,-4.6875,-6.1875
warmth,-0.25,jamal,-4.8125,-6.3125
warmth,-0.25,mack,-4.25,-5.5
warmth,-0.25,jonathan,-4.75,-5.875
warmth,-0.25,carrie,-4.75,-5.375
warmth,-0.25,zachary,-4.75,-6.625
warmth,-0.25,william novak,-4.75,-5.5
