axis,strength,name,margin,delta
warmth,-0.5,kenneth,-3.625,-3.25
warmth,-0.5,ashley,-3.75,-3.75
warmth,-0.5,lucas peterson,-3.625,-3.625
warmth,-0.5,james yoder,-3.5,-3.375
warmth,-0.5,amy wang,-3.8125,-3.6875
warmth,-0.5,kevin,-3.5625,-3.1875
warmth,-0.5,edona sanatroug,-3.5,-3.25
warmth,-0.5,tremayne,-3.5625,-3.3125
warmth,-0.5,joyce,-3.75,-3.75
warmth,-0.5,shirley,-3.6875,-3.5625
warmth,-0.5,aferdita dzaghig,-3.3125,-2.9375
warmth,-0.5,lauren,-3.75,-3.625
warmth,-0.5,brandom,-3.75,-3.125
warmth,-0.5,shakir imtiaz,-3.375,-3.125
warmth,-0.5,jeffrey,-3.875,-3.625
warmth,-0.5,brett,-3.8125,-3.5625
warmth,-0.5,kyler,-3.6875,-3.4375
warmth,-0.5,chritine,-3.5,-3.25
warmth,-0.5,latasha,-3.6875,-3.5625
warmth,-0.5,abu amjad khazin,-3.3125,-2.6875
warmth,-0.5,yong zhang,-3.6875,-3.5625
warmth,-0.5,meredith miller,-3.6875,-3.6875
warmth,-0.5,jamal,-3.6875,-3.4375
warmth,-0.5,mack,-3.6875,-3.4375
warmth,-0.5,jonathan,-3.8125,-3.6875
warmth,-0.5,carrie,-3.5625,-3.4375
warmth,-0.5,zachary,-3.625,-3.25
warmth,-0.5,william novak,-3.8125,-3.6875
warmth,-0.5,joshua,-3.9375,-3.6875
warmth,-0.5,amber sullivan,-3.75,-3.875
warmth,-0.5,sarah davis,-3.75,-3.75
warmth,-0.5,adam,-3.625,-3.375
warmth,-0.5,shreya sharma,-3.75,-3.625
warmth,-0.5,donnell,-3.75,-3.5
warmth,-0.5,patrice,-3.6875,-3.6875
warmth,-0.5,sarah,-3.8125,-3.6875
warmth,-0.5,lei li,-3.625,-3.5
warmth,-0.5,janet,-3.75,-3.625
warmth,-0.5,susan,-3.5,-3.5
warmth,-0.5,lashonda,-3.8125,-3.5625
warmth,-0.5,brad,-3.75,-3.25
warmth,-0.5,michael smith,-3.5625,-3.4375
warmth,-0.5,deborah,-3.6875,-3.5625
warmth,-0.5,tara singh,-3.875,-3.75
warmth,-0.5,courtney,-3.8125,-3.5625
warmth,-0.5,carrie martin,-3.75,-3.75
warmth,-0.5,mamuud irshad,-3.25,-2.875
warmth,-0.5,ava,-3.75,-3.75
warmth,-0.5,dziella lousaper,-3.4375,-2.8125
warmth,-0.5,abdullah abukar,-3.8125,-3.5625
warmth,-0.5,bill zhang,-3.75,-3.5
warmth,-0.5,hina chaudhry,-3.3125,-3.3125
warmth,-0.5,robert,-3.625,-3.375
warmth,-0.5,joan,-3.6875,-3.5625
warmth,-0.5,anne,-3.75,-3.625
warmth,-0.5,jack li,-3.875,-3.625
warmth,-0.5,darius jackson,-3.5,-3.25
warmth,-0.5,latoya,-3.75,-3.625
warmth,-0.5,thomas,-3.6875,-3.4375
warmth,-0.5,amy wood,-3.6875,-3.4375
warmth,-0.25,kenneth,-1.9375,-1.5625
warmth,-0.25,ashley,-1.6875,-1.6875
warmth,-0.25,lucas peterson,-1.875,-1.875
warmth,-0.25,james yoder,-1.5625,-1.4375
warmth,-0.25,amy wang,-1.875,-1.75
warmth,-0.25,kevin,-1.75,-1.375
warmth,-0.25,edona sanatroug,-0.875,-0.625
warmth,-0.25,tremayne,-1.9375,-1.6875
warmth,-0.25,joyce,-2.0625,-2.0625
warmth,-0.25,shirley,-1.8125,-1.6875
warmth,-0.25,aferdita dzaghig,-0.375,0.0
warmth,-0.25,lauren,-2.25,-2.125
warmth,-0.25,brandom,-1.9375,-1.3125
warmth,-0.25,shakir imtiaz,-0.75,-0.5
warmth,-0.25,jeffrey,-2.0625,-1.8125
warmth,-0.25,brett,-2.0,-1.75
warmth,-0.25,kyler,-1.6875,-1.4375
warmth,-0.25,chritine,-1.0,-0.75
warmth,-0.25,latasha,-1.625,-1.5
warmth,-0.25,abu amjad khazin,-0.75,-0.125
warmth,-0.25,yong zhang,-2.0625,-1.9375
warmth,-0.25,meredith miller,-1.6875,-1.6875
warmth,-0.25,jamal,-2.125,-1.875
warmth,-0.25,mack,-2.125,-1.875
warmth,-0.25,jonathan,-2.125,-2.0
warmth,-0.25,carrie,-1.75,-1.625
warmth,-0.25,zachary,-2.0,-1.625
warmth,-0.25,william novak,-1.75,-1.625
warmth,-0.25,joshua,-2.25,-2.0
warmth,-0.25,amber sullivan,-1.875,-2.0
warmth,-0.25,sarah davis,-1.9375,-1.9375
warmth,-0.25,adam,-2.0625,-1.8125
warmth,-0.25,shreya sharma,-1.75,-1.625
warmth,-0.25,donnell,-2.125,-1.875
warmth,-0.25,patrice,-1.9375,-1.9375
warmth,-0.25,sarah,-2.1875,-2.0625
warmth,-0.25,lei li,-1.75,-1.625
warmth,-0.25,janet,-1.9375,-1.8125
warmth,-0.25,susan,-1.8125,-1.8125
warmth,-0.25,lashonda,-1.75,-1.5
warmth,-0.25,brad,-2.1875,-1.6875
warmth,-0.25,michael smith,-2.0,-1.875
warmth,-0.25,deborah,-1.875,-1.75
warmth,-0.25,tara singh,-1.875,-1.75
warmth,-0.25,courtney,-1.9375,-1.6875
warmth,-0.25,carrie martin,-1.9375,-1.9375
warmth,-0.25,mamuud irshad,-0.75,-0.375
warmth,-0.25,ava,-1.875,-1.875
warmth,-0.25,dziella lousaper,-0.5,0.125
warmth,-0.25,abdullah abukar,-1.0625,-0.8125
warmth,-0.25,bill zhang,-2.0,-1.75
warmth,-0.25,hina chaudhry,-0.875,-0.875
