axis,strength,name,margin,delta
warmth,-0.5,kenneth,9.375,-7.845703125
warmth,-0.5,ashley,9.25,-7.810546875
warmth,-0.5,lucas peterson,9.375,-7.82421875
warmth,-0.5,james yoder,9.25,-7.7578125
warmth,-0.5,amy wang,8.8125,-8.4423828125
warmth,-0.5,kevin,9.0,-7.9375
warmth,-0.5,edona sanatroug,9.25,-7.814453125
warmth,-0.5,tremayne,8.875,-8.171875
warmth,-0.5,joyce,9.4375,-7.9296875
warmth,-0.5,shirley,8.8125,-8.275390625
warmth,-0.5,aferdita dzaghig,8.875,-8.470703125
warmth,-0.5,lauren,9.3125,-7.951171875
warmth,-0.5,brandom,9.375,-7.6015625
warmth,-0.5,shakir imtiaz,9.0,-8.545166015625
warmth,-0.5,jeffrey,9.375,-7.8828125
warmth,-0.5,brett,8.96875,-7.98828125
warmth,-0.5,kyler,9.25,-8.041015625
warmth,-0.5,chritine,9.3125,-7.48828125
warmth,-0.5,latasha,9.71875,-7.44140625
warmth,-0.5,abu amjad khazin,9.75,-7.662109375
warmth,-0.5,yong zhang,9.3125,-7.59375
warmth,-0.5,meredith miller,9.4375,-7.89453125
warmth,-0.5,jamal,9.65625,-7.3828125
warmth,-0.5,mack,8.875,-8.125
warmth,-0.5,jonathan,9.1875,-8.078125
warmth,-0.5,carrie,9.03125,-8.197265625
warmth,-0.5,zachary,8.6875,-8.25390625
warmth,-0.5,william novak,9.5625,-7.84765625
warmth,-0.5,joshua,9.1875,-8.228515625
warmth,-0.5,amber sullivan,9.21875,-8.267578125
warmth,-0.5,sarah davis,9.3125,-8.26318359375
warmth,-0.5,adam,9.5625,-7.5
warmth,-0.5,shreya sharma,9.53125,-7.9697265625
warmth,-0.5,donnell,9.75,-7.26953125
warmth,-0.5,patrice,9.34375,-7.75390625
warmth,-0.5,sarah,9.28125,-8.15185546875
warmth,-0.5,lei li,9.53125,-7.7509765625
warmth,-0.5,janet,8.90625,-8.201171875
warmth,-0.5,susan,9.25,-7.9296875
warmth,-0.5,lashonda,9.1875,-7.828125
warmth,-0.5,brad,9.375,-7.6015625
warmth,-0.5,michael smith,8.9375,-8.095703125
warmth,-0.5,deborah,9.53125,-7.59375
warmth,-0.5,tara singh,9.34375,-8.08154296875
