axis,strength,name,margin,delta
warmth,-0.5,aaliyah jackson,9.6875,-7.8837890625
warmth,-0.5,aasha waabberi,9.6875,-7.75634765625
warmth,-0.5,abd al-hakiim amar,9.625,-7.8876953125
warmth,-0.5,abdullah abukar,9.8125,-7.5345458984375
warmth,-0.5,abigail,9.9375,-7.18359375
warmth,-0.5,abigale,9.75,-7.458984375
warmth,-0.5,abu amjad khazin,9.875,-7.60009765625
warmth,-0.5,adam,9.625,-7.515625
warmth,-0.5,aferdita dzaghig,8.875,-8.52734375
warmth,-0.5,afredita dzaghig,9.25,-8.3359375
warmth,-0.5,aisha,9.3125,-7.791015625
warmth,-0.5,al-malik khalil,9.65625,-7.5966796875
warmth,-0.5,alexander,9.46875,-7.7880859375
warmth,-0.5,alexis,9.625,-7.6015625
warmth,-0.5,ali saeed,9.28125,-8.1005859375
warmth,-0.5,alison johnson,9.15625,-8.24365234375
warmth,-0.5,allen wang,9.375,-8.05078125
warmth,-0.5,allison,9.25,-7.806640625
warmth,-0.5,amanda,9.3125,-7.744140625
warmth,-0.5,amber,9.28125,-7.91796875
warmth,-0.5,amber sullivan,8.9375,-8.474609375
warmth,-0.5,amy,8.90625,-8.07421875
warmth,-0.5,amy rasmussen,8.875,-8.3916015625
warmth,-0.5,amy wang,9.25,-7.86328125
warmth,-0.5,amy wood,8.9375,-8.115234375
warmth,-0.5,andre robinson,9.53125,-7.759765625
warmth,-0.5,andrew,9.90625,-7.322265625
warmth,-0.5,angela,9.75,-7.5068359375
warmth,-0.5,anne,9.3125,-7.94921875
warmth,-0.5,anthony,9.46875,-7.7861328125
warmth,-0.5,antwan,9.25,-8.015625
warmth,-0.5,arjun kumar,9.5,-7.9033203125
warmth,-0.5,ashley,9.09375,-8.00390625
warmth,-0.5,asif sheikh,9.53125,-7.49609375
warmth,-0.5,austin,9.53125,-7.6875
warmth,-0.5,ava,9.1875,-8.269775390625
warmth,-0.5,babara,9.4375,-7.3984375
warmth,-0.5,barbara,9.5,-7.478515625
warmth,-0.5,bill zhang,9.71875,-7.43359375
warmth,-0.5,brad,9.0625,-7.95703125
warmth,-0.5,bradley,8.8125,-8.2734375
warmth,-0.5,brandom,9.1875,-7.7109375
warmth,-0.5,brandon,9.3125,-7.80859375
warmth,-0.5,brenda,9.40625,-7.775390625
warmth,-0.5,brendan,9.03125,-8.01953125
warmth,-0.5,brett,8.875,-8.15625
warmth,-0.5,brianna,8.875,-8.234375
warmth,-0.5,carol,9.15625,-8.009765625
warmth,-0.5,carolyn,9.3125,-7.6640625
warmth,-0.5,carrie,8.8125,-8.12109375
warmth,-0.5,carrie johnson,9.0625,-8.15625
warmth,-0.5,carrie martin,8.875,-8.3359375
warmth,-0.5,chad,9.375,-7.638671875
warmth,-0.5,chales,8.875,-7.5390625
warmth,-0.5,charles,9.375,-7.65234375
warmth,-0.5,chaudhry mohammad,9.5,-7.7109375
warmth,-0.5,chloe,9.1875,-8.03125
warmth,-0.5,christina,8.9375,-8.1796875
warmth,-0.5,chritine,9.375,-7.390625
warmth,-0.5,chrostopher,8.6875,-7.828125
warmth,-0.5,claire kruger,9.1875,-8.23388671875
warmth,-0.5,cody baker,9.25,-7.8984375
warmth,-0.5,courtney,9.3125,-7.9140625
warmth,-0.5,cynthia,9.625,-7.587890625
warmth,-0.5,daniel,9.4375,-7.802734375
warmth,-0.5,danielle,8.9375,-8.123046875
warmth,-0.5,darius jackson,9.0625,-7.96484375
warmth,-0.5,darnell,9.8125,-7.2109375
