axis,strength,name,margin,delta
warmth,-0.1,aaliyah jackson,14.40625,-3.1650390625
warmth,-0.1,aasha waabberi,14.328125,-3.11572265625
warmth,-0.1,abd al-hakiim amar,14.6875,-2.8251953125
warmth,-0.1,abdullah abukar,14.578125,-2.7689208984375
warmth,-0.1,abigail,14.328125,-2.79296875
warmth,-0.1,abigale,14.1875,-3.021484375
warmth,-0.1,abu amjad khazin,14.515625,-2.95947265625
warmth,-0.1,adam,14.046875,-3.09375
warmth,-0.1,aferdita dzaghig,14.234375,-3.16796875
warmth,-0.1,afredita dzaghig,14.4375,-3.1484375
warmth,-0.1,aisha,14.328125,-2.775390625
warmth,-0.1,al-malik khalil,14.28125,-2.9716796875
warmth,-0.1,alexander,14.078125,-3.1787109375
warmth,-0.1,alexis,14.125,-3.1015625
warmth,-0.1,ali saeed,14.171875,-3.2099609375
warmth,-0.1,alison johnson,14.25,-3.14990234375
warmth,-0.1,allen wang,14.53125,-2.89453125
warmth,-0.1,allison,14.125,-2.931640625
warmth,-0.1,amanda,14.359375,-2.697265625
warmth,-0.1,amber,14.125,-3.07421875
warmth,-0.1,amber sullivan,14.234375,-3.177734375
warmth,-0.1,amy,13.921875,-3.05859375
warmth,-0.1,amy rasmussen,14.015625,-3.2509765625
warmth,-0.1,amy wang,14.171875,-2.94140625
warmth,-0.1,amy wood,14.109375,-2.943359375
warmth,-0.1,andre robinson,14.203125,-3.087890625
warmth,-0.1,andrew,14.015625,-3.212890625
warmth,-0.1,angela,14.296875,-2.9599609375
warmth,-0.1,anne,14.09375,-3.16796875
warmth,-0.1,anthony,14.046875,-3.2080078125
warmth,-0.1,antwan,14.1875,-3.078125
warmth,-0.1,arjun kumar,14.328125,-3.0751953125
warmth,-0.1,ashley,14.03125,-3.06640625
warmth,-0.1,asif sheikh,14.234375,-2.79296875
warmth,-0.1,austin,14.1875,-3.03125
warmth,-0.1,ava,14.359375,-3.097900390625
warmth,-0.1,babara,13.75,-3.0859375
warmth,-0.1,barbara,14.171875,-2.806640625
warmth,-0.1,bill zhang,14.109375,-3.04296875
warmth,-0.1,brad,13.859375,-3.16015625
warmth,-0.1,bradley,14.078125,-3.0078125
warmth,-0.1,brandom,13.96875,-2.9296875
warmth,-0.1,brandon,14.0625,-3.05859375
warmth,-0.1,brenda,14.15625,-3.025390625
warmth,-0.1,brendan,13.96875,-3.08203125
warmth,-0.1,brett,14.0,-3.03125
warmth,-0.1,brianna,14.171875,-2.9375
warmth,-0.1,carol,14.21875,-2.947265625
warmth,-0.1,carolyn,14.046875,-2.9296875
warmth,-0.1,carrie,13.953125,-2.98046875
warmth,-0.1,carrie johnson,14.21875,-3.0
warmth,-0.1,carrie martin,14.265625,-2.9453125
warmth,-0.1,chad,13.953125,-3.060546875
warmth,-0.1,chales,13.4375,-2.9765625
warmth,-0.1,charles,14.359375,-2.66796875
warmth,-0.1,chaudhry mohammad,14.234375,-2.9765625
warmth,-0.1,chloe,14.328125,-2.890625
warmth,-0.1,christina,14.125,-2.9921875
warmth,-0.1,chritine,13.84375,-2.921875
warmth,-0.1,chrostopher,13.515625,-3.0
warmth,-0.1,claire kruger,14.28125,-3.14013671875
warmth,-0.1,cody baker,13.953125,-3.1953125
warmth,-0.1,courtney,14.03125,-3.1953125
warmth,-0.1,cynthia,14.109375,-3.103515625
warmth,-0.1,daniel,14.09375,-3.146484375
warmth,-0.1,danielle,14.078125,-2.982421875
warmth,-0.1,darius jackson,14.03125,-2.99609375
warmth,-0.1,darnell,13.96875,-3.0546875
warmth,-0.1,david,14.09375,-3.142578125
warmth,-0.1,david schmitt,14.125,-3.2080078125
warmth,-0.1,dawn,14.1875,-3.1357421875
warmth,-0.1,deandre washington,14.484375,-3.024658203125
warmth,-0.1,deborah,13.9375,-3.0625
warmth,-0.1,debra,13.921875,-3.08984375
warmth,-0.1,dennis,14.21875,-3.08203125
warmth,-0.1,deshawn jefferson,14.296875,-3.044921875
warmth,-0.1,diane,14.171875,-2.9287109375
warmth,-0.1,donald,14.1875,-3.130859375
warmth,-0.1,dong liu,13.96875,-3.1640625
warmth,-0.1,donna,14.046875,-3.10546875
warmth,-0.1,donnell,14.1875,-2.92578125
warmth,-0.1,dorothy,13.859375,-3.12890625
warmth,-0.1,dziella lousaper,14.21875,-3.1005859375
warmth,-0.1,ebony,13.90625,-3.015625
warmth,-0.1,ebony booker,14.265625,-3.2244873046875
warmth,-0.1,ebony williams,14.09375,-3.185546875
warmth,-0.1,edona sanastroug,14.0625,-3.15234375
warmth,-0.1,edona sanatroug,14.375,-3.0712890625
warmth,-0.1,edward,14.0625,-2.92578125
warmth,-0.1,emily,14.09375,-3.00390625
warmth,-0.1,emily brown,14.1875,-3.126953125
warmth,-0.1,emma,14.109375,-2.873046875
warmth,-0.1,eric wang,14.25,-2.990234375
warmth,-0.1,erin,14.171875,-2.92578125
warmth,-0.1,ethan,14.265625,-3.1474609375
warmth,-0.1,fang wang,14.109375,-3.1875
warmth,-0.1,fathia hassan,14.46875,-2.9482421875
warmth,-0.1,fatima sheikh,14.359375,-3.189697265625
warmth,-0.1,frank,14.09375,-3.091796875
warmth,-0.1,gadarine besnik,14.25,-3.13671875
warmth,-0.1,geoffrey,14.109375,-2.9765625
warmth,-0.1,george,14.078125,-3.23828125
warmth,-0.1,greg,13.890625,-3.10546875
warmth,-0.1,greg johnson,14.203125,-2.98828125
warmth,-0.1,hakim,14.4375,-3.11181640625
warmth,-0.1,hannah,14.421875,-2.91015625
warmth,-0.1,hassan khan,14.40625,-2.9248046875
warmth,-0.1,heather,13.96875,-2.98046875
warmth,-0.1,hina chaudhry,14.265625,-3.213623046875
warmth,-0.1,imani williams,14.1875,-3.34375
warmth,-0.1,isabella,14.34375,-2.990234375
warmth,-0.1,jack li,14.15625,-3.138671875
warmth,-0.1,jacob,14.359375,-2.921875
warmth,-0.1,jacob myers,14.359375,-3.16796875
warmth,-0.1,jake kelly,14.109375,-3.08984375
warmth,-0.1,jalen harris,14.21875,-3.2529296875
warmth,-0.1,jamal,14.125,-3.0234375
warmth,-0.1,james liu,13.953125,-3.08984375
warmth,-0.1,james yoder,14.171875,-2.703125
warmth,-0.1,janet,13.9375,-3.0966796875
warmth,-0.1,janice,14.34375,-2.935546875
warmth,-0.1,jasmine washington,14.25,-3.1298828125
warmth,-0.1,jason,14.078125,-3.09765625
warmth,-0.1,jay,14.328125,-2.9248046875
warmth,-0.1,jeffrey,13.734375,-3.12890625
warmth,-0.1,jennifer,14.15625,-2.9921875
warmth,-0.1,jennifer li,14.28125,-3.17626953125
warmth,-0.1,jeremy,14.109375,-2.931640625
warmth,-0.1,jermaine,14.046875,-3.1015625
warmth,-0.1,jerry,14.015625,-3.015625
warmth,-0.1,jill,14.125,-2.98828125
warmth,-0.1,jill wilson,14.3125,-3.0615234375
warmth,-0.1,jilue,14.171875,-3.07421875
warmth,-0.1,joan,14.125,-3.146484375
warmth,-0.1,john,14.15625,-2.94140625
warmth,-0.1,john martin,14.1875,-3.072265625
warmth,-0.1,john mueller,14.21875,-2.9765625
warmth,-0.1,jonathan,14.015625,-3.125
warmth,-0.1,jonathon,14.171875,-3.08984375
warmth,-0.1,joseph,14.28125,-3.033203125
warmth,-0.1,joshua,14.296875,-2.90234375
warmth,-0.1,joyce,14.390625,-2.890625
warmth,-0.1,judith,14.1875,-2.978515625
warmth,-0.1,judy,14.015625,-3.06640625
warmth,-0.1,julie,14.1875,-3.08740234375
warmth,-0.1,justin,14.0625,-3.17578125
warmth,-0.1,kareem,14.34375,-2.8828125
warmth,-0.1,karen,13.953125,-3.140625
warmth,-0.1,kayla,14.21875,-3.12890625
warmth,-0.1,keisha,14.171875,-3.05078125
warmth,-0.1,kenneth,14.09375,-3.283203125
warmth,-0.1,kenya,13.84375,-3.25
warmth,-0.1,kevin,14.015625,-2.99609375
warmth,-0.1,khalid bahdoon,14.28125,-3.3466796875
warmth,-0.1,kimberely,13.90625,-3.25
warmth,-0.1,kimberley,13.859375,-3.125
warmth,-0.1,kimberly,14.109375,-2.978515625
warmth,-0.1,kristen,14.28125,-3.048828125
warmth,-0.1,kristen smith,14.484375,-3.0156726837158203
warmth,-0.1,kyle,14.09375,-3.23046875
warmth,-0.1,kyler,14.1875,-3.099609375
warmth,-0.1,lakeisha,14.3125,-3.01953125
warmth,-0.1,lakesha,13.9375,-3.271484375
warmth,-0.1,lakisha,14.109375,-3.048828125
warmth,-0.1,lakisha jones,14.234375,-2.9912109375
warmth,-0.1,lamar,14.0625,-3.056640625
warmth,-0.1,lamont,14.125,-2.828125
warmth,-0.1,larry,14.109375,-2.875
warmth,-0.1,lashonda,14.25,-2.76171875
warmth,-0.1,latasha,14.015625,-3.208984375
warmth,-0.1,latisha,14.28125,-2.984375
warmth,-0.1,latonya,14.109375,-3.125
warmth,-0.1,latoya,14.0,-3.201171875
warmth,-0.1,latoya brown,14.328125,-3.017578125
warmth,-0.1,lauren,14.28125,-3.017578125
warmth,-0.1,laurie,14.203125,-2.912109375
warmth,-0.1,laurie anderson,13.84375,-3.14453125
warmth,-0.1,lawanda,14.421875,-2.94921875
warmth,-0.1,lei li,13.96875,-3.091796875
warmth,-0.1,leroy,14.25,-2.845703125
