axis,strength,name,margin,delta
warmth,-0.1,kenneth,14.359375,-2.861328125
warmth,-0.1,ashley,14.15625,-2.904296875
warmth,-0.1,lucas peterson,14.265625,-2.93359375
warmth,-0.1,james yoder,14.0625,-2.9453125
warmth,-0.1,amy wang,14.203125,-3.0517578125
warmth,-0.1,kevin,14.09375,-2.84375
warmth,-0.1,edona sanatroug,14.328125,-2.736328125
warmth,-0.1,tremayne,14.015625,-3.03125
warmth,-0.1,joyce,14.3125,-3.0546875
warmth,-0.1,shirley,14.1875,-2.900390625
warmth,-0.1,aferdita dzaghig,14.421875,-2.923828125
warmth,-0.1,lauren,14.203125,-3.060546875
warmth,-0.1,brandom,13.84375,-3.1328125
warmth,-0.1,shakir imtiaz,14.4375,-3.107666015625
warmth,-0.1,jeffrey,14.078125,-3.1796875
warmth,-0.1,brett,13.890625,-3.06640625
warmth,-0.1,kyler,14.234375,-3.056640625
warmth,-0.1,chritine,13.78125,-3.01953125
warmth,-0.1,latasha,14.265625,-2.89453125
warmth,-0.1,abu amjad khazin,14.28125,-3.130859375
warmth,-0.1,yong zhang,14.046875,-2.859375
warmth,-0.1,meredith miller,14.234375,-3.09765625
warmth,-0.1,jamal,14.1875,-2.8515625
warmth,-0.1,mack,14.140625,-2.859375
warmth,-0.1,jonathan,14.21875,-3.046875
warmth,-0.1,carrie,14.21875,-3.009765625
warmth,-0.1,zachary,13.90625,-3.03515625
warmth,-0.1,william novak,14.59375,-2.81640625
warmth,-0.1,joshua,14.328125,-3.087890625
warmth,-0.1,amber sullivan,14.515625,-2.970703125
warmth,-0.1,sarah davis,14.5625,-3.01318359375
warmth,-0.1,adam,14.203125,-2.859375
warmth,-0.1,shreya sharma,14.46875,-3.0322265625
warmth,-0.1,donnell,13.96875,-3.05078125
warmth,-0.1,patrice,14.21875,-2.87890625
warmth,-0.1,sarah,14.390625,-3.04248046875
warmth,-0.1,lei li,14.125,-3.1572265625
warmth,-0.1,janet,13.984375,-3.123046875
warmth,-0.1,susan,14.15625,-3.0234375
warmth,-0.1,lashonda,14.09375,-2.921875
warmth,-0.1,brad,13.8125,-3.1640625
warmth,-0.1,michael smith,14.25,-2.783203125
warmth,-0.1,deborah,13.96875,-3.15625
warmth,-0.1,tara singh,14.375,-3.05029296875
warmth,-0.1,courtney,14.078125,-2.9375
warmth,-0.1,carrie martin,14.4375,-3.017578125
warmth,-0.1,mamuud irshad,14.125,-3.052734375
warmth,-0.1,ava,14.375,-2.7529296875
warmth,-0.1,dziella lousaper,14.359375,-2.919921875
warmth,-0.1,abdullah abukar,14.640625,-2.9130859375
warmth,-0.1,bill zhang,14.046875,-3.04296875
warmth,-0.1,hina chaudhry,14.234375,-3.1953125
warmth,-0.1,robert,14.25,-2.8828125
warmth,-0.1,joan,14.15625,-2.921875
warmth,-0.1,anne,14.3125,-3.001953125
warmth,-0.1,jack li,13.96875,-3.07421875
warmth,-0.1,darius jackson,14.140625,-2.984375
warmth,-0.1,latoya,14.09375,-2.86328125
warmth,-0.1,thomas,14.265625,-2.91796875
warmth,-0.1,amy wood,14.125,-3.068359375
warmth,-0.05,kenneth,15.8828125,-1.337890625
warmth,-0.05,ashley,15.8046875,-1.255859375
warmth,-0.05,lucas peterson,15.9453125,-1.25390625
warmth,-0.05,james yoder,15.7890625,-1.21875
warmth,-0.05,amy wang,15.9375,-1.3173828125
warmth,-0.05,kevin,15.609375,-1.328125
warmth,-0.05,edona sanatroug,16.0,-1.064453125
warmth,-0.05,tremayne,15.5625,-1.484375
warmth,-0.05,joyce,15.8828125,-1.484375
warmth,-0.05,shirley,15.65625,-1.431640625
warmth,-0.05,aferdita dzaghig,15.8984375,-1.447265625
warmth,-0.05,lauren,15.9921875,-1.271484375
warmth,-0.05,brandom,15.5546875,-1.421875
warmth,-0.05,shakir imtiaz,16.2421875,-1.302978515625
warmth,-0.05,jeffrey,15.6171875,-1.640625
warmth,-0.05,brett,15.4921875,-1.46484375
warmth,-0.05,kyler,15.828125,-1.462890625
warmth,-0.05,chritine,15.453125,-1.34765625
warmth,-0.05,latasha,15.8828125,-1.27734375
warmth,-0.05,abu amjad khazin,16.203125,-1.208984375
warmth,-0.05,yong zhang,15.8359375,-1.0703125
