axis,strength,name,margin,delta
warmth,-0.5,kenneth,17.4375,-3.3125
warmth,-0.5,ashley,18.375,-2.9375
warmth,-0.5,lucas peterson,18.28125,-3.21875
warmth,-0.5,james yoder,18.1875,-3.0
warmth,-0.5,amy wang,19.125,-2.75
warmth,-0.5,kevin,18.0,-2.8125
warmth,-0.5,edona sanatroug,19.5,-2.25
warmth,-0.5,tremayne,17.71875,-3.59375
warmth,-0.5,joyce,18.0625,-2.9375
warmth,-0.5,shirley,18.03125,-2.71875
warmth,-0.5,aferdita dzaghig,19.375,-2.6875
warmth,-0.5,lauren,18.1875,-3.3125
warmth,-0.5,brandom,17.59375,-3.21875
warmth,-0.5,shakir imtiaz,19.1875,-2.3125
warmth,-0.5,jeffrey,17.71875,-3.03125
warmth,-0.5,brett,17.8125,-3.4375
warmth,-0.5,kyler,18.34375,-3.09375
warmth,-0.5,chritine,17.6875,-3.375
warmth,-0.5,latasha,19.0,-2.6875
warmth,-0.5,abu amjad khazin,19.125,-2.0
warmth,-0.5,yong zhang,18.34375,-3.09375
warmth,-0.5,meredith miller,18.5625,-2.875
warmth,-0.5,jamal,18.15625,-2.84375
warmth,-0.5,mack,17.6875,-3.125
warmth,-0.5,jonathan,17.65625,-3.09375
warmth,-0.5,carrie,18.5,-2.6875
warmth,-0.5,zachary,17.8125,-3.25
warmth,-0.5,william novak,18.03125,-2.84375
warmth,-0.5,joshua,18.25,-2.625
warmth,-0.5,amber sullivan,18.90625,-3.09375
warmth,-0.5,sarah davis,18.875,-2.875
warmth,-0.5,adam,17.75,-2.625
warmth,-0.5,shreya sharma,18.8125,-2.9375
warmth,-0.5,donnell,17.875,-3.25
warmth,-0.5,patrice,18.1875,-3.125
warmth,-0.5,sarah,18.875,-2.375
warmth,-0.5,lei li,18.4375,-3.0625
warmth,-0.5,janet,17.84375,-3.09375
warmth,-0.5,susan,18.25,-2.5625
warmth,-0.5,lashonda,18.21875,-3.15625
warmth,-0.5,brad,17.4375,-3.375
warmth,-0.5,michael smith,17.875,-3.0625
warmth,-0.5,deborah,18.3125,-3.0
warmth,-0.5,tara singh,18.75,-2.9375
warmth,-0.5,courtney,18.40625,-2.65625
warmth,-0.5,carrie martin,18.375,-3.25
warmth,-0.5,mamuud irshad,18.9375,-2.6875
warmth,-0.5,ava,18.5625,-3.125
warmth,-0.5,dziella lousaper,19.0,-2.5
warmth,-0.5,abdullah abukar,18.78125,-2.65625
warmth,-0.5,bill zhang,18.125,-2.75
warmth,-0.5,hina chaudhry,18.875,-2.375
warmth,-0.5,robert,17.78125,-2.84375
warmth,-0.5,joan,18.1875,-2.6875
warmth,-0.5,anne,18.6875,-2.6875
warmth,-0.5,jack li,18.21875,-3.09375
warmth,-0.5,darius jackson,17.75,-3.625
warmth,-0.5,latoya,18.3125,-3.25
warmth,-0.5,thomas,18.03125,-2.96875
warmth,-0.5,amy wood,18.6875,-3.0
warmth,-0.25,kenneth,19.25,-1.5
warmth,-0.25,ashley,19.75,-1.5625
warmth,-0.25,lucas peterson,19.8125,-1.6875
warmth,-0.25,james yoder,19.625,-1.5625
warmth,-0.25,amy wang,20.25,-1.625
warmth,-0.25,kevin,18.9375,-1.875
warmth,-0.25,edona sanatroug,20.625,-1.125
warmth,-0.25,tremayne,19.625,-1.6875
warmth,-0.25,joyce,19.9375,-1.0625
warmth,-0.25,shirley,19.875,-0.875
warmth,-0.25,aferdita dzaghig,21.0625,-1.0
warmth,-0.25,lauren,20.0,-1.5
warmth,-0.25,brandom,19.375,-1.4375
warmth,-0.25,shakir imtiaz,20.625,-0.875
warmth,-0.25,jeffrey,19.25,-1.5
warmth,-0.25,brett,19.6875,-1.5625
warmth,-0.25,kyler,19.875,-1.5625
warmth,-0.25,chritine,19.4375,-1.625
warmth,-0.25,latasha,20.4375,-1.25
warmth,-0.25,abu amjad khazin,20.1875,-0.9375
warmth,-0.25,yong zhang,20.0,-1.4375
warmth,-0.25,meredith miller,19.9375,-1.5
warmth,-0.25,jamal,19.9375,-1.0625
warmth,-0.25,mack,19.125,-1.6875
warmth,-0.25,jonathan,18.9375,-1.8125
warmth,-0.25,carrie,20.0625,-1.125
warmth,-0.25,zachary,19.625,-1.4375
warmth,-0.25,william novak,19.75,-1.125
warmth,-0.25,joshua,19.5625,-1.3125
warmth,-0.25,amber sullivan,20.375,-1.625
warmth,-0.25,sarah davis,20.5625,-1.1875
warmth,-0.25,adam,19.0,-1.375
warmth,-0.25,shreya sharma,20.375,-1.375
warmth,-0.25,donnell,19.4375,-1.6875
warmth,-0.25,patrice,19.6875,-1.625
warmth,-0.25,sarah,20.3125,-0.9375
warmth,-0.25,lei li,20.25,-1.25
warmth,-0.25,janet,19.4375,-1.5
warmth,-0.25,susan,19.75,-1.0625
warmth,-0.25,lashonda,20.0625,-1.3125
warmth,-0.25,brad,19.1875,-1.625
warmth,-0.25,michael smith,19.625,-1.3125
warmth,-0.25,deborah,20.0625,-1.25
warmth,-0.25,tara singh,20.125,-1.5625
warmth,-0.25,courtney,19.8125,-1.25
warmth,-0.25,carrie martin,19.9375,-1.6875
warmth,-0.25,mamuud irshad,20.5,-1.125
warmth,-0.25,ava,20.1875,-1.5
warmth,-0.25,dziella lousaper,20.5625,-0.9375
warmth,-0.25,abdullah abukar,20.3125,-1.125
warmth,-0.25,bill zhang,19.8125,-1.0625
warmth,-0.25,hina chaudhry,20.25,-1.0
warmth,-0.25,robert,19.4375,-1.1875
warmth,-0.25,joan,19.9375,-0.9375
warmth,-0.25,anne,19.75,-1.625
warmth,-0.25,jack li,20.0,-1.3125
warmth,-0.25,darius jackson,19.5625,-1.8125
warmth,-0.25,latoya,20.1875,-1.375
warmth,-0.25,thomas,19.8125,-1.1875
warmth,-0.25,amy wood,19.875,-1.8125
warmth,0.0,kenneth,20.75,0.0
warmth,0.0,ashley,21.3125,0.0
warmth,0.0,lucas peterson,21.5,0.0
warmth,0.0,james yoder,21.1875,0.0
warmth,0.0,amy wang,21.875,0.0
warmth,0.0,kevin,20.8125,0.0
warmth,0.0,edona sanatroug,21.75,0.0
warmth,0.0,tremayne,21.3125,0.0
warmth,0.0,joyce,21.0,0.0
warmth,0.0,shirley,20.75,0.0
warmth,0.0,aferdita dzaghig,22.0625,0.0
warmth,0.0,lauren,21.5,0.0
warmth,0.0,brandom,20.8125,0.0
warmth,0.0,shakir imtiaz,21.5,0.0
warmth,0.0,jeffrey,20.75,0.0
warmth,0.0,brett,21.25,0.0
warmth,0.0,kyler,21.4375,0.0
warmth,0.0,chritine,21.0625,0.0
warmth,0.0,latasha,21.6875,0.0
warmth,0.0,abu amjad khazin,21.125,0.0
warmth,0.0,yong zhang,21.4375,0.0
warmth,0.0,meredith miller,21.4375,0.0
warmth,0.0,jamal,21.0,0.0
warmth,0.0,mack,20.8125,0.0
warmth,0.0,jonathan,20.75,0.0
warmth,0.0,carrie,21.1875,0.0
warmth,0.0,zachary,21.0625,0.0
warmth,0.0,william novak,20.875,0.0
warmth,0.0,joshua,20.875,0.0
warmth,0.0,amber sullivan,22.0,0.0
warmth,0.0,sarah davis,21.75,0.0
warmth,0.0,adam,20.375,0.0
warmth,0.0,shreya sharma,21.75,0.0
warmth,0.0,donnell,21.125,0.0
warmth,0.0,patrice,21.3125,0.0
warmth,0.0,sarah,21.25,0.0
warmth,0.0,lei li,21.5,0.0
warmth,0.0,janet,20.9375,0.0
warmth,0.0,susan,20.8125,0.0
