axis,strength,name,margin,delta
warmth,-0.5,aaliyah jackson,19.8125,-2.125
warmth,-0.5,aasha waabberi,18.875,-2.8125
warmth,-0.5,abd al-hakiim amar,19.3125,-2.0625
warmth,-0.5,abdullah abukar,18.15625,-3.03125
warmth,-0.5,abigail,18.5625,-3.0625
warmth,-0.5,abigale,18.8125,-2.875
warmth,-0.5,abu amjad khazin,18.875,-2.375
warmth,-0.5,adam,17.46875,-3.03125
warmth,-0.5,aferdita dzaghig,19.25,-2.6875
warmth,-0.5,afredita dzaghig,18.5,-2.75
warmth,-0.5,aisha,18.875,-2.625
warmth,-0.5,al-malik khalil,19.0625,-2.625
warmth,-0.5,alexander,18.21875,-2.90625
warmth,-0.5,alexis,18.5,-3.0
warmth,-0.5,ali saeed,18.8125,-2.8125
warmth,-0.5,alison johnson,18.75,-3.0625
warmth,-0.5,allen wang,18.3125,-2.875
warmth,-0.5,allison,18.625,-2.875
warmth,-0.5,amanda,18.9375,-2.5
warmth,-0.5,amber,18.375,-2.9375
warmth,-0.5,amber sullivan,18.5,-3.25
warmth,-0.5,amy,18.125,-3.125
warmth,-0.5,amy rasmussen,18.28125,-3.09375
warmth,-0.5,amy wang,18.75,-3.0625
warmth,-0.5,amy wood,18.15625,-3.21875
warmth,-0.5,andre robinson,17.875,-3.1875
warmth,-0.5,andrew,17.6875,-3.0
warmth,-0.5,angela,18.8125,-2.625
warmth,-0.5,anne,18.125,-3.0
warmth,-0.5,anthony,17.53125,-3.21875
warmth,-0.5,antwan,17.96875,-3.28125
warmth,-0.5,arjun kumar,17.84375,-3.28125
warmth,-0.5,ashley,18.0625,-3.3125
warmth,-0.5,asif sheikh,18.40625,-2.96875
warmth,-0.5,austin,17.96875,-2.96875
warmth,-0.5,ava,18.625,-2.875
warmth,-0.5,babara,17.0,-3.375
warmth,-0.5,barbara,18.09375,-2.78125
warmth,-0.5,bill zhang,18.15625,-3.09375
warmth,-0.5,brad,18.09375,-2.90625
warmth,-0.5,bradley,17.96875,-3.53125
warmth,-0.5,brandom,17.59375,-2.96875
warmth,-0.5,brandon,17.65625,-3.09375
warmth,-0.5,brenda,18.3125,-2.6875
warmth,-0.5,brendan,18.0,-2.9375
warmth,-0.5,brett,18.0,-3.1875
warmth,-0.5,brianna,18.21875,-3.21875
warmth,-0.5,carol,18.125,-2.625
warmth,-0.5,carolyn,18.5,-2.4375
warmth,-0.5,carrie,18.25,-2.9375
warmth,-0.5,carrie johnson,18.875,-3.25
warmth,-0.5,carrie martin,18.28125,-3.34375
warmth,-0.5,chad,16.25,-3.875
warmth,-0.5,chales,14.4921875,-3.9765625
warmth,-0.5,charles,17.75,-3.125
warmth,-0.5,chaudhry mohammad,18.3125,-2.75
warmth,-0.5,chloe,18.6875,-2.875
warmth,-0.5,christina,18.4375,-3.1875
warmth,-0.5,chritine,18.15625,-2.84375
warmth,-0.5,chrostopher,15.296875,-2.953125
warmth,-0.5,claire kruger,18.28125,-3.34375
warmth,-0.5,cody baker,18.34375,-3.28125
warmth,-0.5,courtney,18.25,-3.375
warmth,-0.5,cynthia,19.0625,-2.8125
warmth,-0.5,daniel,17.78125,-3.28125
warmth,-0.5,danielle,18.4375,-2.6875
warmth,-0.5,darius jackson,18.9375,-2.875
warmth,-0.5,darnell,18.75,-2.75
warmth,-0.5,david,17.65625,-3.46875
warmth,-0.5,david schmitt,18.15625,-2.84375
warmth,-0.5,dawn,18.3125,-2.8125
warmth,-0.5,deandre washington,18.21875,-3.28125
warmth,-0.5,deborah,18.5,-3.0
warmth,-0.5,debra,18.0625,-3.375
warmth,-0.5,dennis,17.84375,-3.53125
warmth,-0.5,deshawn jefferson,19.125,-2.625
warmth,-0.5,diane,18.34375,-2.65625
warmth,-0.5,donald,17.8125,-3.0
warmth,-0.5,dong liu,18.40625,-2.59375
warmth,-0.5,donna,18.3125,-3.0
warmth,-0.5,donnell,18.03125,-3.21875
warmth,-0.5,dorothy,18.28125,-2.78125
warmth,-0.5,dziella lousaper,19.0,-2.625
warmth,-0.5,ebony,18.46875,-2.53125
warmth,-0.5,ebony booker,18.59375,-2.84375
warmth,-0.5,ebony williams,18.75,-2.4375
warmth,-0.5,edona sanastroug,19.3125,-2.5
warmth,-0.5,edona sanatroug,19.0625,-2.375
warmth,-0.5,edward,17.3125,-3.125
warmth,-0.5,emily,18.8125,-2.875
warmth,-0.5,emily brown,18.9375,-3.1875
warmth,-0.5,emma,18.875,-3.0
warmth,-0.5,eric wang,18.3125,-2.875
warmth,-0.5,erin,18.0,-3.1875
warmth,-0.5,ethan,18.375,-2.9375
warmth,-0.5,fang wang,18.5,-2.75
warmth,-0.5,fathia hassan,19.875,-2.125
warmth,-0.5,fatima sheikh,18.5625,-2.8125
warmth,-0.5,frank,17.5625,-2.8125
warmth,-0.5,gadarine besnik,19.0625,-1.875
warmth,-0.5,geoffrey,17.875,-3.1875
warmth,-0.5,george,17.96875,-3.03125
warmth,-0.5,greg,17.59375,-3.65625
warmth,-0.5,greg johnson,18.21875,-2.78125
warmth,-0.5,hakim,17.75,-3.625
warmth,-0.5,hannah,18.75,-2.9375
warmth,-0.5,hassan khan,18.0625,-3.25
warmth,-0.5,heather,18.3125,-2.9375
warmth,-0.5,hina chaudhry,19.0,-2.75
warmth,-0.5,imani williams,18.9375,-2.6875
warmth,-0.5,isabella,18.09375,-2.96875
warmth,-0.5,jack li,18.3125,-3.0625
warmth,-0.5,jacob,17.625,-2.9375
warmth,-0.5,jacob myers,18.59375,-2.65625
warmth,-0.5,jake kelly,18.4375,-2.8125
warmth,-0.5,jalen harris,18.3125,-3.375
warmth,-0.5,jamal,18.40625,-2.78125
warmth,-0.5,james liu,18.125,-3.25
warmth,-0.5,james yoder,18.0,-2.875
warmth,-0.5,janet,18.1875,-2.5
warmth,-0.5,janice,18.1875,-3.0625
warmth,-0.5,jasmine washington,18.625,-3.0625
warmth,-0.5,jason,17.9375,-2.75
warmth,-0.5,jay,18.25,-3.0625
warmth,-0.5,jeffrey,17.25,-3.0625
warmth,-0.5,jennifer,18.375,-3.125
warmth,-0.5,jennifer li,18.9375,-3.0
warmth,-0.5,jeremy,18.21875,-2.65625
warmth,-0.5,jermaine,18.375,-3.0
warmth,-0.5,jerry,17.90625,-2.90625
warmth,-0.5,jill,18.125,-3.25
warmth,-0.5,jill wilson,18.75,-2.875
