axis,strength,name,margin,delta
warmth,-0.1,kenneth,24.609375,-1.078125
warmth,-0.1,ashley,24.8125,-1.1875
warmth,-0.1,lucas peterson,24.421875,-1.203125
warmth,-0.1,james yoder,24.109375,-1.03125
warmth,-0.1,amy wang,24.65625,-1.125
warmth,-0.1,kevin,24.484375,-1.359375
warmth,-0.1,edona sanatroug,24.328125,-1.078125
warmth,-0.1,tremayne,24.6875,-1.125
warmth,-0.1,joyce,24.59375,-1.28125
warmth,-0.1,shirley,24.9375,-0.9375
warmth,-0.1,aferdita dzaghig,24.4375,-1.21875
warmth,-0.1,lauren,24.796875,-0.984375
warmth,-0.1,brandom,22.0078125,-1.78125
warmth,-0.1,shakir imtiaz,24.421875,-1.078125
warmth,-0.1,jeffrey,24.75,-1.0625
warmth,-0.1,brett,24.59375,-0.875
warmth,-0.1,kyler,24.546875,-1.078125
warmth,-0.1,chritine,20.9375,-1.5712890625
warmth,-0.1,latasha,24.640625,-1.140625
warmth,-0.1,abu amjad khazin,24.390625,-1.015625
warmth,-0.1,yong zhang,24.734375,-1.078125
warmth,-0.1,meredith miller,24.5625,-1.125
warmth,-0.1,jamal,24.5625,-1.28125
warmth,-0.1,mack,24.65625,-1.15625
warmth,-0.1,jonathan,24.203125,-1.359375
warmth,-0.1,carrie,24.953125,-0.984375
warmth,-0.1,zachary,24.59375,-1.15625
warmth,-0.1,william novak,24.328125,-1.109375
warmth,-0.1,joshua,24.578125,-1.203125
warmth,-0.1,amber sullivan,24.6875,-0.96875
warmth,-0.1,sarah davis,24.375,-1.1875
warmth,-0.1,adam,24.40625,-1.1875
warmth,-0.1,shreya sharma,24.546875,-1.046875
warmth,-0.1,donnell,24.578125,-1.390625
warmth,-0.1,patrice,24.609375,-1.171875
warmth,-0.1,sarah,24.71875,-1.09375
warmth,-0.1,lei li,24.9375,-1.15625
warmth,-0.1,janet,24.5625,-1.3125
warmth,-0.1,susan,24.84375,-0.875
warmth,-0.1,lashonda,24.703125,-1.328125
warmth,-0.1,brad,24.4375,-1.0
warmth,-0.1,michael smith,24.328125,-0.953125
warmth,-0.1,deborah,24.765625,-1.078125
warmth,-0.1,tara singh,24.75,-1.21875
warmth,-0.1,courtney,24.65625,-1.15625
warmth,-0.1,carrie martin,24.484375,-1.296875
warmth,-0.1,mamuud irshad,24.34375,-1.125
warmth,-0.1,ava,24.75,-0.96875
warmth,-0.1,dziella lousaper,24.1875,-1.1875
warmth,-0.1,abdullah abukar,24.859375,-0.765625
warmth,-0.1,bill zhang,24.484375,-1.140625
warmth,-0.1,hina chaudhry,24.484375,-1.265625
warmth,-0.1,robert,24.59375,-0.9375
warmth,-0.1,joan,24.625,-1.09375
warmth,-0.1,anne,24.8125,-1.125
warmth,-0.1,jack li,24.75,-1.0
warmth,-0.1,darius jackson,24.625,-1.0
warmth,-0.1,latoya,25.0,-0.9375
warmth,-0.1,thomas,24.609375,-0.984375
warmth,-0.1,amy wood,24.75,-0.9375
warmth,-0.05,kenneth,25.46875,-0.21875
warmth,-0.05,ashley,25.625,-0.375
warmth,-0.05,lucas peterson,25.15625,-0.46875
warmth,-0.05,james yoder,24.890625,-0.25
warmth,-0.05,amy wang,25.375,-0.40625
warmth,-0.05,kevin,25.4375,-0.40625
warmth,-0.05,edona sanatroug,25.0,-0.40625
warmth,-0.05,tremayne,25.40625,-0.40625
warmth,-0.05,joyce,25.59375,-0.28125
warmth,-0.05,shirley,25.71875,-0.15625
warmth,-0.05,aferdita dzaghig,25.125,-0.53125
warmth,-0.05,lauren,25.5625,-0.21875
warmth,-0.05,brandom,22.8671875,-0.921875
warmth,-0.05,shakir imtiaz,25.171875,-0.328125
warmth,-0.05,jeffrey,25.6875,-0.125
warmth,-0.05,brett,25.15625,-0.3125
warmth,-0.05,kyler,25.25,-0.375
warmth,-0.05,chritine,21.90625,-0.6025390625
warmth,-0.05,latasha,25.375,-0.40625
warmth,-0.05,abu amjad khazin,25.03125,-0.375
warmth,-0.05,yong zhang,25.40625,-0.40625
warmth,-0.05,meredith miller,25.15625,-0.53125
warmth,-0.05,jamal,25.5,-0.34375
warmth,-0.05,mack,25.28125,-0.53125
warmth,-0.05,jonathan,25.125,-0.4375
warmth,-0.05,carrie,25.71875,-0.21875
warmth,-0.05,zachary,25.21875,-0.53125
warmth,-0.05,william novak,25.234375,-0.203125
warmth,-0.05,joshua,25.625,-0.15625
warmth,-0.05,amber sullivan,25.34375,-0.3125
warmth,-0.05,sarah davis,25.1875,-0.375
warmth,-0.05,adam,25.375,-0.21875
warmth,-0.05,shreya sharma,25.3125,-0.28125
warmth,-0.05,donnell,25.46875,-0.5
warmth,-0.05,patrice,25.53125,-0.25
warmth,-0.05,sarah,25.46875,-0.34375
warmth,-0.05,lei li,25.625,-0.46875
warmth,-0.05,janet,25.5,-0.375
warmth,-0.05,susan,25.46875,-0.25
warmth,-0.05,lashonda,25.71875,-0.3125
warmth,-0.05,brad,25.21875,-0.21875
warmth,-0.05,michael smith,24.984375,-0.296875
warmth,-0.05,deborah,25.5,-0.34375
warmth,-0.05,tara singh,25.40625,-0.5625
warmth,-0.05,courtney,25.53125,-0.28125
warmth,-0.05,carrie martin,25.40625,-0.375
warmth,-0.05,mamuud irshad,24.921875,-0.546875
warmth,-0.05,ava,25.53125,-0.1875
warmth,-0.05,dziella lousaper,24.84375,-0.53125
warmth,-0.05,abdullah abukar,25.40625,-0.21875
warmth,-0.05,bill zhang,25.25,-0.375
warmth,-0.05,hina chaudhry,25.375,-0.375
warmth,-0.05,robert,25.21875,-0.3125
warmth,-0.05,joan,25.625,-0.09375
warmth,-0.05,anne,25.375,-0.5625
warmth,-0.05,jack li,25.59375,-0.15625
warmth,-0.05,darius jackson,25.4375,-0.1875
warmth,-0.05,latoya,25.53125,-0.40625
warmth,-0.05,thomas,25.375,-0.21875
warmth,-0.05,amy wood,25.375,-0.3125
warmth,0.0,kenneth,25.6875,0.0
warmth,0.0,ashley,26.0,0.0
warmth,0.0,lucas peterson,25.625,0.0
warmth,0.0,james yoder,25.140625,0.0
warmth,0.0,amy wang,25.78125,0.0
warmth,0.0,kevin,25.84375,0.0
warmth,0.0,edona sanatroug,25.40625,0.0
warmth,0.0,tremayne,25.8125,0.0
warmth,0.0,joyce,25.875,0.0
warmth,0.0,shirley,25.875,0.0
warmth,0.0,aferdita dzaghig,25.65625,0.0
warmth,0.0,lauren,25.78125,0.0
warmth,0.0,brandom,23.7890625,0.0
warmth,0.0,shakir imtiaz,25.5,0.0
warmth,0.0,jeffrey,25.8125,0.0
warmth,0.0,brett,25.46875,0.0
warmth,0.0,kyler,25.625,0.0
warmth,0.0,chritine,22.5087890625,0.0
warmth,0.0,latasha,25.78125,0.0
warmth,0.0,abu amjad khazin,25.40625,0.0
warmth,0.0,yong zhang,25.8125,0.0
warmth,0.0,meredith miller,25.6875,0.0
warmth,0.0,jamal,25.84375,0.0
warmth,0.0,mack,25.8125,0.0
warmth,0.0,jonathan,25.5625,0.0
warmth,0.0,carrie,25.9375,0.0
warmth,0.0,zachary,25.75,0.0
warmth,0.0,william novak,25.4375,0.0
warmth,0.0,joshua,25.78125,0.0
warmth,0.0,amber sullivan,25.65625,0.0
warmth,0.0,sarah davis,25.5625,0.0
