axis,strength,name,margin,delta
warmth,-0.5,kenneth,-3.125,-0.8125
warmth,-0.5,ashley,-2.8125,-0.8125
warmth,-0.5,lucas peterson,-2.875,-0.6875
warmth,-0.5,james yoder,-2.625,-0.625
warmth,-0.5,amy wang,-2.875,-0.875
warmth,-0.5,kevin,-3.0,-0.875
warmth,-0.5,edona sanatroug,-2.9375,-0.8125
warmth,-0.5,tremayne,-2.8125,-0.75
warmth,-0.5,joyce,-3.0,-0.8125
warmth,-0.5,shirley,-3.0,-0.8125
warmth,-0.5,aferdita dzaghig,-2.9375,-0.6875
warmth,-0.5,lauren,-2.8125,-0.9375
warmth,-0.5,brandom,-2.6875,-0.875
warmth,-0.5,shakir imtiaz,-3.0,-0.75
warmth,-0.5,jeffrey,-2.9375,-0.6875
warmth,-0.5,brett,-2.75,-0.8125
warmth,-0.5,kyler,-2.8125,-0.875
warmth,-0.5,chritine,-2.625,-0.8125
warmth,-0.5,latasha,-2.8125,-0.875
warmth,-0.5,abu amjad khazin,-3.1875,-0.6875
warmth,-0.5,yong zhang,-3.0,-0.6875
warmth,-0.5,meredith miller,-2.75,-0.875
warmth,-0.5,jamal,-3.0625,-0.8125
warmth,-0.5,mack,-2.8125,-0.6875
warmth,-0.5,jonathan,-3.0,-0.875
warmth,-0.5,carrie,-2.875,-0.875
warmth,-0.5,zachary,-2.875,-0.8125
warmth,-0.5,william novak,-2.8125,-0.6875
warmth,-0.5,joshua,-3.0625,-0.875
warmth,-0.5,amber sullivan,-2.6875,-0.75
warmth,-0.5,sarah davis,-2.8125,-0.75
warmth,-0.5,adam,-2.9375,-0.9375
warmth,-0.5,shreya sharma,-2.875,-0.75
warmth,-0.5,donnell,-2.9375,-0.875
warmth,-0.5,patrice,-2.8125,-0.875
warmth,-0.5,sarah,-2.9375,-0.8125
warmth,-0.5,lei li,-2.75,-0.6875
warmth,-0.5,janet,-2.875,-0.8125
warmth,-0.5,susan,-3.0,-0.8125
warmth,-0.5,lashonda,-2.8125,-0.875
warmth,-0.5,brad,-2.75,-0.8125
warmth,-0.5,michael smith,-2.75,-0.6875
warmth,-0.5,deborah,-3.0625,-0.9375
warmth,-0.5,tara singh,-2.9375,-0.8125
warmth,-0.5,courtney,-3.0625,-0.875
warmth,-0.5,carrie martin,-2.625,-0.6875
warmth,-0.5,mamuud irshad,-3.0,-0.5625
warmth,-0.5,ava,-3.0,-0.8125
warmth,-0.5,dziella lousaper,-2.875,-0.4375
warmth,-0.5,abdullah abukar,-2.9375,-0.75
warmth,-0.5,bill zhang,-2.9375,-0.75
warmth,-0.5,hina chaudhry,-2.9375,-0.8125
warmth,-0.5,robert,-3.0,-0.875
warmth,-0.5,joan,-2.875,-0.75
warmth,-0.5,anne,-2.75,-0.875
warmth,-0.5,jack li,-2.9375,-0.8125
warmth,-0.5,darius jackson,-2.8125,-0.6875
warmth,-0.5,latoya,-2.75,-0.6875
warmth,-0.5,thomas,-3.125,-0.875
warmth,-0.5,amy wood,-2.75,-0.8125
warmth,-0.25,kenneth,-3.0,-0.6875
warmth,-0.25,ashley,-2.625,-0.625
warmth,-0.25,lucas peterson,-2.75,-0.5625
warmth,-0.25,james yoder,-2.5625,-0.5625
warmth,-0.25,amy wang,-2.75,-0.75
warmth,-0.25,kevin,-2.8125,-0.6875
warmth,-0.25,edona sanatroug,-2.8125,-0.6875
warmth,-0.25,tremayne,-2.625,-0.5625
warmth,-0.25,joyce,-2.9375,-0.75
warmth,-0.25,shirley,-2.8125,-0.625
warmth,-0.25,aferdita dzaghig,-2.8125,-0.5625
warmth,-0.25,lauren,-2.625,-0.75
warmth,-0.25,brandom,-2.4375,-0.625
warmth,-0.25,shakir imtiaz,-2.875,-0.625
warmth,-0.25,jeffrey,-2.875,-0.625
warmth,-0.25,brett,-2.625,-0.6875
warmth,-0.25,kyler,-2.625,-0.6875
warmth,-0.25,chritine,-2.4375,-0.625
warmth,-0.25,latasha,-2.625,-0.6875
warmth,-0.25,abu amjad khazin,-3.0625,-0.5625
warmth,-0.25,yong zhang,-2.875,-0.5625
warmth,-0.25,meredith miller,-2.5,-0.625
warmth,-0.25,jamal,-2.8125,-0.5625
warmth,-0.25,mack,-2.6875,-0.5625
warmth,-0.25,jonathan,-2.8125,-0.6875
warmth,-0.25,carrie,-2.625,-0.625
warmth,-0.25,zachary,-2.75,-0.6875
warmth,-0.25,william novak,-2.6875,-0.5625
warmth,-0.25,joshua,-2.875,-0.6875
warmth,-0.25,amber sullivan,-2.5,-0.5625
warmth,-0.25,sarah davis,-2.6875,-0.625
warmth,-0.25,adam,-2.6875,-0.6875
warmth,-0.25,shreya sharma,-2.8125,-0.6875
warmth,-0.25,donnell,-2.75,-0.6875
warmth,-0.25,patrice,-2.625,-0.6875
warmth,-0.25,sarah,-2.75,-0.625
warmth,-0.25,lei li,-2.625,-0.5625
warmth,-0.25,janet,-2.75,-0.6875
warmth,-0.25,susan,-2.8125,-0.625
warmth,-0.25,lashonda,-2.5625,-0.625
warmth,-0.25,brad,-2.5625,-0.625
warmth,-0.25,michael smith,-2.6875,-0.625
warmth,-0.25,deborah,-2.8125,-0.6875
warmth,-0.25,tara singh,-2.8125,-0.6875
warmth,-0.25,courtney,-2.8125,-0.625
warmth,-0.25,carrie martin,-2.5625,-0.625
warmth,-0.25,mamuud irshad,-2.9375,-0.5
warmth,-0.25,ava,-2.875,-0.6875
warmth,-0.25,dziella lousaper,-2.9375,-0.5
warmth,-0.25,abdullah abukar,-2.75,-0.5625
warmth,-0.25,bill zhang,-2.9375,-0.75
warmth,-0.25,hina chaudhry,-2.8125,-0.6875
warmth,-0.25,robert,-2.8125,-0.6875
warmth,-0.25,joan,-2.75,-0.625
warmth,-0.25,anne,-2.5625,-0.6875
warmth,-0.25,jack li,-2.8125,-0.6875
warmth,-0.25,darius jackson,-2.75,-0.625
warmth,-0.25,latoya,-2.6875,-0.625
warmth,-0.25,thomas,-2.9375,-0.6875
warmth,-0.25,amy wood,-2.625,-0.6875
warmth,0.0,kenneth,-2.3125,0.0
warmth,0.0,ashley,-2.0,0.0
warmth,0.0,lucas peterson,-2.1875,0.0
warmth,0.0,james yoder,-2.0,0.0
warmth,0.0,amy wang,-2.0,0.0
warmth,0.0,kevin,-2.125,0.0
warmth,0.0,edona sanatroug,-2.125,0.0
