axis,strength,name,margin,delta
warmth,-0.1,kenneth,-2.625,-0.375
warmth,-0.1,ashley,-2.375,-0.3125
warmth,-0.1,lucas peterson,-2.4375,-0.3125
warmth,-0.1,james yoder,-2.25,-0.3125
warmth,-0.1,amy wang,-2.3125,-0.3125
warmth,-0.1,kevin,-2.375,-0.3125
warmth,-0.1,edona sanatroug,-2.5625,-0.3125
warmth,-0.1,tremayne,-2.3125,-0.375
warmth,-0.1,joyce,-2.5,-0.375
warmth,-0.1,shirley,-2.5,-0.3125
warmth,-0.1,aferdita dzaghig,-2.4375,-0.25
warmth,-0.1,lauren,-2.375,-0.3125
warmth,-0.1,brandom,-2.1875,-0.375
warmth,-0.1,shakir imtiaz,-2.5,-0.3125
warmth,-0.1,jeffrey,-2.5625,-0.375
warmth,-0.1,brett,-2.25,-0.25
warmth,-0.1,kyler,-2.1875,-0.3125
warmth,-0.1,chritine,-2.125,-0.3125
warmth,-0.1,latasha,-2.1875,-0.375
warmth,-0.1,abu amjad khazin,-2.75,-0.375
warmth,-0.1,yong zhang,-2.625,-0.4375
warmth,-0.1,meredith miller,-2.1875,-0.3125
warmth,-0.1,jamal,-2.5,-0.375
warmth,-0.1,mack,-2.25,-0.25
warmth,-0.1,jonathan,-2.5,-0.4375
warmth,-0.1,carrie,-2.3125,-0.375
warmth,-0.1,zachary,-2.25,-0.3125
warmth,-0.1,william novak,-2.5,-0.3125
warmth,-0.1,joshua,-2.5,-0.25
warmth,-0.1,amber sullivan,-2.25,-0.3125
warmth,-0.1,sarah davis,-2.3125,-0.25
warmth,-0.1,adam,-2.5,-0.375
warmth,-0.1,shreya sharma,-2.5625,-0.375
warmth,-0.1,donnell,-2.25,-0.3125
warmth,-0.1,patrice,-2.3125,-0.25
warmth,-0.1,sarah,-2.375,-0.3125
warmth,-0.1,lei li,-2.3125,-0.25
warmth,-0.1,janet,-2.375,-0.375
warmth,-0.1,susan,-2.375,-0.3125
warmth,-0.1,lashonda,-2.25,-0.3125
warmth,-0.1,brad,-2.1875,-0.3125
warmth,-0.1,michael smith,-2.4375,-0.3125
