axis,delta,margin,name,strength
warmth,-2.875,2.5,kenneth,-0.5
warmth,-2.75,2.625,ashley,-0.5
warmth,-2.75,2.75,lucas peterson,-0.5
warmth,-2.75,2.75,james yoder,-0.5
warmth,-2.625,2.75,amy wang,-0.5
warmth,-2.75,2.625,kevin,-0.5
warmth,-2.625,2.5,edona sanatroug,-0.5
warmth,-2.875,2.375,tremayne,-0.5
warmth,-2.75,2.625,joyce,-0.5
warmth,-2.875,2.5,shirley,-0.5
warmth,-2.625,2.5,aferdita dzaghig,-0.5
warmth,-3.0,2.625,lauren,-0.5
warmth,-2.25,2.375,brandom,-0.5
warmth,-2.75,2.75,shakir imtiaz,-0.5
warmth,-2.875,2.625,jeffrey,-0.5
warmth,-2.875,2.375,brett,-0.5
warmth,-2.75,2.5,kyler,-0.5
warmth,-1.75,2.625,chritine,-0.5
warmth,-2.875,2.625,latasha,-0.5
warmth,-2.875,2.5,abu amjad khazin,-0.5
warmth,-2.875,2.5,yong zhang,-0.5
warmth,-2.875,2.625,meredith miller,-0.5
warmth,-2.875,2.625,jamal,-0.5
warmth,-2.75,2.5,mack,-0.5
warmth,-2.875,2.5,jonathan,-0.5
warmth,-2.75,2.625,carrie,-0.5
warmth,-2.875,2.5,zachary,-0.5
warmth,-2.625,2.625,william novak,-0.5
warmth,-2.875,2.5,joshua,-0.5
warmth,-2.875,2.625,amber sullivan,-0.5
warmth,-2.625,2.875,sarah davis,-0.5
warmth,-2.625,2.75,adam,-0.5
warmth,-2.75,2.75,shreya sharma,-0.5
warmth,-3.0,2.375,donnell,-0.5
warmth,-2.75,2.75,patrice,-0.5
warmth,-2.75,2.75,sarah,-0.5
warmth,-2.875,2.5,lei li,-0.5
warmth,-2.75,2.75,janet,-0.5
warmth,-2.75,2.75,susan,-0.5
warmth,-2.625,2.625,lashonda,-0.5
warmth,-2.5,2.625,brad,-0.5
warmth,-2.75,2.75,michael smith,-0.5
warmth,-2.75,2.625,deborah,-0.5
warmth,-2.875,2.625,tara singh,-0.5
warmth,-2.875,2.5,courtney,-0.5
warmth,-2.875,2.625,carrie martin,-0.5
warmth,-2.625,2.375,mamuud irshad,-0.5
warmth,-2.75,2.5,ava,-0.5
warmth,-2.375,2.125,dziella lousaper,-0.5
warmth,-2.625,2.75,abdullah abukar,-0.5
warmth,-2.75,2.75,bill zhang,-0.5
warmth,-2.625,2.75,hina chaudhry,-0.5
warmth,-2.75,2.625,robert,-0.5
warmth,-2.75,2.625,joan,-0.5
warmth,-2.75,2.625,anne,-0.5
warmth,-2.75,2.75,jack li,-0.5
warmth,-2.75,2.75,darius jackson,-0.5
warmth,-2.75,2.75,latoya,-0.5
warmth,-2.75,2.625,thomas,-0.5
warmth,-2.625,2.75,amy wood,-0.5
warmth,-2.125,3.25,kenneth,-0.25
warmth,-2.0,3.375,ashley,-0.25
warmth,-2.25,3.25,lucas peterson,-0.25
warmth,-2.25,3.25,james yoder,-0.25
warmth,-2.0,3.375,amy wang,-0.25
warmth,-2.25,3.125,kevin,-0.25
warmth,-2.125,3.0,edona sanatroug,-0.25
warmth,-2.0,3.25,tremayne,-0.25
warmth,-2.125,3.25,joyce,-0.25
warmth,-2.25,3.125,shirley,-0.25
warmth,-2.125,3.0,aferdita dzaghig,-0.25
