axis,delta,margin,name,strength
warmth,-2.875,2.75,aaliyah jackson,-0.5
warmth,-2.625,2.5,aasha waabberi,-0.5
warmth,-2.875,2.5,abd al-hakiim amar,-0.5
warmth,-2.625,2.75,abdullah abukar,-0.5
warmth,-2.75,2.75,abigail,-0.5
warmth,-2.375,2.75,abigale,-0.5
warmth,-2.875,2.5,abu amjad khazin,-0.5
warmth,-2.625,2.75,adam,-0.5
warmth,-2.625,2.5,aferdita dzaghig,-0.5
warmth,-2.375,2.5,afredita dzaghig,-0.5
warmth,-2.875,2.75,aisha,-0.5
warmth,-2.25,2.375,al-malik khalil,-0.5
warmth,-2.625,2.625,alexander,-0.5
warmth,-2.75,2.625,alexis,-0.5
warmth,-2.625,2.75,ali saeed,-0.5
warmth,-2.75,2.875,alison johnson,-0.5
warmth,-2.75,2.5,allen wang,-0.5
warmth,-2.875,2.625,allison,-0.5
warmth,-2.75,2.625,amanda,-0.5
warmth,-2.75,2.625,amber,-0.5
warmth,-2.875,2.625,amber sullivan,-0.5
warmth,-2.75,2.75,amy,-0.5
warmth,-2.875,2.625,amy rasmussen,-0.5
warmth,-2.625,2.75,amy wang,-0.5
warmth,-2.625,2.75,amy wood,-0.5
warmth,-2.875,2.625,andre robinson,-0.5
warmth,-2.75,2.625,andrew,-0.5
warmth,-2.875,2.625,angela,-0.5
warmth,-2.75,2.625,anne,-0.5
warmth,-2.75,2.625,anthony,-0.5
warmth,-2.875,2.625,antwan,-0.5
warmth,-2.75,2.75,arjun kumar,-0.5
warmth,-2.75,2.625,ashley,-0.5
warmth,-2.75,2.5,asif sheikh,-0.5
warmth,-2.625,2.625,austin,-0.5
warmth,-2.75,2.5,ava,-0.5
warmth,-1.875,2.375,babara,-0.5
warmth,-2.75,2.625,barbara,-0.5
warmth,-2.75,2.75,bill zhang,-0.5
warmth,-2.5,2.625,brad,-0.5
warmth,-2.875,2.375,bradley,-0.5
warmth,-2.25,2.375,brandom,-0.5
warmth,-2.75,2.5,brandon,-0.5
warmth,-2.625,2.75,brenda,-0.5
warmth,-2.75,2.5,brendan,-0.5
warmth,-2.875,2.375,brett,-0.5
warmth,-2.75,2.625,brianna,-0.5
warmth,-2.875,2.5,carol,-0.5
warmth,-2.875,2.625,carolyn,-0.5
