axis,delta,margin,name,strength
warmth,-1.25,4.125,kenneth,-0.1
warmth,-1.125,4.25,ashley,-0.1
warmth,-1.375,4.125,lucas peterson,-0.1
warmth,-1.25,4.25,james yoder,-0.1
warmth,-1.125,4.25,amy wang,-0.1
warmth,-1.125,4.25,kevin,-0.1
warmth,-1.25,3.875,edona sanatroug,-0.1
warmth,-1.125,4.125,tremayne,-0.1
warmth,-1.125,4.25,joyce,-0.1
warmth,-1.25,4.125,shirley,-0.1
warmth,-1.25,3.875,aferdita dzaghig,-0.1
warmth,-1.25,4.375,lauren,-0.1
warmth,-1.0,3.625,brandom,-0.1
warmth,-1.375,4.125,shakir imtiaz,-0.1
warmth,-1.375,4.125,jeffrey,-0.1
warmth,-1.25,4.0,brett,-0.1
warmth,-1.25,4.0,kyler,-0.1
warmth,-1.0,3.375,chritine,-0.1
warmth,-1.25,4.25,latasha,-0.1
warmth,-1.375,4.0,abu amjad khazin,-0.1
warmth,-1.375,4.0,yong zhang,-0.1
warmth,-1.25,4.25,meredith miller,-0.1
warmth,-1.25,4.25,jamal,-0.1
warmth,-1.125,4.125,mack,-0.1
warmth,-1.25,4.125,jonathan,-0.1
warmth,-1.25,4.125,carrie,-0.1
warmth,-1.25,4.125,zachary,-0.1
warmth,-1.25,4.0,william novak,-0.1
warmth,-1.25,4.125,joshua,-0.1
warmth,-1.25,4.25,amber sullivan,-0.1
warmth,-1.25,4.25,sarah davis,-0.1
warmth,-1.25,4.125,adam,-0.1
warmth,-1.25,4.25,shreya sharma,-0.1
warmth,-1.375,4.0,donnell,-0.1
warmth,-1.375,4.125,patrice,-0.1
warmth,-1.125,4.375,sarah,-0.1
warmth,-1.25,4.125,lei li,-0.1
warmth,-1.25,4.25,janet,-0.1
warmth,-1.25,4.25,susan,-0.1
warmth,-1.125,4.125,lashonda,-0.1
warmth,-1.0,4.125,brad,-0.1
warmth,-1.25,4.25,michael smith,-0.1
warmth,-1.25,4.125,deborah,-0.1
warmth,-1.375,4.125,tara singh,-0.1
warmth,-1.125,4.25,courtney,-0.1
warmth,-1.25,4.25,carrie martin,-0.1
warmth,-1.125,3.875,mamuud irshad,-0.1
warmth,-1.125,4.125,ava,-0.1
warmth,-1.0,3.5,dziella lousaper,-0.1
warmth,-1.25,4.125,abdullah abukar,-0.1
warmth,-1.375,4.125,bill zhang,-0.1
warmth,-1.25,4.125,hina chaudhry,-0.1
warmth,-1.25,4.125,robert,-0.1
warmth,-1.25,4.125,joan,-0.1
warmth,-1.25,4.125,anne,-0.1
