axis,delta,margin,name,strength
warmth,-1.375,4.25,aaliyah jackson,-0.1
warmth,-1.25,3.875,aasha waabberi,-0.1
warmth,-1.375,4.0,abd al-hakiim amar,-0.1
warmth,-1.25,4.125,abdullah abukar,-0.1
warmth,-1.25,4.25,abigail,-0.1
warmth,-1.0,4.125,abigale,-0.1
warmth,-1.25,4.125,abu amjad khazin,-0.1
warmth,-1.125,4.25,adam,-0.1
warmth,-1.25,3.875,aferdita dzaghig,-0.1
warmth,-1.125,3.75,afredita dzaghig,-0.1
warmth,-1.375,4.25,aisha,-0.1
warmth,-1.125,3.5,al-malik khalil,-0.1
warmth,-1.125,4.125,alexander,-0.1
warmth,-1.125,4.25,alexis,-0.1
warmth,-1.25,4.125,ali saeed,-0.1
warmth,-1.25,4.375,alison johnson,-0.1
warmth,-1.125,4.125,allen wang,-0.1
warmth,-1.25,4.25,allison,-0.1
warmth,-1.25,4.125,amanda,-0.1
warmth,-1.125,4.25,amber,-0.1
warmth,-1.25,4.25,amber sullivan,-0.1
warmth,-1.25,4.25,amy,-0.1
warmth,-1.25,4.25,amy rasmussen,-0.1
warmth,-1.125,4.25,amy wang,-0.1
warmth,-1.125,4.25,amy wood,-0.1
warmth,-1.25,4.25,andre robinson,-0.1
warmth,-1.25,4.125,andrew,-0.1
warmth,-1.25,4.25,angela,-0.1
warmth,-1.125,4.25,anne,-0.1
warmth,-1.25,4.125,anthony,-0.1
warmth,-1.25,4.25,antwan,-0.1
warmth,-1.25,4.25,arjun kumar,-0.1
warmth,-1.125,4.25,ashley,-0.1
warmth,-1.25,4.0,asif sheikh,-0.1
warmth,-1.25,4.0,austin,-0.1
warmth,-1.125,4.125,ava,-0.1
warmth,-0.875,3.375,babara,-0.1
warmth,-1.125,4.25,barbara,-0.1
warmth,-1.375,4.125,bill zhang,-0.1
warmth,-1.125,4.0,brad,-0.1
warmth,-1.25,4.0,bradley,-0.1
warmth,-0.875,3.75,brandom,-0.1
warmth,-1.125,4.125,brandon,-0.1
warmth,-1.125,4.25,brenda,-0.1
warmth,-1.25,4.0,brendan,-0.1
warmth,-1.25,4.0,brett,-0.1
