axis,delta,margin,name,strength
warmth,-2.125,1.125,aaliyah jackson,-0.5
warmth,-2.125,0.875,aasha waabberi,-0.5
warmth,-1.875,1.0,abd al-hakiim amar,-0.5
warmth,-2.125,0.875,abdullah abukar,-0.5
warmth,-2.0,1.25,abigail,-0.5
warmth,-1.75,1.125,abigale,-0.5
warmth,-2.125,0.875,abu amjad khazin,-0.5
warmth,-1.75,1.125,adam,-0.5
warmth,-2.25,0.875,aferdita dzaghig,-0.5
warmth,-2.0,0.875,afredita dzaghig,-0.5
warmth,-2.5,1.25,aisha,-0.5
warmth,-1.875,1.0,al-malik khalil,-0.5
warmth,-1.875,1.0,alexander,-0.5
warmth,-2.25,1.0,alexis,-0.5
warmth,-2.125,1.0,ali saeed,-0.5
warmth,-1.875,1.25,alison johnson,-0.5
warmth,-1.875,1.125,allen wang,-0.5
warmth,-2.125,1.125,allison,-0.5
warmth,-2.25,1.125,amanda,-0.5
warmth,-2.125,1.125,amber,-0.5
warmth,-2.0,1.125,amber sullivan,-0.5
warmth,-2.125,1.125,amy,-0.5
warmth,-2.0,1.125,amy rasmussen,-0.5
warmth,-2.0,1.25,amy wang,-0.5
warmth,-1.875,1.25,amy wood,-0.5
warmth,-2.0,1.0,andre robinson,-0.5
warmth,-1.875,1.0,andrew,-0.5
warmth,-2.125,1.125,angela,-0.5
warmth,-2.0,1.25,anne,-0.5
warmth,-2.0,0.875,anthony,-0.5
warmth,-1.75,1.0,antwan,-0.5
warmth,-2.125,1.125,arjun kumar,-0.5
warmth,-1.875,1.125,ashley,-0.5
warmth,-2.125,1.0,asif sheikh,-0.5
warmth,-2.125,1.125,austin,-0.5
warmth,-2.25,1.125,ava,-0.5
warmth,-2.0,0.375,babara,-0.5
warmth,-2.0,1.25,barbara,-0.5
warmth,-1.875,1.0,bill zhang,-0.5
warmth,-1.875,1.0,brad,-0.5
warmth,-2.125,0.875,bradley,-0.5
warmth,-1.875,0.75,brandom,-0.5
warmth,-1.875,0.875,brandon,-0.5
warmth,-2.125,1.125,brenda,-0.5
warmth,-2.125,0.75,brendan,-0.5
warmth,-1.875,0.875,brett,-0.5
warmth,-1.875,1.25,brianna,-0.5
