axis,delta,margin,name,strength
warmth,-1.0,2.25,aaliyah jackson,-0.1
warmth,-0.875,2.125,aasha waabberi,-0.1
warmth,-0.5,2.375,abd al-hakiim amar,-0.1
warmth,-0.875,2.125,abdullah abukar,-0.1
warmth,-0.75,2.5,abigail,-0.1
warmth,-0.625,2.25,abigale,-0.1
warmth,-0.75,2.25,abu amjad khazin,-0.1
warmth,-0.625,2.25,adam,-0.1
warmth,-0.875,2.25,aferdita dzaghig,-0.1
warmth,-0.75,2.125,afredita dzaghig,-0.1
warmth,-1.25,2.5,aisha,-0.1
warmth,-0.75,2.125,al-malik khalil,-0.1
warmth,-0.625,2.25,alexander,-0.1
warmth,-1.0,2.25,alexis,-0.1
warmth,-0.875,2.25,ali saeed,-0.1
warmth,-0.75,2.375,alison johnson,-0.1
warmth,-0.625,2.375,allen wang,-0.1
warmth,-0.75,2.5,allison,-0.1
warmth,-1.0,2.375,amanda,-0.1
warmth,-0.875,2.375,amber,-0.1
warmth,-0.875,2.25,amber sullivan,-0.1
warmth,-0.875,2.375,amy,-0.1
warmth,-0.75,2.375,amy rasmussen,-0.1
warmth,-0.75,2.5,amy wang,-0.1
warmth,-0.625,2.5,amy wood,-0.1
warmth,-0.875,2.125,andre robinson,-0.1
warmth,-0.625,2.25,andrew,-0.1
warmth,-0.75,2.5,angela,-0.1
warmth,-0.875,2.375,anne,-0.1
warmth,-0.75,2.125,anthony,-0.1
warmth,-0.5,2.25,antwan,-0.1
warmth,-0.875,2.375,arjun kumar,-0.1
warmth,-0.5,2.5,ashley,-0.1
warmth,-0.75,2.375,asif sheikh,-0.1
warmth,-0.875,2.375,austin,-0.1
warmth,-0.875,2.5,ava,-0.1
warmth,-0.625,1.75,babara,-0.1
warmth,-0.75,2.5,barbara,-0.1
warmth,-0.75,2.125,bill zhang,-0.1
warmth,-0.625,2.25,brad,-0.1
warmth,-0.75,2.25,bradley,-0.1
warmth,-0.75,1.875,brandom,-0.1
warmth,-0.625,2.125,brandon,-0.1
warmth,-0.75,2.5,brenda,-0.1
warmth,-0.75,2.125,brendan,-0.1
warmth,-0.75,2.0,brett,-0.1
warmth,-0.625,2.5,brianna,-0.1
warmth,-0.75,2.5,carol,-0.1
warmth,-0.75,2.375,carolyn,-0.1
warmth,-0.875,2.375,carrie,-0.1
warmth,-1.0,2.25,carrie johnson,-0.1
warmth,-0.625,2.5,carrie martin,-0.1
warmth,-0.625,2.125,chad,-0.1
warmth,-0.75,1.375,chales,-0.1
warmth,-0.625,2.125,charles,-0.1
warmth,-0.75,2.0,chaudhry mohammad,-0.1
warmth,-0.75,2.375,chloe,-0.1
warmth,-0.75,2.25,christina,-0.1
warmth,-0.75,1.875,chritine,-0.1
warmth,-0.625,1.125,chrostopher,-0.1
warmth,-0.875,2.25,claire kruger,-0.1
warmth,-0.625,2.25,cody baker,-0.1
warmth,-0.75,2.375,courtney,-0.1
warmth,-0.875,2.375,cynthia,-0.1
warmth,-0.875,2.125,daniel,-0.1
warmth,-0.75,2.5,danielle,-0.1
warmth,-0.625,2.375,darius jackson,-0.1
warmth,-0.75,2.25,darnell,-0.1
warmth,-0.625,2.375,david,-0.1
warmth,-0.625,2.125,david schmitt,-0.1
warmth,-0.875,2.375,dawn,-0.1
warmth,-0.75,2.125,deandre washington,-0.1
warmth,-0.875,2.25,deborah,-0.1
warmth,-0.75,2.5,debra,-0.1
warmth,-0.75,2.0,dennis,-0.1
warmth,-0.625,2.0,deshawn jefferson,-0.1
warmth,-0.875,2.375,diane,-0.1
warmth,-0.75,2.125,donald,-0.1
warmth,-0.75,2.25,dong liu,-0.1
warmth,-0.875,2.25,donna,-0.1
warmth,-0.5,2.25,donnell,-0.1
warmth,-0.875,2.375,dorothy,-0.1
warmth,-0.625,2.0,dziella lousaper,-0.1
warmth,-0.625,2.25,ebony,-0.1
warmth,-1.0,2.125,ebony booker,-0.1
warmth,-0.875,2.125,ebony williams,-0.1
warmth,-0.625,2.125,edona sanastroug,-0.1
warmth,-0.625,2.125,edona sanatroug,-0.1
warmth,-0.75,2.375,edward,-0.1
warmth,-0.875,2.5,emily,-0.1
warmth,-0.75,2.5,emily brown,-0.1
warmth,-0.75,2.625,emma,-0.1
warmth,-0.75,2.25,eric wang,-0.1
warmth,-0.75,2.5,erin,-0.1
warmth,-0.625,2.25,ethan,-0.1
warmth,-0.875,2.125,fang wang,-0.1
warmth,-0.75,2.375,fathia hassan,-0.1
warmth,-0.75,2.625,fatima sheikh,-0.1
warmth,-0.75,2.25,frank,-0.1
warmth,-0.625,2.375,gadarine besnik,-0.1
warmth,-0.625,2.125,geoffrey,-0.1
warmth,-0.875,2.25,george,-0.1
warmth,-0.875,2.125,greg,-0.1
warmth,-0.75,2.125,greg johnson,-0.1
warmth,-0.625,2.375,hakim,-0.1
warmth,-0.875,2.375,hannah,-0.1
warmth,-0.75,2.375,hassan khan,-0.1
warmth,-0.875,2.375,heather,-0.1
warmth,-0.75,2.5,hina chaudhry,-0.1
warmth,-0.875,2.375,imani williams,-0.1
warmth,-0.75,2.5,isabella,-0.1
warmth,-0.625,2.375,jack li,-0.1
warmth,-0.625,2.25,jacob,-0.1
warmth,-0.75,2.25,jacob myers,-0.1
warmth,-0.5,2.25,jake kelly,-0.1
warmth,-0.875,2.125,jalen harris,-0.1
warmth,-0.875,2.25,jamal,-0.1
warmth,-0.75,2.375,james liu,-0.1
warmth,-0.875,2.125,james yoder,-0.1
warmth,-0.75,2.5,janet,-0.1
warmth,-0.875,2.375,janice,-0.1
warmth,-0.75,2.375,jasmine washington,-0.1
warmth,-0.625,2.125,jason,-0.1
warmth,-0.625,2.375,jay,-0.1
warmth,-0.625,2.125,jeffrey,-0.1
warmth,-0.75,2.625,jennifer,-0.1
warmth,-0.75,2.625,jennifer li,-0.1
warmth,-0.75,2.25,jeremy,-0.1
warmth,-0.625,2.375,jermaine,-0.1
warmth,-0.75,2.25,jerry,-0.1
warmth,-0.875,2.5,jill,-0.1
warmth,-0.75,2.25,jill wilson,-0.1
warmth,-0.5,2.25,jilue,-0.1
warmth,-0.75,2.375,joan,-0.1
warmth,-0.75,2.25,john,-0.1
warmth,-0.5,2.5,john martin,-0.1
warmth,-0.875,2.25,john mueller,-0.1
warmth,-0.75,2.125,jonathan,-0.1
warmth,-0.5,2.25,jonathon,-0.1
warmth,-0.625,2.25,joseph,-0.1
warmth,-0.625,2.25,joshua,-0.1
warmth,-0.75,2.375,joyce,-0.1
warmth,-0.75,2.5,judith,-0.1
