axis,delta,margin,name,strength
warmth,-0.875,2.375,aaliyah jackson,-0.1
warmth,-0.75,2.25,aasha waabberi,-0.1
warmth,-0.5,2.375,abd al-hakiim amar,-0.1
warmth,-0.75,2.25,abdullah abukar,-0.1
warmth,-0.75,2.5,abigail,-0.1
warmth,-0.75,2.125,abigale,-0.1
warmth,-0.75,2.25,abu amjad khazin,-0.1
warmth,-0.5,2.375,adam,-0.1
warmth,-0.875,2.25,aferdita dzaghig,-0.1
warmth,-0.625,2.25,afredita dzaghig,-0.1
warmth,-1.375,2.375,aisha,-0.1
warmth,-0.625,2.25,al-malik khalil,-0.1
warmth,-0.75,2.125,alexander,-0.1
warmth,-1.0,2.25,alexis,-0.1
warmth,-0.875,2.25,ali saeed,-0.1
warmth,-0.75,2.375,alison johnson,-0.1
warmth,-0.625,2.375,allen wang,-0.1
warmth,-1.0,2.25,allison,-0.1
warmth,-0.875,2.5,amanda,-0.1
warmth,-0.75,2.5,amber,-0.1
warmth,-0.875,2.25,amber sullivan,-0.1
warmth,-1.0,2.25,amy,-0.1
warmth,-0.75,2.375,amy rasmussen,-0.1
warmth,-0.75,2.5,amy wang,-0.1
warmth,-0.75,2.375,amy wood,-0.1
warmth,-0.75,2.25,andre robinson,-0.1
warmth,-0.625,2.25,andrew,-0.1
warmth,-0.875,2.375,angela,-0.1
warmth,-0.75,2.5,anne,-0.1
warmth,-0.75,2.125,anthony,-0.1
warmth,-0.375,2.375,antwan,-0.1
warmth,-0.875,2.375,arjun kumar,-0.1
warmth,-0.625,2.375,ashley,-0.1
warmth,-0.875,2.25,asif sheikh,-0.1
warmth,-0.875,2.375,austin,-0.1
warmth,-0.875,2.5,ava,-0.1
warmth,-0.75,1.625,babara,-0.1
warmth,-0.75,2.5,barbara,-0.1
warmth,-0.875,2.0,bill zhang,-0.1
warmth,-0.5,2.375,brad,-0.1
warmth,-0.75,2.25,bradley,-0.1
warmth,-0.5,2.125,brandom,-0.1
warmth,-0.5,2.25,brandon,-0.1
warmth,-0.875,2.375,brenda,-0.1
warmth,-0.75,2.125,brendan,-0.1
warmth,-0.625,2.125,brett,-0.1
warmth,-0.75,2.375,brianna,-0.1
warmth,-0.75,2.5,carol,-0.1
warmth,-1.0,2.125,carolyn,-0.1
warmth,-0.75,2.5,carrie,-0.1
warmth,-0.875,2.375,carrie johnson,-0.1
warmth,-0.75,2.375,carrie martin,-0.1
warmth,-0.75,2.0,chad,-0.1
warmth,-0.625,1.5,chales,-0.1
warmth,-0.75,2.0,charles,-0.1
warmth,-0.625,2.125,chaudhry mohammad,-0.1
warmth,-0.875,2.25,chloe,-0.1
warmth,-0.75,2.25,christina,-0.1
warmth,-0.625,2.0,chritine,-0.1
warmth,-0.625,1.125,chrostopher,-0.1
warmth,-0.875,2.25,claire kruger,-0.1
warmth,-0.625,2.25,cody baker,-0.1
warmth,-0.75,2.375,courtney,-0.1
warmth,-0.75,2.5,cynthia,-0.1
warmth,-0.75,2.25,daniel,-0.1
warmth,-0.75,2.5,danielle,-0.1
warmth,-0.75,2.25,darius jackson,-0.1
warmth,-0.75,2.25,darnell,-0.1
warmth,-0.75,2.25,david,-0.1
warmth,-0.625,2.125,david schmitt,-0.1
warmth,-0.875,2.375,dawn,-0.1
warmth,-0.75,2.125,deandre washington,-0.1
warmth,-0.75,2.375,deborah,-0.1
warmth,-0.875,2.375,debra,-0.1
warmth,-0.75,2.0,dennis,-0.1
warmth,-0.5,2.125,deshawn jefferson,-0.1
warmth,-0.875,2.375,diane,-0.1
warmth,-0.75,2.125,donald,-0.1
warmth,-0.75,2.25,dong liu,-0.1
warmth,-0.75,2.375,donna,-0.1
warmth,-0.625,2.125,donnell,-0.1
warmth,-0.875,2.375,dorothy,-0.1
warmth,-0.625,2.0,dziella lousaper,-0.1
warmth,-0.625,2.25,ebony,-0.1
warmth,-0.875,2.25,ebony booker,-0.1
warmth,-0.625,2.375,ebony williams,-0.1
warmth,-0.625,2.125,edona sanastroug,-0.1
warmth,-0.375,2.375,edona sanatroug,-0.1
warmth,-0.75,2.375,edward,-0.1
warmth,-0.875,2.5,emily,-0.1
warmth,-0.75,2.5,emily brown,-0.1
warmth,-0.75,2.625,emma,-0.1
warmth,-0.75,2.25,eric wang,-0.1
warmth,-0.875,2.375,erin,-0.1
warmth,-0.625,2.25,ethan,-0.1
warmth,-0.75,2.25,fang wang,-0.1
warmth,-0.75,2.375,fathia hassan,-0.1
warmth,-0.875,2.5,fatima sheikh,-0.1
warmth,-0.75,2.25,frank,-0.1
warmth,-0.625,2.375,gadarine besnik,-0.1
warmth,-0.625,2.125,geoffrey,-0.1
warmth,-0.875,2.25,george,-0.1
warmth,-0.875,2.125,greg,-0.1
warmth,-0.625,2.25,greg johnson,-0.1
warmth,-0.75,2.25,hakim,-0.1
warmth,-0.875,2.375,hannah,-0.1
warmth,-0.625,2.5,hassan khan,-0.1
warmth,-0.875,2.375,heather,-0.1
warmth,-0.875,2.375,hina chaudhry,-0.1
warmth,-0.875,2.375,imani williams,-0.1
warmth,-0.75,2.5,isabella,-0.1
warmth,-0.625,2.375,jack li,-0.1
warmth,-0.5,2.375,jacob,-0.1
warmth,-0.75,2.25,jacob myers,-0.1
warmth,-0.5,2.25,jake kelly,-0.1
warmth,-0.75,2.25,jalen harris,-0.1
warmth,-0.875,2.25,jamal,-0.1
warmth,-0.875,2.25,james liu,-0.1
warmth,-0.875,2.125,james yoder,-0.1
warmth,-0.75,2.5,janet,-0.1
warmth,-0.75,2.5,janice,-0.1
warmth,-0.75,2.375,jasmine washington,-0.1
warmth,-0.625,2.125,jason,-0.1
warmth,-0.625,2.375,jay,-0.1
warmth,-0.75,2.0,jeffrey,-0.1
warmth,-0.75,2.625,jennifer,-0.1
warmth,-0.875,2.5,jennifer li,-0.1
warmth,-0.75,2.25,jeremy,-0.1
warmth,-0.75,2.25,jermaine,-0.1
warmth,-0.75,2.25,jerry,-0.1
warmth,-0.875,2.5,jill,-0.1
warmth,-0.75,2.25,jill wilson,-0.1
warmth,-0.625,2.125,jilue,-0.1
warmth,-0.875,2.25,joan,-0.1
warmth,-0.875,2.125,john,-0.1
warmth,-0.625,2.375,john martin,-0.1
warmth,-0.75,2.375,john mueller,-0.1
warmth,-0.625,2.25,jonathan,-0.1
warmth,-0.625,2.125,jonathon,-0.1
warmth,-0.625,2.25,joseph,-0.1
warmth,-0.625,2.25,joshua,-0.1
warmth,-0.75,2.375,joyce,-0.1
warmth,-0.875,2.375,judith,-0.1
warmth,-0.75,2.5,judy,-0.1
warmth,-0.875,2.25,julie,-0.1
warmth,-0.75,2.125,justin,-0.1
warmth,-0.75,2.25,kareem,-0.1
warmth,-0.75,2.5,karen,-0.1
warmth,-1.0,2.375,kayla,-0.1
warmth,-0.875,2.375,keisha,-0.1
warmth,-0.75,2.125,kenneth,-0.1
warmth,-0.75,2.25,kenya,-0.1
warmth,-0.875,2.0,kevin,-0.1
warmth,-0.875,2.25,khalid bahdoon,-0.1
warmth,-0.75,2.125,kimberely,-0.1
warmth,-0.875,2.25,kimberley,-0.1
warmth,-0.75,2.375,kimberly,-0.1
warmth,-0.75,2.5,kristen,-0.1
warmth,-0.75,2.25,kristen smith,-0.1
warmth,-0.75,2.125,kyle,-0.1
warmth,-0.625,2.25,kyler,-0.1
warmth,-0.75,2.25,lakeisha,-0.1
warmth,-0.875,2.125,lakesha,-0.1
warmth,-0.75,2.25,lakisha,-0.1
warmth,-0.75,2.375,lakisha jones,-0.1
warmth,-0.625,2.25,lamar,-0.1
