axis,strength,name,margin,delta
warmth,-0.5,kenneth,0.875,-0.5
warmth,-0.5,ashley,0.625,-1.125
warmth,-0.5,lucas peterson,1.0,-1.0
warmth,-0.5,james yoder,1.0,-0.625
warmth,-0.5,amy wang,1.0,-0.75
warmth,-0.5,kevin,1.0,-0.625
warmth,-0.5,edona sanatroug,0.75,-1.0
warmth,-0.5,tremayne,0.875,-0.875
warmth,-0.5,joyce,1.0,-0.875
warmth,-0.5,shirley,0.75,-0.75
warmth,-0.5,aferdita dzaghig,0.875,-0.75
warmth,-0.5,lauren,1.125,-0.875
warmth,-0.5,brandom,0.25,-0.75
warmth,-0.5,shakir imtiaz,0.75,-0.875
warmth,-0.5,jeffrey,0.875,-0.625
warmth,-0.5,brett,0.875,-0.875
warmth,-0.5,kyler,0.875,-1.0
warmth,-0.5,chritine,0.625,-0.75
warmth,-0.5,latasha,0.875,-0.875
warmth,-0.5,abu amjad khazin,1.0,-0.625
warmth,-0.5,yong zhang,1.0,-0.875
warmth,-0.5,meredith miller,1.25,-0.625
warmth,-0.5,jamal,0.75,-0.875
warmth,-0.5,mack,0.75,-0.75
warmth,-0.5,jonathan,0.75,-0.875
warmth,-0.5,carrie,0.875,-0.625
warmth,-0.5,zachary,0.5,-0.75
warmth,-0.5,william novak,1.0,-0.625
warmth,-0.5,joshua,0.875,-0.75
warmth,-0.5,amber sullivan,1.125,-0.875
warmth,-0.5,sarah davis,1.0,-0.875
warmth,-0.5,adam,0.75,-0.75
warmth,-0.5,shreya sharma,1.375,-0.875
warmth,-0.5,donnell,1.0,-0.75
warmth,-0.5,patrice,1.0,-0.875
warmth,-0.5,sarah,1.0,-0.75
warmth,-0.5,lei li,1.125,-0.625
warmth,-0.5,janet,1.25,-0.625
warmth,-0.5,susan,1.125,-0.875
warmth,-0.5,lashonda,1.0,-0.875
warmth,-0.5,brad,0.75,-0.625
warmth,-0.5,michael smith,1.0,-0.75
warmth,-0.5,deborah,1.0,-1.0
warmth,-0.5,tara singh,1.0,-0.75
warmth,-0.5,courtney,0.75,-0.875
warmth,-0.5,carrie martin,0.875,-0.75
warmth,-0.5,mamuud irshad,0.625,-0.375
warmth,-0.5,ava,1.125,-0.75
warmth,-0.5,dziella lousaper,0.5,-0.875
warmth,-0.5,abdullah abukar,0.875,-0.5
warmth,-0.5,bill zhang,1.0,-0.75
warmth,-0.5,hina chaudhry,1.0,-0.875
warmth,-0.5,robert,0.875,-0.875
warmth,-0.5,joan,1.125,-1.25
warmth,-0.5,anne,1.125,-1.0
warmth,-0.5,jack li,0.875,-0.625
warmth,-0.5,darius jackson,0.875,-1.0
warmth,-0.5,latoya,1.0,-0.875
warmth,-0.5,thomas,0.875,-0.75
warmth,-0.5,amy wood,0.875,-0.75
warmth,-0.25,kenneth,0.25,-1.125
warmth,-0.25,ashley,0.5,-1.25
warmth,-0.25,lucas peterson,0.875,-1.125
warmth,-0.25,james yoder,0.75,-0.875
warmth,-0.25,amy wang,0.5,-1.25
warmth,-0.25,kevin,0.625,-1.0
warmth,-0.25,edona sanatroug,0.625,-1.125
warmth,-0.25,tremayne,0.5,-1.25
warmth,-0.25,joyce,0.75,-1.125
warmth,-0.25,shirley,0.5,-1.0
warmth,-0.25,aferdita dzaghig,0.75,-0.875
warmth,-0.25,lauren,1.0,-1.0
warmth,-0.25,brandom,-0.25,-1.25
warmth,-0.25,shakir imtiaz,0.5,-1.125
warmth,-0.25,jeffrey,0.5,-1.0
warmth,-0.25,brett,0.5,-1.25
warmth,-0.25,kyler,0.625,-1.25
warmth,-0.25,chritine,0.375,-1.0
warmth,-0.25,latasha,0.625,-1.125
warmth,-0.25,abu amjad khazin,0.5,-1.125
warmth,-0.25,yong zhang,0.625,-1.25
warmth,-0.25,meredith miller,1.0,-0.875
warmth,-0.25,jamal,0.625,-1.0
warmth,-0.25,mack,0.375,-1.125
warmth,-0.25,jonathan,0.5,-1.125
warmth,-0.25,carrie,0.5,-1.0
warmth,-0.25,zachary,0.25,-1.0
warmth,-0.25,william novak,0.625,-1.0
warmth,-0.25,joshua,0.75,-0.875
warmth,-0.25,amber sullivan,1.0,-1.0
warmth,-0.25,sarah davis,0.875,-1.0
warmth,-0.25,adam,0.5,-1.0
warmth,-0.25,shreya sharma,1.0,-1.25
warmth,-0.25,donnell,0.625,-1.125
warmth,-0.25,patrice,0.875,-1.0
warmth,-0.25,sarah,0.875,-0.875
warmth,-0.25,lei li,0.75,-1.0
warmth,-0.25,janet,1.0,-0.875
warmth,-0.25,susan,1.125,-0.875
warmth,-0.25,lashonda,0.75,-1.125
warmth,-0.25,brad,0.25,-1.125
warmth,-0.25,michael smith,0.625,-1.125
warmth,-0.25,deborah,0.75,-1.25
warmth,-0.25,tara singh,0.75,-1.0
warmth,-0.25,courtney,0.625,-1.0
warmth,-0.25,carrie martin,0.625,-1.0
warmth,-0.25,mamuud irshad,-0.125,-1.125
