model,family,axis,strength,n_names,baseline_mean,steered_mean,delta_mean,baseline_decision,steered_decision,no_to_no,no_to_tie,no_to_yes,tie_to_no,tie_to_tie,tie_to_yes,yes_to_no,yes_to_tie,yes_to_yes,input_path
Gemma-3-12B,Gemma-3,warmth,0.10,60,-0.193750000000,2.175000000000,2.368750000000,No,Yes,0,0,54,0,0,6,0,0,0,results/tables/hiring_steering_raw_concept_vectors.csv
Gemma-3-12B,Gemma-3,competence,0.10,60,-0.193750000000,0.037500000000,0.231250000000,No,Yes,19,13,22,1,2,3,0,0,0,results/tables/hiring_steering_raw_concept_vectors.csv
Gemma-3-27B,Gemma-3,warmth,0.10,60,1.168750000000,-1.489583333333,-2.658333333333,Yes,No,0,0,0,0,0,0,60,0,0,results/tables/hiring_steering_raw_concept_vectors_gemma3_27b.csv
Gemma-3-27B,Gemma-3,competence,0.10,60,1.168750000000,-1.527083333333,-2.695833333333,Yes,No,0,0,0,0,0,0,60,0,0,results/tables/hiring_steering_raw_concept_vectors_gemma3_27b.csv
Llama-3.1-8B,Llama-3.1,warmth,0.50,60,-2.097916666667,1.072916666667,3.170833333333,No,Yes,0,0,60,0,0,0,0,0,0,results/tables/hiring_steering_raw_llama31_8b.csv
Llama-3.1-8B,Llama-3.1,competence,0.50,60,-2.097916666667,0.071875000000,2.169791666667,No,Yes,15,10,35,0,0,0,0,0,0,results/tables/hiring_steering_raw_llama31_8b.csv
Gemma-4-12B,Gemma-4,warmth,0.10,60,17.187886555990,18.236637369792,1.048750813802,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_gemma4_12b_local.csv
Gemma-4-12B,Gemma-4,competence,0.10,60,17.187886555990,18.714648437500,1.526761881510,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_gemma4_12b_local.csv
Gemma-4-26B-A4B,Gemma-4,warmth,0.10,60,21.244791666667,21.307291666667,0.062500000000,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_gemma4_26b_a4b_local.csv
Gemma-4-26B-A4B,Gemma-4,competence,0.10,60,21.244791666667,20.864583333333,-0.380208333333,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_gemma4_26b_a4b_local.csv
Gemma-4-31B,Gemma-4,warmth,0.10,60,25.614884440104,25.173177083333,-0.441707356771,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_gemma4_31b_local.csv
Gemma-4-31B,Gemma-4,competence,0.10,60,25.614884440104,24.800651041667,-0.814233398438,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_gemma4_31b_local.csv
Qwen3-14B,Qwen3,warmth,0.50,60,1.704166666667,2.304166666667,0.600000000000,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_qwen3_14b.csv
Qwen3-14B,Qwen3,competence,0.50,60,1.704166666667,1.320833333333,-0.383333333333,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_qwen3_14b.csv
Qwen3.6-27B,Qwen3.6,warmth,0.10,60,5.345833333333,6.541666666667,1.195833333333,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_qwen36_27b_local.csv
Qwen3.6-27B,Qwen3.6,competence,0.10,60,5.345833333333,5.879166666667,0.533333333333,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_qwen36_27b_local.csv
Qwen3.6-35B-A3B,Qwen3.6,warmth,0.10,60,3.031250000000,3.997916666667,0.966666666667,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_qwen36_35b_a3b_local.csv
Qwen3.6-35B-A3B,Qwen3.6,competence,0.10,60,3.031250000000,3.464583333333,0.433333333333,Yes,Yes,0,0,0,0,0,0,0,0,60,results/tables/hiring_steering_raw_qwen36_35b_a3b_local.csv
