layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.82,0.06,0.96,0.037417,1.639421,3.071436,0.09793,35.0556
1,0.0213,False,0.83,0.08124,0.98,0.024495,2.129035,2.754805,-0.101644,42.9696
2,0.0426,False,0.85,0.094868,0.96,0.02,2.263395,2.937854,0.136229,74.823
3,0.0638,False,0.84,0.066332,0.96,0.02,2.657562,3.203,0.131151,62.4504
4,0.0851,False,0.86,0.106771,0.96,0.02,2.455583,3.298016,0.259423,31.6239
5,0.1064,False,0.89,0.073485,0.9,0.031623,2.399722,2.811051,0.137995,40.878
6,0.1277,False,0.88,0.08124,0.93,0.024495,2.122103,2.758939,0.173975,41.8341
7,0.1489,False,0.82,0.087178,0.91,0.037417,2.635865,2.959096,0.156827,30.3905
8,0.1702,False,0.91,0.037417,0.93,0.024495,2.760615,3.385883,0.129558,62.7939
9,0.1915,False,0.85,0.054772,0.96,0.037417,2.628008,3.286627,0.194009,36.7148
10,0.2128,False,0.91,0.02,0.95,0.031623,2.343187,3.477587,0.280275,18.8121
11,0.234,False,0.77,0.024495,0.91,0.02,1.824429,2.944794,0.021885,17.5195
12,0.2553,False,0.84,0.05831,0.93,0.024495,1.954833,3.321034,0.052397,67.6279
13,0.2766,False,0.89,0.04899,0.98,0.024495,2.257859,3.583658,0.086195,130.9404
14,0.2979,False,0.93,0.074833,1.0,0.0,2.380501,4.37595,0.228741,171.7529
15,0.3191,False,0.98,0.024495,1.0,0.0,3.94247,6.01303,0.4019,208.1871
16,0.3404,False,0.97,0.04,1.0,0.0,3.541818,6.294813,0.454911,230.2072
17,0.3617,False,0.98,0.024495,1.0,0.0,1.999279,4.292647,0.496175,165.9943
18,0.383,False,0.99,0.02,1.0,0.0,4.257037,6.025134,0.528094,166.4151
19,0.4043,False,0.99,0.02,1.0,0.0,4.738097,6.222568,0.602072,195.7287
20,0.4255,False,1.0,0.0,1.0,0.0,6.272245,8.60813,0.574884,234.8386
21,0.4468,False,1.0,0.0,1.0,0.0,7.574555,10.056951,0.603409,264.4302
22,0.4681,False,1.0,0.0,1.0,0.0,7.827302,8.65869,0.591363,278.0619
23,0.4894,False,1.0,0.0,1.0,0.0,7.420628,7.421135,0.561159,240.202
24,0.5106,False,1.0,0.0,1.0,0.0,7.776076,8.334195,0.58183,235.5806
25,0.5319,False,1.0,0.0,1.0,0.0,9.96172,6.668633,0.616757,232.5409
26,0.5532,False,1.0,0.0,1.0,0.0,10.563076,10.248557,0.595721,225.3338
27,0.5745,False,1.0,0.0,1.0,0.0,10.047595,10.445699,0.54298,198.061
28,0.5957,False,1.0,0.0,1.0,0.0,9.826097,9.780734,0.538102,180.5034
29,0.617,False,1.0,0.0,1.0,0.0,9.720792,9.563699,0.49906,107.5403
30,0.6383,False,1.0,0.0,1.0,0.0,9.977945,10.159606,0.493276,92.8841
31,0.6596,True,1.0,0.0,1.0,0.0,8.63373,9.035413,0.493539,97.8189
32,0.6809,False,1.0,0.0,1.0,0.0,6.630812,8.284783,0.440318,137.4822
33,0.7021,False,1.0,0.0,1.0,0.0,7.437861,7.162463,0.430004,157.746
34,0.7234,False,1.0,0.0,1.0,0.0,6.137196,4.431508,0.430464,155.5412
35,0.7447,False,1.0,0.0,1.0,0.0,6.360536,4.048507,0.414694,107.4171
36,0.766,False,1.0,0.0,1.0,0.0,5.615599,3.693276,0.407012,100.3812
37,0.7872,False,1.0,0.0,1.0,0.0,5.040555,3.641631,0.411321,116.6553
38,0.8085,False,1.0,0.0,1.0,0.0,5.07041,3.394452,0.411274,144.2061
39,0.8298,False,1.0,0.0,1.0,0.0,5.254122,4.14373,0.383306,127.4611
40,0.8511,False,1.0,0.0,1.0,0.0,5.272037,5.078156,0.398817,82.5741
41,0.8723,False,1.0,0.0,1.0,0.0,4.84585,5.722829,0.403074,68.7776
42,0.8936,False,1.0,0.0,1.0,0.0,4.559999,6.577905,0.389065,71.5271
43,0.9149,False,1.0,0.0,1.0,0.0,3.618375,6.159512,0.377651,73.0119
44,0.9362,False,1.0,0.0,1.0,0.0,3.114707,5.827222,0.357121,82.5059
45,0.9574,False,1.0,0.0,1.0,0.0,2.654243,5.459743,0.319408,65.5849
46,0.9787,False,1.0,0.0,1.0,0.0,1.638776,4.342,0.284164,57.1471
47,1.0,False,0.94,0.037417,0.97,0.04,0.533405,1.27031,0.507056,9.3415
