layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.8,0.070711,0.94,0.037417,1.605534,2.350317,-0.187761,67.3509
1,0.0345,False,0.93,0.05099,0.97,0.04,1.65547,2.530534,-0.11367,61.6831
2,0.069,False,0.97,0.04,0.99,0.02,3.876164,3.464476,0.150262,50.9805
3,0.1034,False,0.97,0.024495,1.0,0.0,4.046877,4.110452,0.319164,63.1746
4,0.1379,False,0.98,0.024495,1.0,0.0,4.442698,4.7024,0.416807,65.0203
5,0.1724,False,0.98,0.024495,1.0,0.0,4.213203,4.647438,0.438661,83.3801
6,0.2069,False,0.98,0.04,1.0,0.0,4.931577,4.967047,0.525977,87.8528
7,0.2414,False,0.99,0.02,1.0,0.0,4.600585,5.963927,0.645714,91.4572
8,0.2759,False,1.0,0.0,1.0,0.0,5.04856,6.736058,0.670125,96.8807
9,0.3103,False,1.0,0.0,1.0,0.0,5.627065,6.879961,0.688426,120.6779
10,0.3448,False,1.0,0.0,1.0,0.0,5.741232,5.716454,0.671633,126.0348
11,0.3793,False,1.0,0.0,1.0,0.0,4.87652,5.002515,0.724119,136.5905
12,0.4138,False,1.0,0.0,1.0,0.0,4.956792,5.096824,0.736159,140.5271
13,0.4483,False,1.0,0.0,1.0,0.0,5.700013,5.373883,0.73117,126.4845
14,0.4828,False,1.0,0.0,1.0,0.0,5.952483,6.94707,0.69767,108.4891
15,0.5172,False,1.0,0.0,1.0,0.0,6.906404,8.756204,0.6949,110.5657
16,0.5517,False,1.0,0.0,1.0,0.0,9.137702,9.777291,0.710194,97.7374
17,0.5862,False,1.0,0.0,1.0,0.0,8.027683,9.071133,0.658529,74.0079
18,0.6207,False,1.0,0.0,1.0,0.0,8.374415,9.352564,0.653975,46.7415
19,0.6552,True,1.0,0.0,1.0,0.0,8.35712,8.75386,0.586665,68.4368
20,0.6897,False,1.0,0.0,1.0,0.0,8.454115,8.413164,0.546694,73.3663
21,0.7241,False,1.0,0.0,1.0,0.0,8.13416,7.185387,0.52941,67.7777
22,0.7586,False,1.0,0.0,1.0,0.0,8.057973,7.216514,0.486397,61.6098
23,0.7931,False,1.0,0.0,1.0,0.0,7.934229,6.86539,0.440126,48.6508
24,0.8276,False,1.0,0.0,1.0,0.0,7.180727,6.633592,0.419772,42.8356
25,0.8621,False,1.0,0.0,1.0,0.0,7.102494,6.665633,0.408726,45.3626
26,0.8966,False,1.0,0.0,1.0,0.0,6.554957,7.661932,0.399967,29.2983
27,0.931,False,1.0,0.0,1.0,0.0,4.484776,7.259316,0.40442,29.8798
28,0.9655,False,1.0,0.0,1.0,0.0,4.070324,4.598882,0.349089,19.3917
29,1.0,False,0.98,0.04,0.98,0.024495,0.800097,1.475613,-0.075241,40.1693
