layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.84,0.04899,0.95,0.044721,1.433134,2.263504,-0.182965,58.8728
1,0.0169,False,0.87,0.04,0.97,0.04,3.153222,3.077186,0.071,74.1397
2,0.0339,False,0.9,0.031623,0.97,0.04,3.274611,3.138502,0.096399,80.3018
3,0.0508,False,0.91,0.05831,0.97,0.04,3.350172,3.189405,0.128507,99.3139
4,0.0678,False,0.93,0.06,0.98,0.024495,3.727993,3.423906,0.189051,103.4866
5,0.0847,False,0.95,0.044721,1.0,0.0,4.040205,3.837564,0.293803,154.1401
6,0.1017,False,0.96,0.037417,1.0,0.0,4.178351,4.193401,0.339589,187.3207
7,0.1186,False,0.94,0.073485,1.0,0.0,4.032406,4.890724,0.416358,219.5352
8,0.1356,False,0.94,0.04899,1.0,0.0,3.352165,4.585975,0.387557,235.3105
9,0.1525,False,0.93,0.067823,0.99,0.02,2.431936,4.691675,0.336403,257.2892
10,0.1695,False,0.91,0.05831,0.99,0.02,2.292127,4.80175,0.389865,276.031
11,0.1864,False,0.92,0.04,0.99,0.02,2.153257,4.168018,0.398653,289.4844
12,0.2034,False,0.94,0.02,0.99,0.02,2.147444,4.708839,0.286129,296.8776
13,0.2203,False,0.94,0.02,0.99,0.02,2.436502,4.88915,0.318659,304.4065
14,0.2373,False,0.95,0.031623,1.0,0.0,2.427026,5.141103,0.329412,310.6406
15,0.2542,False,0.96,0.037417,0.99,0.02,2.550609,5.370236,0.389099,344.3186
16,0.2712,False,0.99,0.02,1.0,0.0,3.556952,5.724774,0.433736,353.6176
17,0.2881,False,0.99,0.02,1.0,0.0,3.601626,5.615191,0.407999,369.7083
18,0.3051,False,0.99,0.02,1.0,0.0,4.745863,6.184178,0.44995,378.5843
19,0.322,False,1.0,0.0,1.0,0.0,4.630721,5.918587,0.458692,396.3968
20,0.339,False,1.0,0.0,1.0,0.0,4.91146,4.596469,0.435117,415.83
21,0.3559,False,1.0,0.0,1.0,0.0,6.667009,5.338814,0.483097,424.5734
22,0.3729,False,1.0,0.0,1.0,0.0,8.719004,7.09076,0.486409,420.1562
23,0.3898,False,1.0,0.0,1.0,0.0,9.041787,6.486497,0.510234,373.5836
24,0.4068,False,1.0,0.0,1.0,0.0,11.494583,9.611301,0.507165,362.0255
25,0.4237,False,1.0,0.0,1.0,0.0,11.226922,7.866698,0.530018,341.9672
26,0.4407,False,1.0,0.0,1.0,0.0,7.847203,6.160558,0.580533,308.8027
27,0.4576,False,1.0,0.0,1.0,0.0,6.229844,4.974745,0.622185,282.9712
28,0.4746,False,1.0,0.0,1.0,0.0,10.086084,7.134512,0.704582,262.5268
29,0.4915,False,1.0,0.0,1.0,0.0,5.478484,6.029546,0.661361,262.1573
30,0.5085,False,1.0,0.0,1.0,0.0,7.107747,7.367303,0.640849,280.2491
31,0.5254,False,1.0,0.0,1.0,0.0,7.277999,6.51474,0.586525,306.3353
32,0.5424,False,1.0,0.0,1.0,0.0,8.282912,8.459907,0.577814,316.7365
33,0.5593,False,1.0,0.0,1.0,0.0,8.363625,8.821969,0.547366,320.8826
34,0.5763,False,1.0,0.0,1.0,0.0,8.808335,6.970272,0.573398,310.8468
35,0.5932,False,1.0,0.0,1.0,0.0,7.07317,4.875186,0.551763,294.6379
36,0.6102,False,1.0,0.0,1.0,0.0,5.945934,3.744562,0.590418,279.8726
37,0.6271,False,1.0,0.0,1.0,0.0,6.126972,4.09561,0.594843,265.1201
38,0.6441,False,1.0,0.0,1.0,0.0,6.349553,4.605275,0.589677,235.0348
39,0.661,True,1.0,0.0,1.0,0.0,7.562413,6.031858,0.526157,188.5253
40,0.678,False,1.0,0.0,1.0,0.0,6.931962,6.03565,0.516208,173.9925
41,0.6949,False,1.0,0.0,1.0,0.0,6.944411,6.057252,0.47962,197.2304
42,0.7119,False,1.0,0.0,1.0,0.0,5.1993,4.762041,0.516816,201.6204
43,0.7288,False,1.0,0.0,1.0,0.0,4.015577,3.626285,0.543845,180.8614
44,0.7458,False,1.0,0.0,1.0,0.0,3.228871,2.984277,0.529039,173.8128
45,0.7627,False,1.0,0.0,1.0,0.0,3.325907,2.905415,0.528354,160.9611
46,0.7797,False,1.0,0.0,1.0,0.0,3.653494,2.991581,0.529932,154.0218
47,0.7966,False,1.0,0.0,1.0,0.0,4.017491,2.997087,0.518047,154.2155
48,0.8136,False,1.0,0.0,1.0,0.0,4.05196,2.947008,0.509559,156.2121
49,0.8305,False,1.0,0.0,1.0,0.0,4.187758,3.037587,0.515598,140.8937
50,0.8475,False,1.0,0.0,0.99,0.02,4.639123,3.323148,0.492756,121.8297
51,0.8644,False,1.0,0.0,0.99,0.02,5.990131,4.290795,0.430926,90.469
52,0.8814,False,1.0,0.0,1.0,0.0,6.235008,5.55084,0.373646,46.9295
53,0.8983,False,1.0,0.0,1.0,0.0,4.417397,4.94821,0.422728,65.5988
54,0.9153,False,1.0,0.0,1.0,0.0,3.398101,3.995508,0.446075,69.049
55,0.9322,False,1.0,0.0,1.0,0.0,2.402668,3.101121,0.478061,68.8991
56,0.9492,False,1.0,0.0,1.0,0.0,2.616098,4.516838,0.413815,54.3539
57,0.9661,False,1.0,0.0,1.0,0.0,3.059835,6.00585,0.355694,32.0585
58,0.9831,False,1.0,0.0,1.0,0.0,1.722878,5.832939,0.38772,47.2282
59,1.0,False,0.81,0.096954,0.98,0.024495,0.725412,1.993246,0.404768,7.4799
