layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.93,0.04,0.94,0.04899,4.109292,3.896128,0.174139,0.4842
1,0.0323,False,0.95,0.031623,0.97,0.04,4.427376,4.533763,0.307305,0.7044
2,0.0645,False,0.96,0.037417,1.0,0.0,4.925689,5.722355,0.340535,1.0874
3,0.0968,False,0.99,0.02,1.0,0.0,5.730791,6.414207,0.415551,1.5286
4,0.129,False,0.98,0.024495,1.0,0.0,5.781607,6.855556,0.450721,1.9486
5,0.1613,False,0.99,0.02,1.0,0.0,5.978705,6.961902,0.471835,2.3579
6,0.1935,False,0.99,0.02,1.0,0.0,6.398291,8.599216,0.497563,2.61
7,0.2258,False,1.0,0.0,1.0,0.0,6.945881,9.984695,0.538634,2.9683
8,0.2581,False,1.0,0.0,1.0,0.0,8.07898,10.561811,0.526745,3.2697
9,0.2903,False,1.0,0.0,1.0,0.0,9.208652,10.544041,0.511912,3.8908
10,0.3226,False,1.0,0.0,1.0,0.0,10.076873,11.002945,0.533666,3.9582
11,0.3548,False,1.0,0.0,1.0,0.0,10.300637,11.29158,0.562494,4.1991
12,0.3871,False,1.0,0.0,1.0,0.0,10.606387,11.548114,0.580521,4.8171
13,0.4194,False,1.0,0.0,1.0,0.0,10.368371,11.913693,0.525479,5.3894
14,0.4516,False,1.0,0.0,1.0,0.0,10.742599,11.46682,0.515149,5.7034
15,0.4839,False,1.0,0.0,1.0,0.0,9.605044,10.077676,0.498813,6.4467
16,0.5161,False,1.0,0.0,1.0,0.0,9.602426,10.155617,0.523235,7.5812
17,0.5484,False,1.0,0.0,1.0,0.0,8.792355,9.978143,0.513241,8.327
18,0.5806,False,1.0,0.0,1.0,0.0,8.664899,9.909065,0.520878,9.6062
19,0.6129,False,1.0,0.0,1.0,0.0,8.332345,9.079201,0.507956,10.7551
20,0.6452,True,1.0,0.0,1.0,0.0,8.476143,9.074427,0.505418,11.3651
21,0.6774,False,1.0,0.0,1.0,0.0,7.960291,7.98326,0.523253,13.5866
22,0.7097,False,1.0,0.0,1.0,0.0,7.813975,7.321077,0.518048,15.4832
23,0.7419,False,1.0,0.0,1.0,0.0,7.645298,6.847543,0.514243,17.7176
24,0.7742,False,1.0,0.0,1.0,0.0,7.616124,6.7595,0.514242,19.6281
25,0.8065,False,1.0,0.0,1.0,0.0,7.777374,7.128424,0.515577,21.544
26,0.8387,False,1.0,0.0,1.0,0.0,7.774912,7.014974,0.507762,24.8881
27,0.871,False,1.0,0.0,1.0,0.0,7.798361,6.97739,0.498514,27.5601
28,0.9032,False,1.0,0.0,1.0,0.0,7.683887,7.094097,0.501859,30.6876
29,0.9355,False,1.0,0.0,1.0,0.0,7.692547,6.959428,0.496018,32.9242
30,0.9677,False,1.0,0.0,1.0,0.0,7.718642,6.943365,0.501618,35.6387
31,1.0,False,1.0,0.0,1.0,0.0,6.365162,6.062123,0.526137,49.0324
