layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.64,0.02,0.89,0.073485,0.954561,2.453423,-0.082148,12.0203
1,0.0159,False,0.78,0.074833,0.92,0.06,1.5029,1.971398,-0.094499,13.8532
2,0.0317,False,0.92,0.05099,0.92,0.06,3.380043,2.211539,0.131623,12.1477
3,0.0476,False,0.88,0.05099,1.0,0.0,2.096158,4.121545,0.15437,19.4284
4,0.0635,False,0.84,0.086023,1.0,0.0,2.145519,4.829867,0.22091,20.7478
5,0.0794,False,0.9,0.044721,1.0,0.0,2.658264,4.986423,0.232096,22.7228
6,0.0952,False,0.92,0.067823,1.0,0.0,3.256915,4.850089,0.237422,23.4056
7,0.1111,False,0.95,0.054772,1.0,0.0,3.803939,4.668587,0.267012,27.7861
8,0.127,False,0.96,0.037417,1.0,0.0,4.579427,4.922451,0.349536,31.5098
9,0.1429,False,0.97,0.024495,1.0,0.0,4.974095,5.981404,0.399685,34.0734
10,0.1587,False,0.98,0.024495,1.0,0.0,5.120424,6.84998,0.439671,35.1657
11,0.1746,False,0.98,0.024495,1.0,0.0,5.411812,7.325053,0.460323,40.9587
12,0.1905,False,1.0,0.0,1.0,0.0,5.762934,7.847214,0.51298,43.7207
13,0.2063,False,1.0,0.0,1.0,0.0,6.711499,8.719176,0.522117,45.5668
14,0.2222,False,1.0,0.0,1.0,0.0,7.238996,9.545222,0.558954,46.7265
15,0.2381,False,1.0,0.0,1.0,0.0,7.845091,10.10219,0.552743,50.4345
16,0.254,False,1.0,0.0,1.0,0.0,8.767215,10.975636,0.575436,52.2962
17,0.2698,False,1.0,0.0,1.0,0.0,9.551371,11.003841,0.558623,52.7047
18,0.2857,False,1.0,0.0,1.0,0.0,9.548109,10.274625,0.540416,52.6424
19,0.3016,False,1.0,0.0,1.0,0.0,9.340407,10.500334,0.543399,49.8735
20,0.3175,False,1.0,0.0,1.0,0.0,9.150497,10.265229,0.539968,46.3644
21,0.3333,False,1.0,0.0,1.0,0.0,8.828314,10.070458,0.528055,48.9515
22,0.3492,False,1.0,0.0,1.0,0.0,8.591685,9.664252,0.529495,53.2453
23,0.3651,False,1.0,0.0,1.0,0.0,9.005456,9.709979,0.534864,53.8122
24,0.381,False,1.0,0.0,1.0,0.0,8.753023,9.760242,0.530084,53.0806
25,0.3968,False,1.0,0.0,1.0,0.0,8.980975,10.09751,0.5347,55.4528
26,0.4127,False,1.0,0.0,1.0,0.0,8.939627,9.839853,0.549317,57.9023
27,0.4286,False,1.0,0.0,1.0,0.0,9.519119,10.396339,0.570691,59.512
28,0.4444,False,1.0,0.0,1.0,0.0,9.591928,10.199265,0.590338,56.6755
29,0.4603,False,1.0,0.0,1.0,0.0,9.468691,10.555561,0.585885,58.1752
30,0.4762,False,1.0,0.0,1.0,0.0,9.183865,10.866059,0.615786,60.6716
31,0.4921,False,1.0,0.0,1.0,0.0,9.792372,11.701917,0.619307,63.677
32,0.5079,False,1.0,0.0,1.0,0.0,9.939284,11.91818,0.625574,59.7136
33,0.5238,False,1.0,0.0,1.0,0.0,9.870502,11.604062,0.609134,58.9311
34,0.5397,False,1.0,0.0,1.0,0.0,9.137784,10.465055,0.605745,56.283
35,0.5556,False,1.0,0.0,1.0,0.0,10.231855,10.873586,0.573244,57.8998
36,0.5714,False,1.0,0.0,1.0,0.0,9.400173,10.004951,0.555963,57.6442
37,0.5873,False,1.0,0.0,1.0,0.0,9.004086,9.704965,0.542477,59.8106
38,0.6032,False,1.0,0.0,1.0,0.0,8.468576,9.431279,0.544297,63.4006
39,0.619,False,1.0,0.0,1.0,0.0,8.242877,9.429882,0.544256,65.9256
40,0.6349,False,1.0,0.0,1.0,0.0,7.723294,8.895745,0.558726,64.4009
41,0.6508,False,1.0,0.0,1.0,0.0,8.03037,9.02241,0.562437,66.6419
42,0.6667,True,1.0,0.0,1.0,0.0,7.983024,8.985808,0.579814,71.9037
43,0.6825,False,1.0,0.0,1.0,0.0,8.300436,9.866235,0.587063,77.3965
44,0.6984,False,1.0,0.0,1.0,0.0,7.720269,9.334988,0.597968,78.1856
45,0.7143,False,1.0,0.0,1.0,0.0,7.695022,9.477155,0.594356,80.6187
46,0.7302,False,1.0,0.0,1.0,0.0,7.317733,9.244205,0.597893,78.593
47,0.746,False,1.0,0.0,1.0,0.0,7.704244,10.489106,0.582139,84.8531
48,0.7619,False,1.0,0.0,1.0,0.0,7.220021,10.321633,0.592259,81.9063
49,0.7778,False,1.0,0.0,1.0,0.0,6.402016,9.588918,0.567824,82.6385
50,0.7937,False,1.0,0.0,1.0,0.0,5.860628,9.10262,0.557626,78.606
51,0.8095,False,1.0,0.0,1.0,0.0,6.129333,8.534908,0.528691,93.1078
52,0.8254,False,1.0,0.0,1.0,0.0,5.908749,8.082566,0.52189,101.3901
